Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
C1_11,100,137.51656,138.3888,0.872240000000005
C1_11,68,141.82512,142.45112,0.6260000000000048
C1_11,117,373.52296,374.1956,0.6726400000000012
C1_11,81,378.51096,379.126,0.615039999999965
C1_11,112,521.33016,522.01128,0.6811200000000781
C1_12,117,137.48736,138.16264,0.675280000000015
C1_12,71,141.89376,142.36088,0.46712000000002263
C1_12,140,373.5364,374.36312,0.8267199999999661
C1_12,89,378.49096,379.24232,0.7513600000000338
C1_12,145,521.30856,522.2268,0.9182399999999689
C1_13,89,137.48728,138.22256,0.7352799999999888
C1_13,51,141.8932,142.28392,0.3907199999999875
C1_13,6,142.40024,142.56816,0.1679200000000094
C1_13,101,373.53216,374.00008,0.4679200000000492
C1_13,70,378.5096,379.0472,0.5375999999999976
C1_13,99,521.29352,521.97696,0.6834400000000187
C1_14,109,137.50568,138.40264,0.8969599999999787
C1_14,60,141.90064,142.4304,0.5297599999999818
C1_14,117,373.49992,374.44744,0.9475199999999973
C1_14,77,378.48824,379.12648,0.6382399999999961
C1_14,95,521.3448,522.05104,0.7062399999999798
C1_21,58,137.53768,137.99848,0.4608000000000061
C1_21,33,141.89952,142.2704,0.37087999999999965
C1_21,70,373.53824,374.05904,0.5208000000000084
C1_21,49,378.5176,378.9212,0.4035999999999831
C1_21,64,521.29944,521.72792,0.42848000000003594
C1_22,99,137.43888,138.12592,0.6870399999999961
C1_22,5,138.2748,138.45016,0.17536000000001195
C1_22,53,141.8968,142.4044,0.5075999999999965
C1_22,115,373.49944,374.52536,1.025919999999985
C1_22,78,378.49352,379.166,0.6724800000000073
C1_22,115,521.296,522.05832,0.7623199999999315
C1_23,95,137.48,138.07616,0.5961599999999976
C1_23,55,141.8748,142.32936,0.45456000000001495
C1_23,113,373.51496,374.2312,0.7162400000000275
C1_23,81,378.51688,379.18024,0.6633600000000115
C1_23,102,521.3144,521.98744,0.6730400000000145
C1_24,94,137.46928,138.10232,0.633039999999994
C1_24,54,141.78024,142.35256,0.572320000000019
C1_24,101,373.49376,374.3424,0.848639999999989
C1_24,57,378.44112,379.058,0.6168799999999806
C1_24,94,521.21816,521.9024,0.6842399999999316
C1_24,5,522.02768,522.17008,0.14239999999995234
C1_31,59,137.54968,138.104,0.5543200000000184
C1_31,29,141.8936,142.1452,0.25159999999999627
C1_31,64,373.53624,374.06032,0.5240799999999695
C1_31,40,378.51744,378.90288,0.38543999999996004
C1_31,55,521.29992,521.856,0.5560799999999517
C1_32,123,137.43816,138.43256,0.9943999999999846
C1_32,82,141.85472,142.4644,0.6096800000000258
C1_32,122,373.45512,374.48088,1.0257599999999911
C1_32,82,378.44032,379.19032,0.75
C1_32,116,521.29216,522.16296,0.8708000000000311
C1_33,135,137.28816,138.20144,0.9132799999999861
C1_33,101,141.84456,142.61184,0.7672799999999995
C1_33,147,373.4024,374.4392,1.036800000000028
C1_33,105,378.49184,379.22712,0.7352799999999888
C1_33,149,521.23952,522.10056,0.8610400000000027
C1_33,7,522.20696,522.47328,0.2663200000000643
C1_34,106,137.52888,138.45472,0.9258400000000222
C1_34,65,141.8876,142.47808,0.5904800000000137
C1_34,5,372.3368,372.36944,0.03264000000001488
C1_34,114,373.49984,374.40016,0.900320000000022
C1_34,69,378.49168,379.01992,0.5282400000000393
C1_34,5,379.21656,379.36648,0.1499200000000087
C1_34,109,521.286,522.1968,0.9108000000001084
C1_41,105,137.52728,138.09576,0.5684800000000223
C1_41,76,141.89392,142.39512,0.501199999999983
C1_41,129,373.50176,374.33712,0.835360000000037
C1_41,83,378.4948,379.10288,0.6080800000000295
C1_41,137,521.30936,522.29408,0.9847200000000385
C1_42,142,137.47272,138.16432,0.691599999999994
C1_42,7,138.36144,138.57672,0.21528000000000702
C1_42,5,138.70008,138.8572,0.15711999999999193
C1_42,98,141.89032,142.45576,0.5654399999999953
C1_42,162,373.45496,374.46968,1.0147199999999543
C1_42,122,378.49584,379.15952,0.6636799999999994
C1_42,154,521.29976,522.2848,0.9850400000000263
C1_43,126,137.49312,138.39232,0.8992000000000075
C1_43,77,141.8756,142.47432,0.5987200000000144
C1_43,6,372.338,372.39712,0.05911999999995032
C1_43,147,373.50752,374.44392,0.9363999999999919
C1_43,110,378.49552,379.25152,0.7560000000000286
C1_43,151,521.308,522.29456,0.9865600000000541
C1_44,6,53.85744,53.89496,0.037520000000000664
C1_44,116,137.47664,138.26928,0.7926400000000058
C1_44,5,138.37096,138.54744,0.17647999999999797
C1_44,92,141.85592,142.5892,0.7332800000000077
C1_44,8,372.33632,372.38704,0.05072000000001253
C1_44,126,373.51016,374.44288,0.9327200000000175
C1_44,85,378.49264,379.15896,0.6663199999999847
C1_44,115,521.3268,522.09432,0.7675199999999904
