Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
13,13,63.74016,64.7332,0.9930399999999935,0.7023384615384595,604
14,14,121.20552,122.45256,1.2470399999999984,0.7547657142857156,707
14,14,256.23688,257.51864,1.2817600000000198,0.6885028571428587,786
13,11,366.87744,367.65944,0.7820000000000391,0.37269538461538765,298
15,15,477.03832,478.02216,0.9838399999999865,0.48871466666667324,671
6,6,477.60688,478.18248,0.5756000000000085,0.28609333333333586,61
