Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
A3_11,108,63.78632,64.7332,0.9468799999999931
A3_11,7,86.17408,86.4816,0.3075199999999967
A3_11,140,121.326,122.45256,1.126560000000012
A3_11,7,154.38136,154.61296,0.23159999999998604
A3_11,5,204.1972,204.26096,0.06376000000000204
A3_11,7,220.93464,221.18616,0.2515199999999993
A3_11,5,232.76768,232.9168,0.14911999999998216
A3_11,124,256.25648,257.51864,1.2621599999999944
A3_11,6,280.01288,280.21448,0.2015999999999849
A3_11,10,350.31392,350.53864,0.2247199999999907
A3_11,7,350.69912,350.87176,0.17264000000000124
A3_11,101,366.62624,367.87648,1.2502400000000193
A3_11,6,434.57272,434.75128,0.1785600000000045
A3_11,107,477.03832,478.02216,0.9838399999999865
A3_11,7,544.8588,544.94176,0.08296000000007098
A3_12,25,63.87624,64.56336,0.6871200000000002
A3_12,5,96.61072,96.7312,0.12048000000000059
A3_12,33,121.29048,122.32008,1.029600000000002
A3_12,23,256.46904,256.8996,0.43056000000001404
A3_12,8,350.34744,350.57096,0.2235200000000077
A3_12,13,367.10544,367.38888,0.2834399999999846
A3_12,34,477.05064,477.64136,0.590720000000033
A3_13,18,63.9588,64.46224,0.5034399999999977
A3_13,21,121.49104,121.90064,0.4095999999999975
A3_13,29,256.34832,256.6992,0.35088000000001784
A3_13,20,367.1016,367.51464,0.41303999999996677
A3_13,38,477.07576,477.49496,0.41919999999998936
A3_13,7,477.60688,477.8376,0.23072000000001935
A3_13,6,549.87304,550.04384,0.17080000000009932
A3_13,5,551.9004,551.95064,0.050240000000030705
A3_13,5,565.39736,565.53648,0.1391199999999344
A3_14,42,63.79112,64.58632,0.7952000000000012
A3_14,63,121.28312,122.35824,1.0751199999999983
A3_14,72,256.33224,257.20848,0.8762399999999957
A3_14,34,366.92904,367.56656,0.637519999999995
A3_14,5,417.3348,417.5832,0.24840000000000373
A3_14,66,477.14144,477.60272,0.4612799999999879
A3_14,8,477.70504,477.87848,0.1734400000000278
A3_21,30,63.83288,64.58856,0.7556799999999981
A3_21,6,86.45352,86.6248,0.17127999999999588
A3_21,5,96.93464,97.07048,0.13584000000000174
A3_21,23,121.50832,122.13624,0.6279200000000031
A3_21,7,128.77064,129.01168,0.24104000000002657
A3_21,8,146.67464,146.92408,0.24943999999999278
A3_21,7,154.59224,154.89016,0.29792000000000485
A3_21,8,163.77872,163.98576,0.20704000000000633
A3_21,21,256.23688,256.99296,0.7560799999999972
A3_21,7,366.97592,367.2748,0.29888000000005377
A3_21,7,477.22152,477.4976,0.276079999999979
A3_22,6,477.19216,477.42336,0.23120000000000118
A3_23,50,63.77872,64.49104,0.7123199999999983
A3_23,77,121.27912,122.24664,0.9675199999999933
A3_23,77,256.33552,257.1444,0.8088800000000447
A3_23,43,366.92336,367.65944,0.7360800000000154
A3_23,55,477.1644,477.5344,0.37000000000000455
A3_23,11,477.67104,477.94792,0.27688000000000557
A3_24,39,63.74656,64.33408,0.5875199999999978
A3_24,56,121.2784,121.9896,0.711199999999991
A3_24,60,256.30904,256.7712,0.4621600000000399
A3_24,6,256.92448,257.15,0.22551999999996042
A3_24,44,366.65192,367.47816,0.8262399999999843
A3_24,48,477.16584,477.56184,0.396000000000015
A3_24,5,477.75008,478.02288,0.2727999999999611
A3_31,7,64.13168,64.30296,0.17127999999999588
A3_31,8,121.59168,121.78304,0.19136000000000308
A3_31,19,256.32336,256.7428,0.4194400000000087
A3_31,13,477.13872,477.39096,0.2522400000000289
A3_32,8,64.00656,64.14464,0.1380800000000022
A3_32,5,64.2904,64.3752,0.08480000000000132
A3_32,20,121.46416,122.06104,0.5968799999999987
A3_32,28,256.4184,257.13808,0.7196799999999826
A3_32,7,366.96888,367.13976,0.17088000000001102
A3_32,6,367.276,367.42264,0.14663999999999078
A3_32,36,477.12752,477.94,0.8124799999999937
A3_33,95,63.75792,64.54856,0.7906399999999962
A3_33,91,121.38448,122.316,0.9315200000000061
A3_33,117,256.27304,257.31808,1.0450400000000286
A3_33,61,366.91912,367.62744,0.7083199999999579
A3_33,94,477.10408,477.97976,0.8756799999999885
A3_34,51,63.74592,64.52712,0.7811999999999983
A3_34,40,121.37056,121.9376,0.5670400000000058
A3_34,9,122.09736,122.40544,0.3080800000000039
A3_34,39,256.30856,256.73712,0.4285600000000045
A3_34,14,256.8752,257.21624,0.3410400000000209
A3_34,14,366.91664,366.98424,0.0676000000000272
A3_34,13,367.15288,367.42216,0.2692800000000375
A3_34,39,477.13512,477.56032,0.425200000000018
A3_34,22,477.66928,478.18248,0.5131999999999834
A3_34,5,478.29856,478.4828,0.1842399999999884
A3_34,6,551.8712,551.98824,0.1170399999999745
A3_42,63,63.74016,64.65392,0.9137599999999964
A3_42,61,121.30632,122.24808,0.9417600000000022
A3_42,81,256.34312,257.15632,0.8131999999999948
A3_42,53,366.9368,367.49376,0.5569600000000037
A3_42,59,477.14288,477.59392,0.4510400000000345
A3_43,40,63.78608,64.57144,0.7853599999999972
A3_43,38,121.39008,122.14928,0.759200000000007
A3_43,39,256.32368,256.768,0.44431999999994787
A3_43,9,256.8796,257.16712,0.2875200000000291
A3_43,11,366.91872,367.1508,0.2320799999999963
A3_43,6,367.2956,367.43944,0.14384000000001151
A3_43,28,477.16472,477.42896,0.26424000000002934
A3_44,35,63.74992,64.48312,0.7331999999999965
A3_44,36,121.20552,121.83696,0.6314399999999978
A3_44,5,122.05568,122.13744,0.08176000000000272
A3_44,5,164.2724,164.42312,0.15072000000000685
A3_44,57,256.2816,257.10344,0.8218399999999519
A3_44,10,366.50808,366.76088,0.25279999999997926
A3_44,9,366.87744,366.95568,0.07823999999999387
A3_44,13,367.06656,367.45928,0.39271999999999707
A3_44,5,414.19072,414.4028,0.21208000000001448
A3_44,41,477.0464,477.56792,0.5215200000000095
A3_44,8,477.68104,477.93056,0.24952000000001817
A3_44,6,513.10024,513.478,0.37775999999996657
A3_44,5,544.8208,544.99664,0.17583999999999378
A3_44,7,551.83112,551.9564,0.1252799999999752
A3_44,5,565.34976,565.54336,0.1936000000000604
