Electrode,Time (s)
A3_11,0.60472
A3_11,3.39768
A3_14,7.42304
A3_21,7.63224
A3_11,18.1156
A3_11,18.55064
A3_11,19.70168
A3_14,25.62856
A3_14,25.99768
A3_14,29.56
A3_33,30.25736
A3_14,32.52592
A3_12,35.67488
A3_12,35.6936
A3_12,35.77672
A3_12,35.87048
A3_11,39.42888
A3_14,47.79216
A3_11,50.9248
A3_11,58.8368
A3_14,60.92064
A3_21,63.60456
A3_11,63.63888
A3_21,63.64912
A3_21,63.71688
A3_12,63.7224
A3_42,63.74016
A3_34,63.74592
A3_24,63.74656
A3_24,63.74896
A3_44,63.74992
A3_33,63.75792
A3_24,63.7604
A3_34,63.76288
A3_24,63.7636
A3_33,63.76424
A3_24,63.76656
A3_44,63.7668
A3_12,63.77224
A3_34,63.77728
A3_44,63.77752
A3_33,63.77784
A3_23,63.77872
A3_24,63.78072
A3_33,63.78248
A3_34,63.78272
A3_23,63.7828
A3_34,63.78496
A3_33,63.78568
A3_24,63.78584
A3_23,63.786
A3_43,63.78608
A3_11,63.78632
A3_44,63.7864
A3_34,63.78784
A3_44,63.7892
A3_11,63.78952
A3_24,63.79088
A3_14,63.79112
A3_34,63.79168
A3_44,63.79184
A3_23,63.7924
A3_33,63.79272
A3_43,63.79352
A3_44,63.79424
A3_34,63.79464
A3_24,63.79512
A3_33,63.79552
A3_23,63.79568
A3_14,63.79608
A3_44,63.79744
A3_24,63.79776
A3_23,63.79816
A3_13,63.79864
A3_34,63.79888
A3_33,63.79936
A3_32,63.79984
A3_24,63.80016
A3_34,63.80128
A3_33,63.80184
A3_44,63.80192
A3_23,63.8024
A3_24,63.804
A3_34,63.80432
A3_11,63.8052
A3_23,63.80616
A3_34,63.8068
A3_33,63.80696
A3_14,63.80848
A3_23,63.80904
A3_33,63.81096
A3_24,63.81112
A3_11,63.81128
A3_23,63.81232
A3_44,63.81464
A3_34,63.81504
A3_42,63.81504
A3_24,63.81544
A3_23,63.81672
A3_34,63.81736
A3_33,63.81752
A3_43,63.8184
A3_11,63.81872
A3_34,63.82184
A3_14,63.8228
A3_13,63.82376
A3_24,63.82592
A3_14,63.82608
A3_23,63.82616
A3_13,63.82656
A3_23,63.8288
A3_44,63.82896
A3_14,63.83032
A3_11,63.8308
A3_23,63.8312
A3_21,63.83288
A3_11,63.83344
A3_21,63.83664
A3_14,63.83872
A3_33,63.83944
A3_34,63.84392
A3_11,63.84408
A3_14,63.84512
A3_33,63.84864
A3_42,63.85256
A3_11,63.85384
A3_42,63.85528
A3_13,63.85552
A3_33,63.85728
A3_11,63.8588
A3_33,63.86112
A3_23,63.86424
A3_32,63.8644
A3_11,63.86456
A3_22,63.86488
A3_31,63.86656
A3_24,63.86904
A3_33,63.86904
A3_34,63.872
A3_24,63.87264
A3_11,63.87592
A3_12,63.87624
A3_23,63.87648
A3_43,63.87816
A3_42,63.88288
A3_11,63.88496
A3_11,63.8884
A3_42,63.8908
A3_14,63.89456
A3_23,63.89464
A3_24,63.89536
A3_11,63.89816
A3_42,63.90192
A3_11,63.902
A3_23,63.90248
A3_32,63.90288
A3_33,63.90312
A3_22,63.9032
A3_11,63.906
A3_44,63.90928
A3_42,63.91088
A3_21,63.91376
A3_34,63.91432
A3_42,63.91504
A3_11,63.91576
A3_23,63.92072
A3_11,63.92288
A3_42,63.92408
A3_12,63.92472
A3_11,63.92816
A3_34,63.92928
A3_44,63.92984
A3_33,63.932
A3_44,63.93392
A3_34,63.93424
A3_42,63.93456
A3_11,63.94176
A3_14,63.94592
A3_11,63.95008
A3_42,63.95016
A3_21,63.95304
A3_33,63.95456
A3_11,63.95576
A3_13,63.9588
A3_11,63.95944
A3_23,63.96064
A3_33,63.96264
A3_13,63.96304
A3_43,63.96416
A3_11,63.96424
A3_43,63.9672
A3_44,63.96856
A3_34,63.96896
A3_12,63.96904
A3_33,63.96944
A3_43,63.96952
A3_42,63.97128
A3_23,63.97456
A3_33,63.97568
A3_11,63.97736
A3_33,63.97936
A3_42,63.97992
A3_11,63.98024
A3_13,63.98448
A3_11,63.98696
A3_43,63.9872
A3_24,63.98744
A3_33,63.98856
A3_11,63.98952
A3_21,63.99
A3_11,63.99344
A3_33,63.99432
A3_34,63.99816
