Electrode,Time (s)
C3_42,1.13024
C3_21,1.59584
C3_21,3.73192
C3_42,5.52016
C3_31,5.87744
C3_23,5.94952
C3_23,6.6548
C3_21,6.95824
C3_21,10.4288
C3_23,10.71632
C3_42,10.95536
C3_21,11.30576
C3_21,11.506
C3_21,12.07816
C3_21,12.68544
C3_21,14.66888
C3_11,15.4836
C3_21,15.85352
C3_12,16.41648
C3_21,16.46104
C3_21,16.47512
C3_21,16.48256
C3_21,16.48992
C3_21,16.65576
C3_21,16.67208
C3_21,16.6796
C3_21,16.68728
C3_21,16.69512
C3_21,16.70344
C3_23,17.30712
C3_23,19.73152
C3_21,21.22512
C3_21,21.32888
C3_21,21.6476
C3_21,21.80704
C3_21,23.04592
C3_21,24.86032
C3_21,24.97064
C3_21,25.08784
C3_21,25.10416
C3_21,25.11208
C3_21,25.12048
C3_21,25.18968
C3_23,25.53824
C3_21,25.90288
C3_12,25.984
C3_42,26.02648
C3_23,27.16688
C3_23,27.56456
C3_11,27.8464
C3_21,27.84664
C3_21,28.43176
C3_23,28.4628
C3_42,28.54912
C3_11,28.99432
C3_23,29.29896
C3_21,29.44784
C3_23,29.7332
C3_23,29.77352
C3_11,31.24248
C3_21,31.2428
C3_21,31.42136
C3_21,31.6888
C3_21,32.62624
C3_21,32.64208
C3_11,32.7468
C3_21,32.82184
C3_21,33.9704
C3_23,35.58952
C3_23,36.59408
C3_21,36.62464
C3_21,37.19992
C3_21,37.29864
C3_21,37.3156
C3_21,37.32336
C3_21,37.33136
C3_21,37.3396
C3_21,37.34792
C3_32,37.52984
C3_21,37.71096
C3_31,38.35392
C3_42,39.07984
C3_21,41.51952
C3_21,41.5352
C3_21,41.69136
C3_21,41.69912
C3_21,41.70704
C3_21,41.71488
C3_21,43.03176
C3_23,43.14736
C3_23,43.41944
C3_23,43.71624
C3_23,43.918
C3_11,44.00648
C3_21,44.0728
C3_23,44.26976
C3_23,44.60112
C3_23,44.76936
C3_21,45.2
C3_21,46.958
C3_21,47.986
C3_21,48.00904
C3_21,48.0172
C3_21,48.02528
C3_21,48.03336
C3_42,49.63784
C3_21,50.78504
C3_21,51.53624
C3_21,51.67216
C3_42,52.30008
C3_23,53.07272
C3_21,53.26496
C3_23,53.26832
C3_31,53.62096
C3_23,53.74504
C3_21,53.96928
C3_21,54.06048
C3_21,54.08336
C3_23,54.16968
C3_21,54.23376
C3_21,54.39296
C3_23,55.0828
C3_32,55.10472
C3_23,56.17216
C3_23,56.80488
C3_21,56.89408
C3_23,57.0692
C3_21,57.85056
C3_21,57.91896
C3_21,58.036
C3_21,60.01448
C3_23,61.47536
C3_31,61.87624
C3_23,61.98504
C3_11,62.89712
C3_21,62.89744
C3_21,63.05704
C3_21,63.21672
C3_21,63.22544
C3_21,63.23336
C3_21,63.24152
C3_23,63.76728
C3_23,64.09584
C3_31,64.2176
C3_32,64.83512
C3_21,66.0384
C3_23,66.30528
C3_21,66.38368
C3_21,66.72584
C3_21,66.7644
C3_21,67.04112
C3_21,67.04872
C3_21,67.05664
C3_21,67.41208
C3_21,68.8264
C3_21,69.08208
