Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,1 month,0.02072,D2_31,0.039,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL,0.02152,A3_32,0.022,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.0404,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
   Original File Time,04/26/2023 09:59:43,0.06816,A5_22,0.025,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.08296,D4_34,0.016,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.08456,A4_12,0.014,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,04/26/2023 09:59:36,0.08528,A4_14,0.016,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.0956,A5_22,0.019,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.11456,A5_22,0.015,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.11888,D6_23,0.017,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.1236,A3_32,0.022,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.16168,A5_22,0.021,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.17832,A3_32,0.02,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.6 Degrees C,0.1988,A5_33,0.014,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.21904,A3_32,0.025,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.25416,A5_33,0.012,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,97-3313,0.296,D1_43,0.015,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.29672,A3_32,0.031,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,1.70%,0.33048,B4_42,0.015,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,0.36336,B4_42,0.015,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,0.37192,A3_32,0.023,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,0.4144,A3_32,0.031,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,0.4968,A3_32,0.033,,,,,,,,,,,,,,,,,,,,
,,0.51792,A3_32,0.026,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,0.5396,D3_33,0.012,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,0.54592,A3_32,0.027,,,,,,,,,,,,,,,,,,,,
   Threshold,6,0.56024,A3_32,0.03,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,0.63768,D2_31,0.025,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,0.64056,A5_43,0.013,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,0.64864,A4_31,0.017,,,,,,,,,,,,,,,,,,,,
