Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,1 month,0.00512,A2_13,0.017,,,,,,,,,,,,,,,,,,,,
Description,SNCA triplication,0.04088,C1_31,0.023,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.05888,D2_21,0.024,,,,,,,,,,,,,,,,,,,,
   Original File Time,04/26/2023 09:47:54,0.08456,C5_21,0.053,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.09712,D4_31,0.019,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.11856,D3_22,0.038,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,04/26/2023 09:47:46,0.12104,A4_42,0.027,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.12344,C5_21,0.075,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.13904,D1_23,0.016,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.13952,A2_21,0.031,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.19488,C5_21,0.055,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.19872,B4_22,0.02,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.2156,A2_31,0.022,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,0.22288,C4_42,0.017,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.25232,B3_42,0.022,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.27536,A2_42,0.041,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,100-8408,0.28696,A2_31,0.037,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.2892,C5_21,0.029,,,,,,,,,,,,,,,,,,,,
