Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,1 Month,0.00192,B4_33,0.013,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL,0.22448,D3_13,0.015,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.27504,A2_11,0.015,,,,,,,,,,,,,,,,,,,,
   Original File Time,04/01/2021 15:18:33,0.39424,B5_33,0.011,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,1.22136,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,1.4404,A1_34,0.015,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,04/01/2021 15:18:26,1.7548,D4_34,0.015,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,1.8668,C3_32,0.012,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,1.90728,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,1.9452,A3_42,0.012,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,2.15768,C1_44,0.011,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,2.24504,C5_42,0.014,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,2.5756,B3_43,0.012,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.8 Degrees C,2.64104,B3_13,0.014,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,2.70704,C1_23,0.014,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,3.72344,B3_43,0.012,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4944,4.22976,B5_33,0.011,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,5.08616,A6_42,0.014,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.10%,5.30656,B3_43,0.014,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,6.6936,D2_24,0.015,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,6.82464,A5_12,0.012,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,7.48256,C3_23,0.012,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,7.48464,C1_43,0.011,,,,,,,,,,,,,,,,,,,,
,,7.92384,B3_43,0.014,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,8.07512,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,8.70536,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
   Threshold,6,8.88368,B5_43,0.014,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,9.18432,C6_22,0.015,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,9.52656,A1_23,0.017,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,9.91608,A5_12,0.012,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,10.12288,C5_43,0.019,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),10.1408,D4_34,0.019,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,10.91104,D3_42,0.016,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,10.99952,B3_43,0.013,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,11.4176,C5_42,0.013,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,12.3236,B5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,12.69912,A1_23,0.024,,,,,,,,,,,,,,,,,,,,
