Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,101.8776,C4_11,0.013
,,102.90264,D2_24,0.021
,,104.90288,C4_11,0.017
,,106.57976,B2_24,0.015
,,107.09936,A1_23,0.016
,,107.34296,B6_32,0.016
,,108.93736,D2_24,0.021
,,109.8696,D3_24,0.014
,,110.24392,C4_11,0.015
,,111.29272,A1_23,0.016
,,112.11112,B6_32,0.019
,,112.35688,A1_23,0.014
,,112.41688,D2_24,0.02
,,112.69464,A1_23,0.015
,,114.04312,D3_24,0.013
,,115.70152,C4_11,0.017
,,116.92336,A3_12,0.012
,,117.18256,D3_24,0.011
,,118.28704,D2_24,0.02
,,119.29392,B4_34,0.017
,,120.19704,B6_32,0.017
,,120.32904,A1_23,0.014
,,120.79552,A1_23,0.017
,,121.07392,A1_14,0.02
,,121.23976,D2_12,0.022
,,124.6052,D2_24,0.024
,,125.3188,A1_23,0.015
,,126.39104,B6_42,0.017
,,126.76432,B6_32,0.018
,,126.80312,C4_11,0.017
,,127.64248,D2_24,0.023
,,128.9792,B6_32,0.017
,,129.49096,D2_24,0.023
,,130.17616,D2_11,0.011
,,130.46848,D2_24,0.019
,,130.93808,D5_44,0.014
,,132.15096,A1_23,0.017
,,132.292,A1_23,0.013
,,132.4404,B6_32,0.022
,,133.5388,D2_24,0.022
,,136.78864,B6_32,0.018
,,136.93208,B4_33,0.016
,,138.53824,A1_23,0.014
,,139.72736,D2_24,0.028
,,141.8308,B6_32,0.021
,,142.42104,C4_11,0.02
,,142.46696,C4_11,0.014
,,142.53776,A1_23,0.015
,,142.61528,B6_42,0.014
,,143.46944,D2_24,0.022
,,143.93184,A1_23,0.014
,,145.45728,A1_23,0.014
,,146.58912,B6_32,0.02
,,146.59424,B6_32,0.017
,,148.4288,D2_24,0.02
,,149.50624,D2_24,0.02
,,149.93072,C3_13,0.01
,,152.99048,D5_22,0.025
,,153.02016,D5_22,0.024
,,153.6716,C4_11,0.016
,,153.70432,D2_24,0.02
,,154.07256,A1_23,0.013
,,155.92536,D2_24,0.021
,,156.31456,B6_32,0.014
,,157.3328,B5_21,0.014
,,158.13048,D2_24,0.024
,,158.82904,D2_24,0.021
,,161.18296,D2_24,0.018
,,162.45536,D2_24,0.025
,,162.81608,D2_24,0.018
,,163.73552,D2_24,0.02
,,164.59768,D2_12,0.02
,,165.66704,A1_23,0.014
,,167.64632,D3_24,0.012
,,168.30704,D2_24,0.022
,,169.15016,A1_23,0.016
,,169.88336,B6_32,0.02
,,171.56416,C4_11,0.014
,,173.286,D2_24,0.023
,,174.49648,D2_24,0.017
,,174.96712,A1_23,0.016
,,175.5204,D2_24,0.021
,,175.64264,A1_23,0.014
,,175.98544,D3_24,0.014
,,176.68808,C4_11,0.015
,,177.19408,A1_23,0.015
,,177.9428,D2_24,0.023
,,179.62768,C4_11,0.014
,,180.38056,A1_23,0.013
,,180.74872,B6_32,0.014
,,182.18032,A2_31,0.011
,,183.20016,A1_23,0.015
,,183.45128,A1_14,0.017
,,183.49264,A1_23,0.015
,,184.23064,A1_23,0.015
,,184.3568,B6_42,0.012
,,184.82128,C4_11,0.018
,,184.94168,D2_24,0.018
,,185.27328,A1_23,0.017
,,185.38144,A1_23,0.017
,,186.17744,B6_32,0.017
,,187.13936,D2_24,0.024
,,187.27704,A1_23,0.015
,,189.12896,B5_33,0.013
,,189.27272,B5_33,0.012
,,190.6648,C2_31,0.016
,,190.67896,A1_23,0.014
,,191.93824,A1_23,0.015
,,192.93768,D2_24,0.022
,,194.24296,A1_23,0.015
,,195.0128,B4_33,0.021
,,196.00584,B6_32,0.019
,,196.71072,B1_32,0.013
,,196.76776,A1_23,0.012
,,197.90432,D2_24,0.02
,,198.59576,B6_42,0.013
,,199.48664,C4_11,0.014
,,200.43984,B2_21,0.033
,,201.19536,D2_24,0.025
,,201.40104,D2_24,0.019
,,201.54968,D2_12,0.042
,,201.68864,B3_21,0.012
,,202.24696,A1_23,0.016
,,204.2856,A1_23,0.015
,,207.07968,D2_24,0.021
,,207.61736,C4_11,0.017
,,208.15792,C4_11,0.018
,,208.2184,A1_23,0.016
,,208.42152,B6_32,0.021
,,208.60056,D3_24,0.014
,,210.47592,C4_11,0.019
,,210.82208,D5_44,0.013
,,210.97624,B2_24,0.016
,,211.17464,D2_12,0.035
,,211.75256,D2_24,0.018
,,212.24768,A1_23,0.017
,,215.5684,B5_33,0.013
,,218.32288,A1_14,0.019
,,220.53088,A1_23,0.015
,,221.0028,D2_24,0.022
,,221.97464,A1_23,0.015
,,222.96264,B6_32,0.019
,,224.0776,C5_33,0.014
,,224.28064,D3_24,0.013
,,225.93208,A1_23,0.012
,,227.6368,A1_23,0.016
,,227.92008,D5_12,0.01
,,228.59408,D2_24,0.022
,,230.66832,D5_44,0.016
,,231.5844,A1_23,0.016
,,233.34776,D2_12,0.02
,,234.41256,C3_13,0.011
,,234.438,D3_24,0.014
,,235.30432,D2_12,0.025
,,235.37656,D2_12,0.022
,,236.59968,D2_24,0.017
,,236.73864,D2_24,0.019
,,238.53336,B6_32,0.017
,,242.36904,A1_23,0.014
,,242.98,A1_23,0.014
,,243.63672,C4_11,0.015
,,243.75016,A1_23,0.016
,,244.60056,D2_24,0.021
,,246.07168,D2_24,0.015
,,246.67672,D3_24,0.012
,,247.4276,A1_23,0.019
,,248.55992,A1_23,0.017
,,248.66912,A1_23,0.016
,,250.70848,D2_12,0.021
,,251.7548,D3_24,0.011
,,253.21968,A1_23,0.014
,,253.50672,A1_23,0.015
,,253.80536,A1_23,0.014
,,253.88776,A1_23,0.014
,,254.10112,D2_24,0.019
,,254.30048,D2_24,0.02
,,255.63496,D5_12,0.012
,,255.65736,D2_12,0.043
,,255.93224,B6_32,0.016
,,256.20992,A1_23,0.017
,,256.6508,D3_24,0.013
,,256.84568,D2_24,0.018
,,259.29496,A1_23,0.021
,,261.11064,A1_23,0.016
,,261.244,D2_24,0.018
,,261.63608,D2_11,0.015
,,262.68816,D2_12,0.044
,,262.71048,A1_23,0.015
,,262.88656,D2_12,0.041
,,263.25552,A1_23,0.017
,,264.35448,A1_23,0.018
,,265.10296,A1_23,0.019
,,265.39024,A1_23,0.013
,,265.43264,D2_24,0.019
,,265.81744,D2_24,0.018
,,265.88568,A1_23,0.015
,,265.96096,D2_12,0.021
,,266.25024,D2_24,0.024
,,266.94952,B4_22,0.013
,,268.17848,D5_23,0.012
,,269.82928,B6_42,0.013
,,269.87144,A1_23,0.018
,,271.68312,C2_31,0.015
,,272.2928,B6_32,0.019
,,272.36488,A1_23,0.015
,,272.9956,D2_12,0.049
,,273.06392,A1_23,0.016
,,273.6156,C4_11,0.018
,,274.30112,D2_24,0.017
,,274.39544,D2_12,0.043
,,274.68744,A1_23,0.014
,,274.91456,D3_24,0.013
,,275.42456,A1_23,0.013
,,275.50664,B6_32,0.021
,,275.97104,D2_12,0.026
,,276.42776,D2_12,0.034
,,276.50504,D2_12,0.027
,,276.64528,D2_24,0.02
,,278.63216,D2_12,0.025
,,278.68208,D2_12,0.027
,,278.79264,D2_12,0.026
,,278.86336,D2_12,0.029
,,278.93864,D2_12,0.033
,,278.99904,D2_12,0.028
,,279.18872,D2_12,0.029
,,279.58568,D2_12,0.025
,,280.15464,D2_12,0.03
,,280.24624,C4_11,0.015
,,280.27944,D2_12,0.027
,,280.62968,D2_12,0.031
,,281.77584,D2_24,0.02
,,282.15104,A1_23,0.017
,,282.4404,A1_23,0.018
,,283.79288,D2_24,0.019
,,284.29208,A1_23,0.014
,,284.81968,D5_44,0.014
,,285.03144,B6_32,0.019
,,285.8752,B6_32,0.016
,,285.93208,D2_12,0.029
,,286.27056,D2_12,0.04
,,286.53144,D2_12,0.042
,,286.96648,B2_21,0.039
,,288.46288,B6_32,0.02
,,288.63272,A5_12,0.016
,,290.62352,D2_24,0.02
,,290.79832,B4_24,0.013
,,292.7676,D2_12,0.043
,,292.84504,B6_32,0.018
,,292.89696,D2_12,0.043
,,294.62712,A1_23,0.016
,,295.16008,D2_24,0.024
,,296.24304,D5_44,0.014
,,296.53688,D2_24,0.019
,,299.47928,B6_32,0.022
,,299.57528,B6_32,0.025
,,299.99704,B6_32,0.016
,,300.1088,D2_12,0.044
,,300.82112,B6_32,0.022
,,300.93184,B6_32,0.021
,,301.31392,C2_31,0.018
,,302.43768,D2_12,0.02
,,303.06664,D2_24,0.02
,,303.5008,D2_24,0.021
,,304.22608,A1_23,0.015
,,304.30896,D2_24,0.026
,,305.11432,A1_23,0.014
,,306.12024,D2_12,0.042
,,307.38872,C5_33,0.013
,,307.89984,B6_32,0.019
,,309.246,D2_24,0.02
,,309.77888,B6_32,0.017
,,311.03832,D5_44,0.014
,,311.08128,D2_12,0.041
,,311.40616,D2_12,0.041
,,313.88872,D2_12,0.018
,,314.83128,A1_23,0.016
,,315.14632,D2_12,0.032
,,315.15032,A1_23,0.017
,,315.81336,D2_12,0.022
,,315.8744,D2_12,0.027
,,316.32024,D2_12,0.038
,,316.442,D2_12,0.043
,,316.55584,D2_12,0.045
,,316.58216,D2_12,0.022
,,318.71064,D2_12,0.042
,,320.09944,D2_12,0.025
,,320.15056,D2_12,0.026
,,322.03952,D2_24,0.021
,,322.094,D3_24,0.013
,,323.00568,A1_23,0.019
,,324.21984,D2_24,0.019
,,324.2264,C4_11,0.013
,,324.6952,B6_32,0.016
,,325.01736,A1_23,0.015
,,325.156,D2_24,0.021
,,325.67248,D2_24,0.021
,,326.55224,A1_23,0.015
,,329.78424,D5_44,0.014
,,331.07328,A1_14,0.022
,,331.21432,B6_32,0.017
,,331.38968,D2_12,0.042
,,332.61768,D5_44,0.017
,,333.88816,A1_23,0.014
,,334.87488,D2_24,0.021
,,335.74952,D2_12,0.047
,,335.85928,D2_12,0.046
,,339.26112,A1_23,0.016
,,340.34624,D3_24,0.011
,,340.81352,D2_12,0.043
,,341.69616,A5_11,0.01
,,341.82424,B6_32,0.023
,,342.35088,A1_23,0.015
,,344.4956,B6_32,0.016
,,345.32008,A1_23,0.017
,,345.40232,D2_12,0.027
,,345.68352,D2_12,0.028
,,346.20624,D2_24,0.021
,,347.98936,B6_32,0.02
,,348.26656,C4_11,0.015
,,348.37704,D2_24,0.02
,,350.18952,B2_24,0.016
,,352.0176,A1_23,0.015
,,352.1864,B6_32,0.019
,,352.65248,A1_23,0.014
,,352.72488,D2_24,0.024
,,353.60032,D2_12,0.028
,,353.9084,D2_24,0.015
,,353.97216,D2_12,0.03
,,354.56952,D2_24,0.019
,,354.95288,B6_14,0.013
,,356.57624,A1_23,0.015
,,356.81984,A1_23,0.015
,,357.98032,B1_32,0.013
,,358.07104,B3_41,0.007
,,358.42296,A1_23,0.017
,,358.9832,A1_23,0.014
,,359.96032,A1_23,0.015
,,362.32072,B2_24,0.019
,,364.74704,A1_23,0.018
,,365.30672,D2_24,0.02
,,365.46768,A1_23,0.015
,,365.51088,C2_31,0.018
,,366.33664,A1_23,0.014
,,366.7236,D2_12,0.041
,,366.8216,D2_12,0.04
,,366.91816,D2_12,0.041
,,367.28208,A1_23,0.014
,,367.8436,A1_23,0.015
,,367.9524,D2_24,0.019
,,368.50224,B6_32,0.017
,,368.79848,A1_23,0.016
,,368.91,D2_24,0.019
,,368.96456,A1_23,0.016
,,370.21328,D2_24,0.017
,,371.84696,A1_23,0.015
,,371.8792,B6_42,0.013
,,374.06088,B6_12,0.016
,,374.21776,A1_23,0.015
,,375.31416,D2_24,0.021
,,376.0736,D2_24,0.016
,,376.64336,D2_12,0.02
,,377.2812,B6_42,0.013
,,377.70328,A1_23,0.013
,,377.75664,D3_24,0.013
,,377.83504,D2_24,0.018
,,379.3276,A1_23,0.015
,,380.3972,C2_31,0.017
,,380.87688,D2_24,0.019
,,383.08512,B1_32,0.013
,,384.53152,B6_32,0.017
