Electrode,Time (s)
B5_12,0.61312
B5_12,1.06152
B5_12,1.27384
B5_12,2.57608
B5_12,26.36584
B5_12,26.8372
B5_12,30.57128
B5_12,36.60856
B5_12,37.57752
B5_12,42.09536
B5_12,45.54256
B5_12,47.67912
B5_12,48.08424
B5_13,48.08584
B5_13,48.1032
B5_12,51.032
B5_12,60.15128
B5_12,74.35648
B5_24,77.56952
B5_23,77.56976
B5_14,77.57024
B5_34,77.57208
B5_23,77.5796
B5_34,77.58184
B5_13,83.3692
B5_12,86.93816
B5_12,93.3856
B5_12,100.3324
B5_12,103.2124
B5_12,103.8236
B5_12,107.55536
B5_12,109.44288
B5_12,109.64912
B5_12,120.11104
B5_12,120.15856
B5_12,121.40096
B5_23,121.95184
B5_12,129.4284
B5_12,141.66328
B5_23,145.31032
B5_23,147.68184
B5_23,155.68928
B5_13,155.68992
B5_13,156.14784
B5_24,156.39552
B5_12,163.93536
B5_12,170.9628
B5_12,171.15
B5_22,176.61216
B5_12,183.11448
B5_14,184.33432
B5_24,184.33592
B5_34,184.33616
B5_12,184.47408
B5_14,184.51448
B5_12,186.50968
B5_13,186.50992
B5_12,187.28288
B5_12,188.09328
B5_12,188.84352
B5_14,189.85088
B5_13,189.85256
B5_13,189.85912
B5_12,189.88104
B5_12,190.45168
B5_12,190.59752
B5_12,191.9452
B5_12,192.0108
B5_12,194.38688
B5_12,194.64552
B5_12,196.02904
B5_12,200.13528
B5_12,200.32648
B5_13,200.71088
B5_24,200.71112
B5_33,200.71152
B5_22,200.71184
B5_12,200.74232
B5_24,200.74288
B5_33,200.7432
B5_23,200.74328
B5_22,200.74352
B5_12,202.00264
B5_12,202.08976
B5_12,203.46936
B5_12,205.89536
B5_23,206.34032
B5_24,206.34072
B5_12,207.03088
B5_12,208.73856
B5_12,209.65712
B5_12,210.78776
B5_12,211.69392
B5_12,211.97552
B5_12,212.67328
B5_12,213.57152
B5_12,215.55192
B5_12,216.7376
B5_12,216.92536
B5_12,217.89192
B5_12,218.24232
B5_12,221.32952
B5_12,222.11768
B5_24,223.336
B5_12,224.31208
B5_12,224.4192
B5_12,227.88264
B5_12,228.73192
B5_13,228.73208
B5_12,229.3704
B5_12,230.8452
B5_23,231.48592
B5_23,231.67792
B5_14,232.22704
B5_24,232.22856
B5_34,232.2288
B5_12,233.41448
B5_12,234.55104
B5_12,237.71112
B5_24,237.7116
