Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
D3_11,140,7.7072,8.69088,0.9836799999999997
D3_11,146,57.36448,58.6016,1.2371199999999973
D3_11,141,91.65312,92.56816,0.9150400000000047
D3_11,5,92.79528,92.97944,0.18415999999999144
D3_11,150,125.03936,126.21784,1.1784799999999933
D3_11,155,170.31904,171.4076,1.088560000000001
D3_11,159,211.9816,213.22952,1.247920000000022
D3_11,155,242.42856,243.47128,1.0427200000000028
D3_11,5,243.58104,243.78376,0.20271999999999935
D3_11,161,291.50368,292.74704,1.2433600000000524
D3_11,143,338.5896,339.488,0.898399999999981
D3_11,164,427.8296,429.09056,1.2609599999999546
D3_11,168,483.41768,484.608,1.1903199999999856
D3_11,159,539.9616,541.04304,1.0814400000000433
D3_12,72,7.692,8.37032,0.6783199999999994
D3_12,79,57.41144,58.20688,0.7954399999999993
D3_12,77,91.73576,92.61432,0.8785600000000073
D3_12,80,125.08672,125.88272,0.7960000000000065
D3_12,79,170.39416,171.14152,0.7473600000000147
D3_12,69,212.12904,212.68656,0.5575199999999825
D3_12,80,242.46144,243.10952,0.6480799999999931
D3_12,74,291.6896,292.49216,0.8025600000000281
D3_12,96,338.65464,339.58216,0.9275200000000154
D3_12,85,427.92856,428.80752,0.8789600000000064
D3_12,88,483.44248,484.18664,0.7441600000000221
D3_12,86,539.98288,540.97976,0.9968800000000329
D3_13,86,7.7244,8.64112,0.9167200000000006
D3_13,89,57.39408,58.29784,0.9037599999999983
D3_13,84,91.67792,92.51992,0.8419999999999987
D3_13,86,125.09592,125.976,0.8800799999999924
D3_13,94,170.37984,171.3416,0.9617599999999982
D3_13,78,212.09568,212.89104,0.7953600000000165
D3_13,98,242.47032,243.4388,0.9684799999999996
D3_13,77,291.67216,292.33592,0.6637599999999679
D3_13,96,338.65888,339.58976,0.9308800000000019
D3_13,111,427.90536,429.1936,1.2882400000000302
D3_13,103,483.38576,484.2184,0.8326399999999694
D3_13,107,540.0064,541.0452,1.0388000000000375
D3_14,9,7.82944,7.96688,0.13743999999999978
D3_14,12,57.49712,57.78728,0.2901600000000002
D3_14,11,91.78512,92.01256,0.2274399999999872
D3_14,19,125.10888,125.2676,0.15872000000000241
D3_14,19,170.4244,170.76208,0.337680000000006
D3_14,28,212.17288,212.61272,0.4398400000000038
D3_14,36,242.52888,243.04896,0.5200800000000072
D3_14,36,291.68352,292.17608,0.49256000000002587
D3_14,50,338.69544,339.34624,0.6508000000000038
D3_14,57,427.89296,428.45008,0.5571199999999976
D3_14,69,483.4576,484.27344,0.8158399999999801
D3_14,82,539.97936,540.75056,0.771199999999908
D3_14,5,540.88904,540.99704,0.10799999999994725
D3_21,75,7.6908,8.43168,0.7408799999999998
D3_21,63,57.43632,57.9844,0.5480799999999988
D3_21,82,91.6604,92.56416,0.9037600000000054
D3_21,71,125.09104,125.78632,0.6952799999999968
D3_21,72,170.2928,171.20976,0.9169599999999889
D3_21,78,212.08568,212.93072,0.8450400000000116
D3_21,71,242.4988,243.17016,0.6713600000000213
D3_21,69,291.7224,292.24592,0.5235200000000191
D3_21,79,338.622,339.48752,0.8655200000000036
D3_21,88,427.93552,429.00056,1.0650400000000104
D3_21,77,483.39008,484.27752,0.8874399999999696
D3_21,79,540.0028,540.84792,0.8451200000000654
D3_22,64,7.69168,8.46984,0.7781599999999997
D3_22,63,57.42808,58.08504,0.656959999999998
D3_22,70,91.71088,92.352,0.6411200000000008
D3_22,53,125.0704,125.77936,0.7089599999999905
D3_22,69,170.3496,171.14912,0.7995200000000011
D3_22,69,212.12976,212.93328,0.8035199999999918
D3_22,70,242.5048,243.38352,0.8787200000000155
D3_22,67,291.69408,292.2688,0.5747200000000134
D3_22,61,338.7112,339.35768,0.6464799999999968
D3_22,82,427.8884,428.61448,0.7260800000000245
D3_22,72,483.45888,484.21696,0.7580799999999499
D3_22,68,540.03024,540.63152,0.6012799999999743
D3_23,8,7.85352,7.95552,0.10200000000000031
D3_23,13,57.44544,57.67056,0.22512000000000398
D3_23,8,91.7328,91.88528,0.15247999999999706
D3_23,7,125.136,125.23744,0.10144000000001085
D3_23,8,242.56744,242.70072,0.13327999999998497
D3_23,9,291.67072,291.85208,0.18135999999998376
D3_23,5,338.75032,338.80664,0.0563200000000279
D3_23,11,427.9392,428.27616,0.3369599999999764
D3_23,10,483.47792,483.59288,0.1149599999999964
D3_23,7,540.06752,540.13032,0.06280000000003838
D3_24,138,7.68496,8.74288,1.0579199999999993
D3_24,122,57.35248,58.31328,0.960799999999999
D3_24,117,91.60656,92.64168,1.035119999999992
D3_24,5,92.74328,92.93072,0.18743999999999517
D3_24,122,125.03224,126.01352,0.9812799999999982
D3_24,108,170.32976,171.35168,1.0219199999999944
D3_24,133,212.11536,213.1236,1.0082400000000007
D3_24,112,242.46016,243.24376,0.783600000000007
D3_24,6,243.38144,243.46,0.07856000000001018
D3_24,124,291.66888,292.75264,1.0837599999999838
D3_24,113,338.65088,339.54752,0.8966400000000476
D3_24,114,427.872,428.768,0.8959999999999582
D3_24,127,483.434,484.42136,0.9873599999999669
D3_24,121,539.97376,541.04936,1.0756000000000085
D3_31,33,7.77616,8.1304,0.3542399999999999
D3_31,37,57.43056,57.93064,0.500079999999997
D3_31,5,60.16608,60.40696,0.2408799999999971
D3_31,43,91.68024,92.29816,0.617919999999998
D3_31,7,94.3148,94.51544,0.20063999999999282
D3_31,40,125.07064,125.53192,0.46128000000000213
D3_31,52,170.35896,171.24872,0.8897599999999954
D3_31,46,212.1128,213.03088,0.9180800000000033
D3_31,39,242.45728,242.908,0.4507199999999898
D3_31,7,243.13048,243.50472,0.37423999999998614
D3_31,58,291.67968,292.6668,0.9871200000000044
D3_31,50,338.67536,339.1744,0.4990399999999795
D3_31,5,339.27456,339.41264,0.1380800000000022
D3_31,53,427.94312,428.42088,0.4777599999999893
D3_31,53,483.46512,484.11376,0.6486400000000003
D3_31,6,484.26448,484.5608,0.29631999999998015
D3_31,54,540.00288,540.7968,0.7939199999999573
D3_31,6,541.05024,541.31888,0.2686400000000049
D3_32,91,7.71016,8.44368,0.7335200000000004
D3_32,72,57.40904,58.12456,0.715520000000005
D3_32,77,91.73632,92.61344,0.8771199999999908
D3_32,83,125.03448,125.718,0.6835200000000015
D3_32,88,170.34936,171.22096,0.8716000000000008
D3_32,86,212.10896,212.932,0.8230399999999918
D3_32,86,242.484,243.29552,0.8115200000000016
D3_32,73,291.6796,292.37976,0.7001599999999826
D3_32,77,338.70336,339.3368,0.6334400000000073
D3_32,7,339.44736,339.672,0.22464000000002216
D3_32,83,427.91632,428.74088,0.8245600000000195
D3_32,82,483.43976,484.26888,0.8291200000000458
D3_32,80,540.02248,540.99368,0.9712000000000671
D3_33,77,7.78376,8.50576,0.7220000000000004
D3_33,82,57.42048,58.34792,0.9274400000000043
D3_33,77,91.73848,92.5396,0.8011199999999974
D3_33,67,125.07,125.88576,0.8157600000000116
D3_33,78,170.37216,171.51168,1.1395200000000045
D3_33,84,212.1236,213.19952,1.0759199999999964
D3_33,80,242.51144,243.3304,0.8189600000000041
D3_33,87,291.694,292.57416,0.8801599999999894
D3_33,85,338.69848,339.51504,0.8165599999999813
D3_33,66,427.92584,428.57152,0.6456800000000271
D3_33,96,483.41184,484.16192,0.7500800000000254
D3_33,6,484.35104,484.40176,0.05072000000001253
D3_33,98,540.00744,540.99976,0.9923200000000634
D3_34,129,7.66376,8.73904,1.0752799999999993
D3_34,120,57.4124,58.40208,0.9896799999999999
D3_34,112,91.66696,92.47224,0.8052799999999962
D3_34,108,125.05136,125.8776,0.8262399999999985
D3_34,114,170.2744,171.4296,1.1551999999999794
D3_34,129,212.08936,212.99496,0.9055999999999926
D3_34,146,242.44424,243.6028,1.1585599999999943
D3_34,116,291.65032,292.5952,0.9448799999999551
D3_34,119,338.6616,339.7112,1.049599999999998
D3_34,134,427.88464,428.81824,0.9336000000000126
D3_34,125,483.42096,484.4016,0.980639999999994
D3_34,6,484.54896,484.82104,0.2720799999999599
D3_34,145,539.9528,540.99168,1.0388799999999492
D3_41,13,7.79136,8.00208,0.21071999999999935
D3_41,5,8.12808,8.31016,0.18207999999999913
D3_41,16,57.5216,57.6756,0.15400000000000347
D3_41,17,91.76304,92.0788,0.3157599999999974
D3_41,13,125.1184,125.29192,0.17352000000001055
D3_41,28,170.35824,170.8396,0.4813599999999951
D3_41,22,212.18656,212.58552,0.39896000000001663
D3_41,16,242.45672,242.75512,0.2984000000000151
D3_41,22,291.74632,292.0828,0.33647999999999456
D3_41,16,338.73928,338.90248,0.16320000000001755
D3_41,21,427.97,428.29472,0.3247199999999566
D3_41,15,483.45656,483.6484,0.1918399999999565
D3_41,5,483.87032,483.96664,0.09631999999999152
D3_41,17,539.986,540.19528,0.20928000000003522
D3_42,98,7.76416,8.71208,0.9479199999999999
D3_42,5,10.13936,10.27664,0.1372800000000005
D3_42,97,57.41696,58.16424,0.7472799999999964
D3_42,98,91.68992,92.33504,0.6451200000000057
D3_42,11,92.44688,92.75984,0.3129600000000039
D3_42,108,125.06016,126.01448,0.9543200000000098
D3_42,91,170.38576,171.22496,0.8392000000000053
D3_42,101,212.12,213.19288,1.0728799999999978
D3_42,90,242.49424,243.31072,0.8164800000000128
D3_42,100,291.65272,292.59248,0.9397600000000352
D3_42,103,338.70112,339.67304,0.9719200000000114
D3_42,110,427.89328,428.71056,0.8172799999999825
D3_42,101,483.4404,484.2484,0.8079999999999927
D3_42,5,484.52168,484.73848,0.2167999999999779
D3_42,104,540.00608,540.86888,0.8627999999999929
D3_43,94,7.69808,8.60832,0.9102400000000008
D3_43,89,57.40432,58.2292,0.8248800000000003
D3_43,85,91.68448,92.53816,0.8536800000000113
D3_43,85,125.0524,125.71464,0.662239999999997
D3_43,6,125.83584,125.97216,0.13631999999999778
D3_43,85,170.42336,171.28512,0.8617600000000039
D3_43,100,212.12008,212.93784,0.8177599999999927
D3_43,96,242.5204,243.43248,0.9120800000000031
D3_43,75,291.67264,292.52992,0.8572800000000029
D3_43,91,338.63528,339.47816,0.8428799999999796
D3_43,111,427.89296,428.89056,0.9975999999999772
D3_43,106,483.44008,484.4012,0.961119999999994
D3_43,111,540.02144,540.7924,0.7709600000000592
D3_44,125,7.62944,8.792,1.16256
D3_44,110,57.38552,58.42176,1.0362399999999994
D3_44,102,91.63928,92.57472,0.9354399999999998
D3_44,109,125.07904,125.9648,0.8857599999999906
D3_44,6,126.09664,126.392,0.2953600000000023
D3_44,114,170.3924,171.34528,0.9528799999999933
D3_44,126,212.10048,213.1728,1.0723199999999906
D3_44,108,242.43792,243.39384,0.9559200000000203
D3_44,102,291.60664,292.62328,1.0166399999999953
D3_44,123,338.59872,339.64064,1.0419200000000046
D3_44,124,427.93832,428.89632,0.9580000000000268
D3_44,139,483.36256,484.38384,1.021280000000047
D3_44,137,539.99224,541.1044,1.1121600000000171
