Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
16,16,7.62944,8.792,1.16256,0.7194749999999999,1252
16,16,57.35248,58.6016,1.2491199999999978,0.719535,1210
16,16,91.60656,92.64168,1.035119999999992,0.7154349999999994,1201
16,16,125.03224,126.21784,1.1855999999999938,0.6851800000000008,1201
15,15,170.2744,171.51168,1.2372799999999984,0.8710026666666655,1246
14,14,212.08568,213.19952,1.1138400000000104,0.8238628571428563,1149
16,16,242.42856,243.6028,1.1742399999999975,0.7418100000000045,1291
15,15,291.60664,292.75264,1.1459999999999582,0.7323146666666654,1089
16,16,338.5896,339.7112,1.1216000000000008,0.7431950000000036,1307
15,16,427.8296,429.1936,1.363999999999976,0.8117849999999969,1414
16,16,483.36256,484.608,1.2454400000000305,0.7825949999999935,1431
16,16,539.9528,541.1044,1.1516000000000304,0.8265400000000156,1455
