Electrode,Time (s)
D3_21,0.6292
D3_21,1.76968
D3_12,2.45168
D3_22,2.63704
D3_21,3.09872
D3_12,4.4004
D3_12,5.1312
D3_21,5.3232
D3_32,5.57424
D3_12,6.98664
D3_21,7.18424
D3_21,7.46328
D3_21,7.56824
D3_44,7.62944
D3_34,7.66376
D3_33,7.68128
D3_24,7.68496
D3_34,7.68608
D3_21,7.6908
D3_22,7.69168
D3_12,7.692
D3_43,7.69808
D3_44,7.6984
D3_43,7.702
D3_12,7.70304
D3_21,7.706
D3_11,7.7072
D3_34,7.70728
D3_32,7.71016
D3_44,7.7128
D3_44,7.71568
D3_24,7.71816
D3_32,7.71848
D3_21,7.71984
D3_44,7.72208
D3_13,7.7244
D3_32,7.72448
D3_43,7.72896
D3_24,7.72904
D3_44,7.73032
D3_21,7.73216
D3_24,7.73272
D3_34,7.73344
D3_13,7.7348
D3_11,7.73648
D3_12,7.73744
D3_43,7.73816
D3_12,7.74184
D3_11,7.74648
D3_44,7.74736
D3_32,7.7476
D3_34,7.74888
D3_24,7.74904
D3_21,7.75168
D3_24,7.7524
D3_22,7.7536
D3_34,7.7544
D3_43,7.756
D3_11,7.75608
D3_24,7.7564
D3_13,7.75792
D3_34,7.75848
D3_11,7.75976
D3_32,7.75984
D3_44,7.75984
D3_21,7.76288
D3_11,7.76312
D3_24,7.764
D3_42,7.76416
D3_12,7.76552
D3_24,7.76744
D3_12,7.7684
D3_44,7.77096
D3_44,7.77472
D3_31,7.77616
D3_34,7.77624
D3_13,7.77816
D3_11,7.77848
D3_22,7.77912
D3_34,7.77928
D3_44,7.77968
D3_32,7.77976
D3_21,7.78048
D3_43,7.78048
D3_32,7.782
D3_24,7.78216
D3_11,7.78256
D3_13,7.78296
D3_12,7.78376
D3_33,7.78376
D3_32,7.78576
D3_11,7.78608
D3_13,7.78632
D3_24,7.78816
D3_33,7.7884
D3_31,7.78944
D3_12,7.7896
D3_11,7.78968
D3_34,7.79008
D3_41,7.79136
D3_32,7.79224
D3_34,7.79312
D3_42,7.79336
D3_11,7.794
D3_13,7.7944
D3_12,7.79568
D3_33,7.79568
D3_42,7.796
D3_21,7.79608
D3_34,7.79712
D3_31,7.7976
D3_24,7.79768
D3_12,7.79792
D3_32,7.79816
D3_21,7.7984
D3_33,7.7996
D3_32,7.80136
D3_13,7.80152
D3_24,7.8016
D3_43,7.802
D3_11,7.8024
D3_44,7.80264
D3_21,7.80312
D3_22,7.80424
D3_13,7.80496
D3_43,7.80536
D3_44,7.80648
D3_34,7.80672
D3_42,7.8068
D3_31,7.80696
D3_22,7.8076
D3_43,7.80832
D3_21,7.8088
D3_32,7.80888
D3_24,7.80904
D3_33,7.80904
D3_11,7.81
D3_44,7.81016
D3_34,7.81024
D3_13,7.81232
D3_24,7.81232
D3_11,7.81256
D3_34,7.81296
D3_22,7.81328
D3_31,7.81384
D3_12,7.814
D3_24,7.8148
D3_42,7.81504
D3_41,7.81544
D3_21,7.8156
D3_43,7.81568
D3_24,7.81704
D3_13,7.81752
D3_34,7.81752
D3_33,7.81776
D3_31,7.81784
D3_12,7.81792
D3_44,7.8184
D3_42,7.81888
D3_11,7.81928
D3_24,7.81952
D3_33,7.82
D3_12,7.82072
D3_13,7.82072
D3_21,7.82096
D3_34,7.82112
D3_44,7.82112
D3_42,7.82128
D3_22,7.82136
D3_32,7.82192
D3_41,7.82296
D3_24,7.82304
