Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
D2_11,88,44.64216,45.58944,0.9472800000000063
D2_11,118,106.2468,107.08856,0.8417600000000078
D2_11,111,184.00392,184.79056,0.7866400000000056
D2_11,5,184.90808,185.06272,0.15464000000000055
D2_11,101,229.61944,230.41768,0.7982399999999927
D2_11,92,269.89392,270.9556,1.061680000000024
D2_11,99,313.33888,314.09608,0.7571999999999548
D2_11,96,354.87368,355.72656,0.8528800000000274
D2_11,98,416.99864,417.88376,0.8851199999999722
D2_11,102,462.8092,463.83392,1.024720000000002
D2_11,106,526.85768,527.71752,0.8598400000000765
D2_12,22,44.78456,45.01824,0.23367999999999967
D2_12,18,106.36056,106.47848,0.11791999999999803
D2_12,11,106.59424,106.74088,0.146640000000005
D2_12,22,184.08832,184.2836,0.1952799999999968
D2_12,5,184.49584,184.74816,0.25232000000002586
D2_12,26,229.67112,230.00392,0.33279999999999177
D2_12,21,270.00928,270.34376,0.334479999999985
D2_12,24,313.39648,313.6888,0.2923200000000179
D2_12,29,354.96752,355.4692,0.5016800000000217
D2_12,12,417.05368,417.2536,0.19992000000002008
D2_12,13,462.93664,463.20056,0.2639199999999846
D2_12,15,526.94888,527.19536,0.24648000000001957
D2_12,20,572.57928,572.74616,0.16687999999999192
D2_13,7,184.10672,184.2432,0.13648000000000593
D2_13,5,229.74584,229.84304,0.09720000000001505
D2_13,5,355.03248,355.10016,0.06767999999999574
D2_13,6,526.96696,527.0728,0.10584000000005744
D2_14,14,44.8504,45.0884,0.23799999999999955
D2_14,7,106.44376,106.53384,0.09008000000000038
D2_14,22,184.08832,184.57888,0.4905599999999879
D2_14,14,229.73936,229.97168,0.2323199999999872
D2_14,15,269.98032,270.37416,0.3938400000000115
D2_14,12,313.39536,313.678,0.2826400000000149
D2_14,12,354.99856,355.30808,0.30952000000002045
D2_14,12,417.06776,417.20616,0.1383999999999901
D2_14,16,462.87936,463.168,0.2886399999999867
D2_14,26,526.86328,527.28104,0.4177599999999302
D2_14,13,572.624,572.8016,0.177599999999984
D2_21,37,44.78664,45.21656,0.42992000000000274
D2_21,50,106.32264,106.99184,0.6691999999999894
D2_21,41,184.05224,184.74872,0.6964799999999798
D2_21,53,229.706,230.30624,0.6002400000000137
D2_21,33,269.9492,270.27232,0.32311999999996033
D2_21,6,270.38112,270.51408,0.13295999999996866
D2_21,43,313.42624,313.95576,0.5295199999999909
D2_21,34,354.89064,355.3092,0.41855999999995674
D2_21,5,355.42288,355.61792,0.19504000000000588
D2_21,47,417.04408,417.588,0.5439200000000142
D2_21,55,462.85856,463.47912,0.6205600000000118
D2_21,52,526.8464,527.42336,0.5769599999999855
D2_21,51,572.55216,573.21968,0.6675200000000814
D2_22,75,44.774,45.43184,0.6578400000000002
D2_22,82,106.322,107.16792,0.8459199999999925
D2_22,83,184.0256,184.87568,0.8500799999999913
D2_22,72,229.63448,230.48232,0.8478399999999908
D2_22,58,269.954,270.57792,0.6239199999999983
D2_22,70,313.40944,313.9916,0.5821599999999876
D2_22,68,354.93232,355.50472,0.572400000000016
D2_22,82,416.9616,417.86784,0.9062400000000252
D2_22,72,462.85584,463.4672,0.6113599999999906
D2_22,78,526.85992,527.69728,0.8373599999999897
D2_22,83,572.5516,573.36312,0.8115199999999732
D2_23,27,44.79968,45.40528,0.6055999999999955
D2_23,23,106.32144,106.56352,0.2420800000000014
D2_23,6,106.71848,106.99376,0.2752799999999951
D2_23,35,184.02504,184.34696,0.32192000000000576
D2_23,7,184.49544,184.73352,0.23807999999999652
D2_23,37,229.70496,230.25768,0.5527199999999937
D2_23,38,269.93136,270.44544,0.5140800000000354
D2_23,21,313.29304,313.6824,0.38935999999995374
D2_23,5,313.79768,313.88136,0.08367999999995845
D2_23,29,354.96904,355.31016,0.34111999999998943
D2_23,30,417.00768,417.51896,0.5112799999999993
D2_23,31,462.85752,463.30528,0.44775999999995975
D2_23,31,526.85952,527.27688,0.4173600000000306
D2_23,28,572.5512,573.03376,0.48256000000003496
D2_24,15,44.81632,44.93528,0.11896000000000129
D2_24,10,45.05248,45.246,0.19351999999999947
D2_24,34,106.36432,106.91328,0.5489599999999939
D2_24,30,184.11896,184.7196,0.6006400000000269
D2_24,29,229.6884,230.198,0.509600000000006
D2_24,29,269.99528,270.57192,0.5766399999999976
D2_24,27,313.32128,313.6708,0.34951999999998407
D2_24,37,354.97008,355.45888,0.4888000000000261
D2_24,22,417.06512,417.45656,0.39144000000004553
D2_24,25,462.86264,463.33944,0.47680000000002565
D2_24,26,526.94976,527.29544,0.34568000000001575
D2_24,28,572.55992,573.06048,0.5005599999999504
