Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
A6_22,8,223.77384,223.82248,0.04864000000000601
A6_22,7,223.97912,224.06872,0.08960000000001855
A6_22,6,234.20368,234.24528,0.041600000000016735
A6_22,10,234.4584,234.7916,0.3331999999999766
A6_22,20,561.47344,561.84312,0.36968000000001666
A6_31,30,223.91704,224.23312,0.3160800000000279
A6_31,29,234.46552,234.80456,0.33904000000001133
A6_31,5,542.80248,543.13176,0.32928000000003976
A6_31,38,561.55856,561.96312,0.40455999999994674
A6_32,19,223.79392,224.15544,0.3615199999999845
A6_32,12,234.48072,234.64136,0.16064000000000078
A6_41,59,223.77456,224.41288,0.6383199999999931
A6_41,29,234.44464,234.67344,0.22880000000000678
A6_41,57,561.4912,561.83552,0.34431999999992513
A6_42,9,223.95968,224.17984,0.22016000000002123
A6_42,5,234.5288,234.596,0.06720000000001392
