Electrode,Time (s)
B6_23,1.21856
B6_23,1.5932
B6_23,1.88536
B6_23,3.07096
B6_23,4.02312
B6_23,4.70832
B6_21,5.01344
B6_23,5.74608
B6_11,8.32864
B6_23,9.72216
B6_23,10.1716
B6_14,10.79992
B6_23,11.47624
B6_23,11.69896
B6_23,12.558
B6_23,12.8788
B6_23,13.4828
B6_23,15.5572
B6_23,16.16336
B6_23,16.91472
B6_23,18.12736
B6_11,18.39896
B6_23,18.8212
B6_23,20.58648
B6_23,21.49688
B6_23,21.97136
B6_23,22.34672
B6_23,22.4264
B6_23,24.5132
B6_23,25.0484
B6_11,25.29992
B6_23,25.63128
B6_23,26.61928
B6_23,27.55632
B6_23,28.14832
B6_23,28.61992
B6_11,28.89136
B6_23,29.29184
B6_24,31.83056
B6_23,32.89088
B6_21,33.05944
B6_23,34.00864
B6_11,34.04344
B6_23,35.00536
B6_23,36.40568
B6_23,36.64616
B6_23,37.34392
B6_23,38.06016
B6_23,39.00216
B6_23,40.0168
B6_23,41.73848
B6_23,41.88976
B6_11,42.03024
B6_24,42.2224
B6_23,42.88888
B6_11,44.1768
B6_23,44.50992
B6_23,45.25072
B6_23,46.13472
B6_24,46.95536
B6_23,47.56528
B6_11,48.53528
B6_23,48.98536
B6_23,50.02912
B6_23,53.07816
B6_23,53.77608
B6_23,54.77544
B6_23,55.38168
B6_23,55.44192
B6_23,60.05248
B6_21,60.25968
B6_23,60.81864
B6_24,61.3616
B6_23,61.36184
B6_23,63.6644
B6_21,68.69744
B6_23,68.70224
B6_23,69.93728
B6_23,70.95912
B6_23,71.83552
B6_23,75.0984
B6_23,81.28656
B6_23,82.51392
B6_23,83.66664
B6_23,85.90528
B6_23,87.7024
B6_23,88.40976
B6_23,89.44824
B6_23,90.40808
B6_14,90.66792
B6_23,92.7448
B6_23,93.40184
B6_14,93.56096
B6_23,94.4104
B6_23,95.83
B6_23,96.49456
B6_23,96.77592
B6_23,97.166
B6_23,97.5068
B6_23,97.53248
B6_23,98.4828
B6_23,99.4716
B6_24,100.16936
B6_23,101.48264
B6_23,101.62792
B6_24,103.44192
B6_23,103.44208
B6_23,104.19136
B6_23,104.83904
B6_23,105.72368
B6_23,106.21984
B6_23,106.30464
B6_23,106.9192
B6_14,107.41072
B6_23,108.74856
B6_23,109.056
B6_23,110.15088
B6_23,110.93248
B6_23,112.09856
B6_23,112.9132
B6_23,113.01328
B6_23,113.96544
B6_23,115.31632
B6_11,116.1184
B6_23,119.02016
B6_23,119.91464
B6_23,120.96664
B6_23,121.5936
B6_23,122.4716
B6_23,123.15256
B6_23,123.90496
B6_23,124.27288
B6_23,125.22824
B6_12,125.31096
B6_23,125.76872
B6_23,125.90736
B6_23,127.56824
B6_23,128.24648
B6_23,128.93824
B6_23,130.91552
B6_11,131.402
B6_23,132.41776
B6_23,132.94144
B6_23,135.4008
B6_23,135.89528
B6_23,137.28024
B6_24,137.90464
B6_23,137.9048
B6_23,138.71536
B6_23,146.518
B6_24,148.46632
B6_21,149.9896
B6_13,150.00288
B6_23,162.32872
B6_23,162.89688
B6_24,165.86608
B6_23,167.24984
B6_14,169.80616
B6_23,171.80056
B6_14,173.08224
B6_11,173.88848
B6_23,181.84776
B6_14,184.70096
