Electrode,Time (s)
B3_33,2.47016
B3_33,7.2984
B3_33,7.83112
B3_33,12.56912
B3_21,15.59592
B3_33,20.0956
B3_43,22.09736
B3_33,25.43496
B3_33,25.72312
B3_22,33.05264
B3_22,36.93696
B3_33,38.60032
B3_33,48.81168
B3_33,53.29464
B3_33,58.04624
B3_33,63.39248
B3_33,66.89336
B3_33,68.8664
B3_33,75.88896
B3_21,76.13768
B3_33,77.08792
B3_33,77.77016
B3_33,77.84048
B3_33,82.14792
B3_43,95.61144
B3_33,95.61208
B3_22,97.16472
B3_33,99.23936
B3_33,102.8952
B3_33,103.972
B3_22,104.82688
B3_22,108.20824
B3_31,110.36272
B3_33,112.90592
B3_43,116.0448
B3_33,116.48736
B3_33,117.00072
B3_33,117.41064
B3_43,124.35088
B3_33,125.85528
B3_33,126.39864
B3_33,137.50304
B3_42,137.62616
B3_22,141.63384
B3_22,143.0544
B3_33,146.42416
B3_33,147.75744
B3_22,148.07888
B3_33,148.11656
B3_33,148.4832
B3_33,149.442
B3_22,150.70928
B3_23,152.39472
B3_41,155.1164
B3_33,157.55648
B3_33,161.884
B3_22,162.47856
B3_22,167.16672
B3_33,168.60648
B3_33,168.61384
B3_22,171.73928
B3_22,171.77664
B3_22,177.97504
B3_22,178.0232
B3_22,178.55704
B3_22,186.38752
B3_22,186.65328
B3_43,186.99184
B3_33,188.02128
B3_33,190.40512
B3_33,192.38688
B3_43,192.52928
B3_33,195.14312
B3_33,197.24368
B3_33,197.30544
B3_33,198.74384
B3_43,200.1444
B3_22,205.33304
B3_33,208.136
B3_33,209.01304
B3_33,209.92952
B3_33,216.07272
B3_42,223.87144
B3_31,224.6268
B3_22,227.88184
B3_33,228.99216
B3_22,233.21416
B3_33,235.18352
B3_22,236.81456
B3_22,237.01136
B3_33,240.79312
B3_33,241.55208
B3_43,243.148
B3_33,250.32208
B3_33,250.84656
B3_43,250.96976
B3_33,252.61064
B3_33,253.63664
B3_33,255.77816
B3_22,262.51192
B3_33,263.92824
B3_33,266.47792
B3_33,268.31776
B3_33,268.36648
B3_33,268.90664
B3_33,269.644
B3_33,271.03704
B3_33,273.02544
B3_41,273.02656
B3_43,273.02656
B3_43,273.0304
B3_22,273.03248
B3_33,274.57464
B3_43,278.01752
B3_22,278.26368
B3_33,280.49112
B3_22,282.57368
B3_22,284.3084
B3_22,284.36832
B3_43,285.13736
B3_33,285.22256
B3_33,285.88312
B3_43,289.60224
B3_43,289.90488
B3_33,290.04648
B3_33,290.99456
B3_33,291.13208
B3_33,291.49904
B3_43,294.39264
B3_33,297.76608
B3_33,302.00224
B3_33,304.71328
B3_31,306.282
B3_43,308.13184
B3_22,308.17856
B3_22,308.38856
B3_33,309.92336
B3_43,313.58344
B3_43,313.8288
B3_33,318.00856
B3_22,319.5316
B3_22,321.27024
B3_22,321.45424
B3_33,321.87616
B3_43,326.64192
B3_33,326.65856
B3_33,326.82336
B3_33,329.73024
B3_33,330.87992
B3_33,332.4028
B3_33,332.55288
B3_22,335.31296
B3_33,336.2312
B3_33,337.8452
B3_33,339.05776
B3_33,339.06816
B3_22,339.25104
B3_33,340.09656
B3_33,343.3976
B3_33,347.61928
B3_22,349.00064
B3_22,349.06328
B3_33,352.04528
B3_33,352.74936
B3_43,353.40944
B3_33,355.22168
B3_43,356.04592
B3_22,356.74792
B3_33,357.18728
B3_33,357.50632
B3_33,357.99784
B3_33,358.84736
B3_33,359.6844
B3_33,361.39032
B3_33,362.0884
B3_43,362.08952
B3_43,362.09248
B3_22,362.09456
B3_31,362.09528
B3_41,362.09528
B3_43,362.098
B3_33,363.06688
B3_42,363.60272
B3_22,364.5284
B3_22,364.58632
B3_22,365.0656
B3_33,365.38192
B3_43,368.55424
B3_33,373.3112
B3_33,380.53488
B3_43,381.36048
B3_33,383.13728
B3_33,384.92776
B3_43,385.42432
B3_22,385.99464
B3_22,386.20904
B3_22,386.54632
B3_33,388.18264
B3_43,391.13984
B3_43,391.43448
B3_43,392.196
B3_33,393.48464
B3_33,393.67616
B3_33,395.0752
B3_33,395.82328
B3_22,401.21528
B3_33,401.6224
B3_33,401.6616
B3_33,402.07416
B3_33,403.84232
B3_33,404.18696
B3_22,406.5728
B3_22,407.05376
B3_22,407.1572
B3_43,409.59704
B3_33,410.13616
B3_33,412.4172
B3_22,414.22768
B3_22,414.70064
B3_43,416.02032
B3_43,416.02512
B3_22,416.02712
B3_22,416.99704
B3_22,418.09648
B3_33,418.14072
B3_22,419.3004
B3_22,420.25848
B3_33,423.64616
B3_33,424.47528
B3_33,424.83928
B3_33,425.61616
B3_33,428.31344
B3_43,429.35064
B3_22,429.52872
B3_22,431.27432
B3_22,434.15696
B3_22,434.328
B3_22,434.49504
B3_22,434.56456
B3_22,434.86992
B3_22,435.11152
B3_43,435.52976
B3_43,435.62424
B3_33,436.21944
B3_22,436.31176
B3_22,436.44344
B3_22,436.53648
B3_33,438.63592
B3_33,441.352
B3_43,441.91656
B3_33,442.34176
B3_23,442.97152
B3_43,443.0676
B3_43,444.61528
B3_43,444.96824
B3_33,451.93704
B3_42,452.74848
B3_43,453.0316
B3_33,453.79208
B3_43,454.71232
B3_43,458.30496
B3_22,459.112
B3_22,459.41536
B3_22,459.5524
B3_22,459.99224
B3_22,461.22064
B3_22,461.26936
B3_22,461.512
B3_22,461.61328
B3_43,462.068
B3_43,462.2252
B3_33,462.39424
B3_33,463.124
B3_33,463.35264
B3_43,463.64856
B3_43,464.6748
B3_33,465.80984
B3_22,466.10592
B3_43,466.18272
B3_42,466.20488
B3_22,466.32568
B3_22,466.41416
B3_22,466.78808
B3_33,467.46264
B3_43,467.46576
B3_33,468.35056
B3_43,469.73024
B3_33,472.07632
B3_22,473.03936
B3_43,474.4796
B3_43,475.05192
B3_43,477.04048
B3_43,477.68952
B3_33,477.94136
B3_43,478.18424
B3_22,478.2972
B3_33,478.30512
B3_22,478.37208
B3_22,478.43376
B3_22,478.48216
B3_43,479.98624
B3_43,480.68272
B3_33,480.79232
B3_43,482.59304
B3_43,483.04016
B3_43,484.41312
B3_43,484.7796
B3_43,485.98688
B3_43,487.05072
B3_22,488.3684
B3_22,488.6092
B3_43,488.77088
B3_22,488.89064
B3_22,489.14864
B3_33,489.36288
B3_22,489.56112
B3_22,489.6356
B3_22,489.76248
B3_33,489.81808
B3_43,489.87912
B3_33,490.07552
B3_22,490.09352
B3_22,490.1792
B3_22,490.244
B3_22,490.32672
B3_22,490.53704
B3_43,490.56336
B3_22,490.862
B3_33,491.5716
B3_43,491.83984
B3_43,492.2764
B3_22,492.2992
B3_43,494.05056
B3_43,494.3212
B3_22,496.23352
B3_43,496.35176
B3_22,496.97664
B3_22,497.072
B3_22,497.10736
B3_43,497.10968
B3_43,497.1404
B3_22,497.14576
B3_22,497.2916
B3_22,497.70456
B3_43,497.88776
B3_22,497.93384
B3_33,497.94448
B3_43,498.85656
B3_43,500.3568
B3_33,501.24688
B3_43,501.2852
B3_43,501.72448
B3_33,502.13472
B3_43,502.77544
B3_43,503.28776
B3_43,504.53784
B3_43,504.93864
B3_33,506.19304
B3_43,506.55632
B3_43,508.83312
B3_43,509.2552
B3_43,510.40752
B3_43,510.48504
B3_43,510.78008
B3_33,511.09864
B3_33,511.28776
B3_43,511.63184
B3_22,513.57112
B3_33,513.78768
B3_22,514.59896
B3_43,514.988
B3_22,515.15232
B3_43,515.36992
B3_22,516.65528
B3_43,516.74624
B3_22,516.80136
B3_22,516.86856
B3_22,516.95424
B3_22,517.15264
B3_43,517.25712
B3_43,517.57536
B3_43,517.58096
B3_43,518.39208
B3_33,519.98608
B3_43,520.06248
B3_43,520.74936
B3_33,521.2644
B3_43,521.2656
B3_43,521.26848
B3_22,521.27024
B3_33,521.7624
B3_33,522.41192
B3_43,522.74608
B3_33,523.05312
B3_43,523.16536
B3_43,523.51616
B3_33,523.55568
B3_22,524.61856
B3_43,525.28872
B3_22,526.6436
B3_43,527.69792
B3_43,528.11128
B3_33,528.80256
B3_43,530.12192
B3_43,530.97728
B3_43,531.00528
B3_43,531.39176
B3_43,532.36792
B3_43,532.83632
B3_22,533.22904
B3_43,534.0484
B3_22,534.25368
B3_22,534.60936
B3_43,535.7188
B3_43,535.79816
B3_33,535.92648
B3_33,536.10416
B3_43,536.96344
B3_22,538.40928
B3_22,538.4736
B3_22,538.62336
B3_33,539.08912
B3_33,539.53176
B3_43,541.01848
B3_22,541.0924
B3_43,541.19152
B3_22,541.3268
B3_22,542.08944
B3_43,542.27168
B3_43,545.91168
B3_43,546.42344
B3_43,547.28904
B3_33,547.72
B3_43,547.98616
B3_33,548.06624
B3_43,548.21728
B3_43,548.83224
B3_33,549.6456
B3_33,550.63352
B3_43,550.9008
B3_43,551.30008
B3_43,551.60616
B3_43,553.42296
B3_22,553.53912
B3_22,553.5856
B3_43,553.67112
B3_22,553.72992
B3_22,554.10488
B3_22,555.81744
B3_22,556.90624
B3_43,556.94112
B3_43,557.04344
B3_43,557.32616
B3_33,557.56232
B3_43,558.18096
B3_33,559.26168
B3_43,561.40688
B3_33,561.53432
B3_43,562.98728
B3_43,563.78856
B3_22,564.80472
B3_22,564.95184
