Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
9,9,259.42816,260.06616,0.6380000000000337,0.42921777777778264,265
11,11,297.676,298.45832,0.782320000000027,0.4383563636363667,460
11,11,331.0784,331.78304,0.7046400000000403,0.3952072727272738,339
10,10,370.49616,371.18032,0.6841600000000199,0.31240800000000485,261
11,11,406.53112,407.358,0.8268800000000169,0.43787636363635907,339
9,9,434.84424,435.50744,0.6631999999999607,0.3429866666666612,230
10,10,471.83848,472.44048,0.6019999999999754,0.3123439999999959,262
9,9,499.74248,500.53328,0.7907999999999902,0.4108711111111094,271
9,9,521.07512,521.81992,0.7448000000000548,0.3431644444444575,213
