Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
9,9,178.03272,179.75768,1.7249599999999816,0.9408711111111138,1136
4,4,180.30544,180.52952,0.2240799999999865,0.13643999999999318,52
9,9,278.49104,280.40136,1.910320000000013,1.054488888888885,1079
9,9,333.1472,334.27728,1.1300800000000208,0.8563288888888994,1030
8,8,408.958,410.31736,1.359359999999981,1.001979999999996,1018
9,9,535.18712,536.50592,1.3187999999998965,0.9047644444444182,1031
