Electrode,Time (s)
B5_43,0.016
B5_32,0.01624
B5_33,0.01632
B5_23,0.01648
B5_42,0.01704
B5_24,0.01712
B5_44,0.01768
B5_34,0.34176
B5_22,0.42312
B5_42,0.68936
B5_43,0.86392
B5_32,0.86416
B5_33,0.86416
B5_23,0.8644
B5_42,0.86488
B5_24,0.86496
B5_44,0.86552
B5_43,0.95224
B5_32,0.9524
B5_33,0.95248
B5_23,0.95272
B5_42,0.9532
B5_24,0.95336
B5_44,0.95384
B5_43,1.32008
B5_32,1.32024
B5_42,1.32032
B5_33,1.3204
B5_23,1.32056
B5_44,1.32176
B5_43,1.50128
B5_32,1.50152
B5_42,1.50152
B5_33,1.5016
B5_24,1.5024
B5_34,1.5024
B5_44,1.50296
B5_22,1.5884
B5_22,1.92016
B5_43,2.0
B5_32,2.00016
B5_33,2.00024
B5_23,2.00048
B5_42,2.00096
B5_24,2.00112
B5_44,2.0016
B5_43,2.0924
B5_32,2.09264
B5_42,2.09264
B5_33,2.09272
B5_23,2.09336
B5_24,2.09352
B5_44,2.09408
B5_43,2.60136
B5_32,2.6016
B5_33,2.6016
B5_42,2.60232
B5_24,2.60248
B5_44,2.60304
B5_34,2.77432
B5_43,2.84104
B5_42,2.84136
B5_32,2.84144
B5_33,2.84152
B5_23,2.84168
B5_44,2.84288
B5_44,3.1896
B5_33,3.18992
B5_43,3.19024
B5_43,3.39472
B5_32,3.39496
B5_42,3.39496
B5_33,3.39504
B5_23,3.3952
B5_24,3.39584
B5_44,3.39632
B5_43,3.49072
B5_32,3.49096
B5_33,3.49096
B5_23,3.4912
B5_24,3.49184
B5_42,3.49192
B5_44,3.4924
B5_34,4.17688
B5_34,4.32944
B5_43,4.40904
B5_32,4.4092
B5_33,4.40928
B5_42,4.40928
B5_23,4.40952
B5_24,4.41016
B5_44,4.41072
B5_44,4.51704
B5_33,4.51736
B5_43,4.51776
B5_43,4.61848
B5_32,4.61864
B5_33,4.61872
B5_23,4.61896
B5_42,4.61944
B5_44,4.62016
