Electrode,Time (s)
C3_22,2.84568
C3_43,7.51368
C3_22,13.87304
C3_22,45.22032
C3_21,75.78432
C3_43,88.79008
C3_22,107.69552
C3_21,127.0772
C3_22,129.5888
C3_22,143.45088
C3_22,147.00136
C3_44,162.93976
C3_44,178.69352
C3_22,179.28856
C3_43,181.57616
C3_43,225.5784
C3_34,245.4536
C3_23,302.24824
C3_33,302.24896
C3_43,378.45032
C3_21,385.46904
C3_43,387.52984
C3_23,407.99992
C3_33,408.0004
C3_44,408.0008
C3_34,410.44928
C3_44,422.92552
C3_44,423.92536
C3_34,426.07008
C3_44,446.86688
C3_44,456.25936
C3_43,466.12744
C3_23,471.15392
C3_33,471.15472
C3_23,471.17736
C3_44,471.17832
C3_43,486.82064
C3_44,490.63608
C3_34,545.39176
C3_23,545.39392
C3_44,545.3948
C3_21,551.43624
C3_44,584.61928
C3_21,585.90264
C3_23,592.3528
C3_33,592.3536
