Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
C4_12,7,254.65232,254.87416,0.22183999999998605
C4_12,13,528.9344,529.65888,0.7244799999999714
C4_13,9,185.2232,185.78552,0.5623199999999997
C4_13,7,228.14088,228.45296,0.3120799999999804
C4_13,5,228.8092,229.09408,0.2848799999999869
C4_13,5,239.0812,239.22344,0.14224000000001524
C4_13,37,254.616,255.47656,0.8605599999999924
C4_13,5,265.20504,265.49616,0.29111999999997806
C4_13,5,265.7568,266.0392,0.28239999999999554
C4_13,7,279.7404,280.17176,0.43135999999998376
C4_13,5,286.73696,287.0388,0.30183999999997013
C4_13,8,301.55728,301.99096,0.4336799999999812
C4_13,5,310.81048,311.07016,0.259680000000003
C4_13,6,326.29344,326.69664,0.40320000000002665
C4_13,5,335.53928,335.74992,0.2106399999999553
C4_13,8,344.88608,345.37744,0.49135999999998603
C4_13,5,385.35,385.6704,0.3203999999999496
C4_13,8,437.70656,438.2868,0.5802400000000034
C4_13,6,460.11304,460.52488,0.4118399999999838
C4_13,9,466.19056,466.6984,0.5078399999999874
C4_13,6,475.524,475.92936,0.4053599999999733
C4_13,5,506.0148,506.32288,0.3080800000000181
C4_13,6,510.51872,510.91488,0.39616000000000895
C4_13,40,528.92296,529.648,0.7250400000000354
C4_13,6,550.9644,551.35568,0.3912800000000516
C4_23,6,254.876,255.00464,0.1286399999999901
C4_32,14,254.66032,254.94736,0.2870399999999904
C4_32,12,529.13112,529.50544,0.37432000000001153
C4_34,29,254.52808,255.02184,0.49376000000000886
C4_34,44,528.828,529.49288,0.6648800000000392
C4_34,5,529.71296,529.82928,0.11632000000008702
C4_43,24,254.81128,255.4208,0.6095200000000034
C4_43,5,354.70912,355.0176,0.3084800000000314
C4_43,5,464.52152,464.88656,0.36503999999996495
C4_43,25,529.07944,529.46616,0.3867199999999684
C4_44,13,254.5212,254.70768,0.1864800000000173
C4_44,28,254.81552,255.17024,0.3547200000000146
C4_44,14,527.18648,527.2748,0.08832000000006701
C4_44,38,528.91544,529.59264,0.6771999999999707
