Electrode,Time (s)
B3_34,26.67784
B3_14,26.69552
B3_31,26.70152
B3_24,26.7024
B3_44,26.70424
B3_44,26.71064
B3_14,26.71624
B3_44,26.72232
B3_14,26.72328
B3_14,26.73376
B3_22,26.73544
B3_14,26.73624
B3_34,26.7364
B3_32,26.7392
B3_43,26.7428
B3_11,26.74328
B3_34,26.74424
B3_44,26.74568
B3_23,26.74848
B3_43,26.74952
B3_44,26.75176
B3_14,26.75224
B3_32,26.75312
B3_43,26.75328
B3_34,26.75344
B3_31,26.75352
B3_11,26.75544
B3_24,26.75648
B3_14,26.75696
B3_34,26.7572
B3_41,26.75744
B3_43,26.75776
B3_31,26.75776
B3_33,26.75784
B3_32,26.75848
B3_44,26.76008
B3_34,26.76096
B3_24,26.76184
B3_23,26.76208
B3_43,26.76344
B3_44,26.76464
B3_23,26.76464
B3_34,26.76488
B3_33,26.76688
B3_44,26.76712
B3_34,26.76712
B3_23,26.7672
B3_43,26.76736
B3_23,26.76944
B3_44,26.77208
B3_14,26.77216
B3_34,26.77296
B3_23,26.77376
B3_31,26.774
B3_11,26.77648
B3_34,26.77672
B3_23,26.77672
B3_24,26.77696
B3_23,26.77928
B3_11,26.77968
B3_44,26.77976
B3_34,26.78048
B3_14,26.78048
B3_31,26.78192
B3_43,26.78224
B3_11,26.78224
B3_44,26.7824
B3_42,26.78248
B3_33,26.78288
B3_32,26.78344
B3_14,26.78384
B3_11,26.78448
B3_23,26.78504
B3_44,26.78512
B3_43,26.78576
B3_34,26.78696
B3_24,26.78712
B3_14,26.78768
B3_31,26.78872
B3_11,26.7896
B3_32,26.78968
B3_44,26.79208
B3_23,26.7928
B3_34,26.794
B3_22,26.79472
B3_44,26.79576
B3_43,26.79576
B3_34,26.79656
B3_33,26.79704
B3_32,26.79776
B3_44,26.79888
B3_31,26.79928
B3_23,26.79936
B3_14,26.80008
B3_41,26.80064
B3_34,26.8016
B3_31,26.80168
B3_14,26.80392
B3_44,26.80512
B3_32,26.80528
B3_41,26.80536
B3_43,26.80584
B3_14,26.8072
B3_23,26.80784
B3_31,26.8084
B3_34,26.8088
B3_44,26.80896
B3_33,26.80944
B3_22,26.8112
B3_34,26.81184
B3_23,26.81312
B3_33,26.81488
B3_44,26.8172
B3_23,26.81768
B3_14,26.81792
B3_32,26.81872
B3_33,26.81968
B3_44,26.8204
B3_34,26.82056
B3_43,26.82104
B3_22,26.82152
B3_14,26.8216
B3_44,26.8232
B3_33,26.82456
B3_23,26.82496
B3_43,26.82512
B3_14,26.82624
B3_13,26.8264
B3_44,26.82688
B3_34,26.82752
B3_32,26.82752
B3_14,26.82864
B3_31,26.8296
B3_24,26.83008
B3_33,26.83048
B3_32,26.83056
B3_14,26.83152
B3_23,26.83192
B3_44,26.83232
B3_34,26.83264
B3_33,26.83304
B3_24,26.8336
B3_31,26.83416
B3_11,26.83456
B3_34,26.8364
B3_43,26.83648
