Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
12,12,26.67784,27.43408,0.7562400000000018,0.3199200000000003,294
13,13,61.85128,62.57472,0.7234399999999965,0.30564923076922995,309
12,12,142.32504,143.23656,0.9115199999999959,0.39030000000000103,344
12,12,190.9824,191.92176,0.9393599999999935,0.4261333333333373,388
11,11,226.24512,226.99744,0.7523200000000259,0.37791272727273456,350
12,12,283.9588,284.77888,0.8200800000000186,0.4258533333333361,374
10,11,334.9292,335.63296,0.7037600000000452,0.400909090909088,374
11,11,396.936,397.73736,0.8013600000000451,0.4180509090909161,377
12,12,433.82328,434.53184,0.7085599999999772,0.38631333333333373,394
12,12,483.84008,484.69088,0.8507999999999925,0.4282199999999913,395
12,12,533.5532,534.21552,0.6623200000000224,0.34841333333332614,359
10,10,570.63592,571.20096,0.5650399999999536,0.3488720000000171,279
