Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,3.33408,B3_13,0.012
,,,3.33424,B3_24,0.013
,,,3.3344,B3_34,0.019
,,,3.3352,B3_43,0.012
,,,3.34184,B1_42,0.022
,,,3.3584,B5_11,0.016
,,,3.36808,B3_31,0.024
,,,3.38592,B5_14,0.012
,,,3.42216,D5_42,0.017
,,,3.4276,B4_44,0.018
,,,3.46472,B1_24,0.016
,,,3.52552,B6_31,0.015
,,,3.58608,B3_14,0.011
,,,3.60144,B3_24,0.01
,,,3.6564,B5_24,0.019
,,,3.66632,B3_44,0.013
,,,3.66712,B3_42,0.017
,,,3.69432,B1_34,0.027
,,,3.69528,B1_23,0.036
,,,3.69664,B1_24,0.02
,,,3.69768,B1_22,0.015
,,,3.70496,B5_13,0.015
,,,3.70504,B5_23,0.019
,,,3.70576,B5_21,0.017
,,,3.71104,B1_43,0.018
,,,3.71136,B1_33,0.021
,,,3.71248,B1_12,0.013
,,,3.7664,D5_22,0.034
,,,3.77184,D5_44,0.025
,,,3.77224,D5_43,0.014
,,,3.77712,B1_22,0.014
,,,3.7784,B1_44,0.019
,,,3.7788,B1_34,0.016
,,,3.79112,B5_14,0.011
,,,3.79256,B1_42,0.021
,,,3.83336,B4_42,0.015
,,,3.85904,D1_13,0.015
,,,3.91264,B4_22,0.037
,,,3.93136,D3_34,0.028
,,,3.93168,D3_44,0.037
,,,3.9364,B4_44,0.019
,,,3.95392,B3_42,0.013
,,,4.04056,D5_32,0.022
,,,4.08912,D5_42,0.026
,,,4.0892,D5_43,0.018
,,,4.09816,D5_13,0.117
,,,4.17656,B3_42,0.015
,,,4.18912,B1_42,0.012
,,,4.24624,B5_24,0.016
,,,4.26848,B3_42,0.013
,,,4.276,B1_23,0.016
,,,4.27672,B1_22,0.021
,,,4.4056,B6_43,0.03
,,,4.40592,B4_22,0.012
,,,4.4064,B4_43,0.029
,,,4.44736,B4_22,0.014
,,,4.46632,B5_13,0.013
,,,4.46704,B5_21,0.016
,,,4.47248,B4_42,0.017
,,,4.48504,B5_11,0.014
,,,4.50256,B4_22,0.017
,,,4.5204,B5_23,0.022
