Investigator,Ghislaine,,Time (s),Electrode,Amplitude(mV)
,,,84.2464,D3_42,0.015
,,,84.248,B4_24,0.02
,,,84.24832,B4_34,0.021
,,,84.24848,B4_42,0.02
,,,84.24864,B4_44,0.054
,,,84.2488,B4_32,0.018
,,,84.24904,B4_22,0.024
,,,84.24968,B4_43,0.015
,,,84.25136,D3_34,0.02
,,,84.25232,B1_12,0.013
,,,84.25248,B4_12,0.026
,,,84.254,D3_43,0.022
,,,84.25504,B4_43,0.016
,,,84.25944,B4_44,0.02
,,,84.26048,B4_23,0.015
,,,84.26064,B4_22,0.021
,,,84.26072,B4_33,0.013
,,,84.26096,B4_13,0.016
,,,84.26224,B4_43,0.024
,,,84.26296,B4_33,0.014
,,,84.26368,B4_22,0.025
,,,84.26384,B4_42,0.027
,,,84.26392,B4_32,0.016
,,,84.26416,B4_44,0.026
,,,84.26552,B4_34,0.022
,,,84.26624,B4_13,0.023
,,,84.26736,B3_22,0.021
,,,84.26736,B4_43,0.019
,,,84.26792,B4_22,0.017
,,,84.26848,B4_24,0.019
,,,84.2704,B4_22,0.02
,,,84.27136,B4_12,0.027
,,,84.272,B4_13,0.027
,,,84.27312,B4_24,0.014
,,,84.27384,B1_34,0.037
,,,84.27416,B4_22,0.023
,,,84.27424,B4_32,0.073
,,,84.2744,B4_23,0.022
,,,84.27448,B4_13,0.016
,,,84.27464,B4_33,0.013
,,,84.2768,B4_22,0.019
,,,84.27728,B4_43,0.03
,,,84.27864,B4_34,0.023
,,,84.28064,B4_22,0.02
,,,84.28128,B4_13,0.016
,,,84.28248,B4_42,0.015
,,,84.2828,B4_23,0.015
,,,84.2828,B4_34,0.016
,,,84.28784,B4_23,0.017
,,,84.28864,B4_32,0.012
,,,84.28896,B4_33,0.031
,,,84.29152,B4_24,0.015
,,,84.29632,B4_24,0.015
,,,84.29648,B4_43,0.032
,,,84.29888,B4_32,0.04
,,,84.29904,B4_33,0.019
,,,84.30056,B4_12,0.025
,,,84.30096,B4_43,0.015
,,,84.30128,B4_22,0.021
,,,84.30176,B4_44,0.023
,,,84.30216,B4_23,0.014
,,,84.3032,B4_33,0.042
,,,84.30344,B4_43,0.021
,,,84.30384,B4_42,0.027
,,,84.30488,B4_22,0.045
,,,84.30528,B4_32,0.07
,,,84.30544,B4_33,0.024
,,,84.30664,B4_13,0.022
,,,84.30768,B4_42,0.019
,,,84.30984,B4_13,0.03
,,,84.30984,B4_34,0.02
,,,84.31032,B4_22,0.018
,,,84.3104,B4_44,0.045
,,,84.31096,B4_43,0.021
,,,84.3112,B4_24,0.018
,,,84.3128,B4_22,0.02
,,,84.31392,B4_13,0.022
,,,84.31432,B4_31,0.015
,,,84.31432,B4_43,0.018
,,,84.31504,B4_22,0.031
,,,84.31664,B4_23,0.023
,,,84.31752,B4_22,0.023
,,,84.31752,B4_24,0.02
,,,84.32064,B6_43,0.014
,,,84.32184,B4_22,0.016
,,,84.32536,B4_44,0.033
,,,84.32568,B4_13,0.018
,,,84.32608,B4_22,0.019
,,,84.32768,B4_43,0.021
,,,84.3284,B4_24,0.017
,,,84.32888,B4_13,0.02
,,,84.33,B4_23,0.019
,,,84.33016,B4_33,0.015
,,,84.33304,B4_22,0.02
,,,84.33328,B4_12,0.031
,,,84.33672,B4_23,0.025
,,,84.33864,B4_32,0.021
,,,84.33904,B4_42,0.02
,,,84.33936,B4_23,0.02
,,,84.34296,B4_32,0.017
,,,84.348,B4_33,0.024
,,,84.34832,B4_24,0.022
,,,84.35496,B4_34,0.016
,,,84.36112,B2_43,0.022
,,,84.36408,B4_44,0.017
,,,84.36448,B4_12,0.027
,,,84.36704,B4_44,0.026
,,,84.36752,B4_34,0.022
,,,84.36952,B4_44,0.023
,,,84.37232,B4_43,0.024
,,,84.37432,B4_44,0.019
,,,84.37832,B4_34,0.016
,,,84.38096,B1_32,0.014
,,,84.3828,B4_13,0.017
,,,84.38312,D3_22,0.016
,,,84.38632,B4_42,0.016
,,,84.39136,B4_13,0.015
,,,84.39696,B1_42,0.018
,,,84.3988,D3_42,0.082
,,,84.39912,D3_31,0.014
,,,84.39952,D3_22,0.021
,,,84.4,B4_12,0.02
,,,84.40272,B4_14,0.015
,,,84.4048,D3_42,0.017
,,,84.40792,B4_33,0.015
,,,84.40792,B5_21,0.02
,,,84.40864,D3_31,0.039
,,,84.40928,D3_21,0.021
,,,84.42888,D3_42,0.023
,,,84.42912,D3_31,0.044
,,,84.4372,D5_41,0.009
,,,84.44504,D3_14,0.017
,,,84.44544,D3_13,0.03
,,,84.44576,D3_12,0.017
,,,84.44624,D3_11,0.012
,,,84.44648,B4_44,0.027
,,,84.45376,D5_12,0.02
,,,84.45544,D5_13,0.03
,,,84.46936,B4_44,0.02
,,,84.46944,B5_11,0.02
,,,84.46944,B5_44,0.018
,,,84.49088,B4_22,0.016
,,,84.49136,B4_43,0.031
,,,84.49688,B4_44,0.03
,,,84.49976,B5_13,0.015
,,,84.5004,B5_21,0.015
,,,84.51096,B4_43,0.014
,,,84.51616,B4_22,0.035
,,,84.51824,B6_32,0.02
,,,84.52456,B4_44,0.025
,,,84.52632,B4_22,0.018
,,,84.5504,B4_34,0.017
,,,84.55296,B4_32,0.017
,,,84.55336,D4_34,0.021
,,,84.56624,B4_22,0.018
,,,84.56624,D3_34,0.014
,,,84.56664,B4_43,0.027
,,,84.56936,B4_22,0.02
,,,84.57472,D4_34,0.03
,,,84.576,D3_14,0.011
,,,84.5852,D3_41,0.023
,,,84.59112,D4_14,0.017
,,,84.59656,D4_34,0.016
,,,84.60528,B5_24,0.012
,,,84.60704,D3_14,0.017
,,,84.60744,B4_22,0.023
,,,84.61232,B5_44,0.015
,,,84.62496,D5_41,0.009
,,,84.64136,B4_44,0.018
,,,84.66008,B1_31,0.014
,,,84.6604,B5_11,0.015
,,,84.6628,D6_34,0.022
,,,84.6672,D5_21,0.02
,,,84.668,B6_32,0.018
,,,84.67128,B4_44,0.025
,,,84.69256,B4_33,0.02
,,,84.70528,D1_13,0.014
,,,84.71432,D3_32,0.05
,,,84.71472,D3_42,0.02
,,,84.7188,B1_23,0.02
,,,84.7196,B1_22,0.019
,,,84.7204,B3_31,0.017
,,,84.72256,D5_24,0.031
,,,84.72904,D3_12,0.018
,,,84.72968,D3_21,0.018
,,,84.73376,D3_41,0.024
,,,84.73464,D3_42,0.033
,,,84.74848,B1_42,0.018
,,,84.75,B4_13,0.02
,,,84.75048,B4_43,0.073
,,,84.75752,B4_32,0.015
,,,84.75784,B4_43,0.031
,,,84.75912,B4_34,0.022
,,,84.76816,B4_44,0.026
,,,84.77608,B4_22,0.015
,,,84.77608,D4_12,0.015
,,,84.77824,B4_12,0.022
,,,84.78024,B4_22,0.016
,,,84.78024,B4_44,0.051
,,,84.79424,B5_41,0.012
,,,84.80528,D3_34,0.017
,,,84.80824,D3_42,0.026
,,,84.80848,D3_31,0.047
,,,84.80944,B6_43,0.028
,,,84.81376,B4_33,0.017
,,,84.8224,B4_43,0.017
,,,84.8312,D3_44,0.011
,,,84.83736,D5_42,0.015
,,,84.8504,B4_12,0.027
,,,84.86096,B4_22,0.017
,,,84.86256,D4_22,0.013
,,,84.86576,D4_13,0.017
,,,84.86808,D3_14,0.015
,,,84.87648,D5_14,0.028
,,,84.88088,D4_13,0.02
,,,84.8856,B4_43,0.026
,,,84.89528,B5_13,0.017
,,,84.90032,D5_12,0.025
,,,84.9032,D3_12,0.018
,,,84.91,B6_31,0.02
,,,84.92072,B4_44,0.024
,,,84.92904,D3_32,0.045
,,,84.92936,D3_42,0.023
,,,84.9356,B4_34,0.021
,,,84.94496,B4_22,0.018
,,,84.97832,D3_34,0.014
,,,84.98736,D3_12,0.014
,,,84.98856,B4_34,0.018
,,,84.98896,B4_44,0.053
,,,84.9932,D3_14,0.019
,,,85.00808,B4_22,0.026
,,,85.01096,B4_32,0.066
,,,85.01112,B4_33,0.027
,,,85.01304,D3_12,0.019
,,,85.02568,D3_12,0.019
,,,85.02632,D3_21,0.017
,,,85.03192,D3_41,0.012
,,,85.03632,D5_22,0.032
,,,85.042,D5_44,0.026
,,,85.05536,D3_41,0.013
,,,85.07032,B4_34,0.019
,,,85.07088,B4_44,0.047
,,,85.074,D4_23,0.045
,,,85.07424,D4_32,0.045
,,,85.07512,D4_42,0.027
,,,85.07984,B1_32,0.016
,,,85.0832,D3_23,0.025
,,,85.1,B1_42,0.02
,,,85.10136,D3_14,0.014
,,,85.11376,B5_11,0.02
,,,85.11656,D3_12,0.016
,,,85.16184,D3_34,0.019
,,,85.16224,D3_44,0.017
,,,85.16784,D4_14,0.016
,,,85.17032,D3_14,0.019
,,,85.17064,D3_13,0.031
,,,85.17096,D2_42,0.027
,,,85.17104,D3_12,0.02
,,,85.18232,D3_12,0.016
,,,85.2068,B5_44,0.017
,,,85.21744,D3_21,0.015
,,,85.22288,D3_42,0.012
,,,85.22888,D1_13,0.015
,,,85.23448,D3_32,0.049
,,,85.2348,D3_42,0.02
,,,85.23568,B1_23,0.018
,,,85.23648,B1_22,0.015
,,,85.24272,B4_43,0.076
,,,85.25432,D3_22,0.013
,,,85.25448,B4_13,0.018
,,,85.25456,D3_23,0.028
,,,85.25504,D3_24,0.013
,,,85.25592,D3_12,0.015
,,,85.27624,B4_13,0.017
,,,85.3132,D5_41,0.01
,,,85.3216,D3_21,0.023
,,,85.33584,D5_13,0.027
,,,85.33904,B4_44,0.024
,,,85.34512,D3_21,0.02
,,,85.34832,D3_34,0.015
,,,85.35368,D3_14,0.022
,,,85.3552,D3_41,0.011
,,,85.3604,B5_11,0.012
,,,85.37368,D5_12,0.033
,,,85.3904,B1_44,0.013
,,,85.40336,B4_34,0.038
,,,85.4052,D3_13,0.014
,,,85.40752,D3_41,0.009
,,,85.44008,B1_42,0.017
,,,85.44008,B4_12,0.029
,,,85.45296,D5_12,0.037
,,,85.45408,D5_41,0.012
,,,85.45448,D1_13,0.014
,,,85.47408,D3_34,0.014
,,,85.4748,D3_42,0.017
,,,85.47496,D3_31,0.048
,,,85.48816,D3_42,0.015
,,,85.49072,D3_12,0.016
,,,85.49568,D3_34,0.015
,,,85.49752,D3_23,0.027
,,,85.50656,B4_12,0.03
,,,85.50856,D4_22,0.012
,,,85.51176,D4_13,0.02
,,,85.52592,D4_22,0.014
,,,85.52784,D3_32,0.05
,,,85.52792,D3_42,0.022
,,,85.52904,D4_13,0.019
,,,85.53832,D4_22,0.014
,,,85.54976,D5_11,0.013
,,,85.57112,B4_43,0.033
,,,85.57864,B1_34,0.025
,,,85.57952,B1_23,0.034
,,,85.5848,D5_42,0.02
,,,85.58728,D5_41,0.014
,,,85.5876,D5_31,0.04
,,,85.58776,D5_42,0.065
,,,85.59752,D5_31,0.034
,,,85.60008,B6_43,0.032
,,,85.60088,D4_34,0.019
,,,85.60264,D5_13,0.023
,,,85.6216,D4_34,0.021
,,,85.64136,D4_34,0.014
,,,85.66048,B1_44,0.022
,,,85.66256,D3_42,0.016
,,,85.66376,D3_31,0.015
,,,85.66648,D5_31,0.014
,,,85.66904,B5_24,0.016
,,,85.6704,D3_41,0.012
,,,85.684,B1_32,0.013
,,,85.69288,D4_13,0.028
,,,85.69512,D3_43,0.011
,,,85.69576,D3_13,0.017
,,,85.7008,B4_14,0.013
,,,85.72608,D3_34,0.024
,,,85.72632,D3_44,0.039
,,,85.72952,B1_12,0.013
,,,85.73304,D3_14,0.021
,,,85.74072,B5_23,0.022
,,,85.76152,D4_34,0.027
,,,85.78368,D4_23,0.043
,,,85.78408,D4_32,0.047
,,,85.78496,D4_42,0.027
,,,85.78536,D4_33,0.013
,,,85.79152,D3_32,0.05
,,,85.79184,D3_42,0.018
,,,85.80848,D4_14,0.017
,,,85.82688,B5_11,0.015
,,,85.83384,D4_22,0.011
,,,85.842,B1_23,0.021
,,,85.8428,B1_22,0.019
,,,85.85376,D4_22,0.012
,,,85.85688,D4_13,0.018
,,,85.86496,D3_32,0.013
,,,85.89112,B1_42,0.019
,,,85.91856,D3_13,0.02
,,,85.92208,D3_34,0.017
,,,85.92248,D3_44,0.013
,,,85.95448,D6_24,0.015
,,,85.96936,D4_34,0.015
,,,85.99904,B5_14,0.014
,,,86.02696,B2_43,0.021
,,,86.03872,D3_42,0.015
,,,86.0532,D3_14,0.019
,,,86.05352,D3_13,0.033
,,,86.05392,D3_12,0.019
,,,86.06952,B3_22,0.025
,,,86.09544,B4_34,0.035
,,,86.14784,B1_14,0.019
,,,86.14992,D5_41,0.017
,,,86.15008,D5_31,0.037
,,,86.1504,D5_42,0.069
,,,86.15048,D4_14,0.012
,,,86.1584,B1_43,0.013
,,,86.15864,B1_33,0.024
,,,86.15912,B1_14,0.021
,,,86.15952,B1_44,0.018
,,,86.16032,B1_32,0.02
,,,86.16048,B1_24,0.041
,,,86.16088,B1_23,0.048
,,,86.16128,B1_22,0.016
,,,86.16496,B1_24,0.029
,,,86.166,B1_14,0.023
,,,86.16824,D3_13,0.018
,,,86.16944,B1_44,0.024
,,,86.17232,D5_42,0.02
,,,86.1724,B1_12,0.017
,,,86.17376,D5_31,0.031
,,,86.17384,B1_44,0.028
,,,86.17608,B1_34,0.019
,,,86.17616,B1_24,0.016
,,,86.17656,B1_33,0.02
,,,86.17736,B1_12,0.018
,,,86.17792,B1_44,0.025
,,,86.17808,B1_14,0.024
,,,86.17984,B1_34,0.015
,,,86.1804,B1_24,0.039
,,,86.1804,B1_44,0.032
,,,86.18224,B1_34,0.025
,,,86.18248,B1_14,0.029
,,,86.18264,B1_44,0.016
,,,86.18336,B1_22,0.016
,,,86.18392,B1_23,0.015
,,,86.18392,B1_24,0.022
,,,86.18488,B1_34,0.025
,,,86.18504,B1_14,0.028
,,,86.1864,B1_44,0.026
,,,86.1864,D3_14,0.017
,,,86.18656,B1_24,0.03
,,,86.18664,B1_12,0.014
,,,86.18664,B1_13,0.018
,,,86.18784,B1_34,0.024
,,,86.18848,B1_32,0.017
,,,86.18888,B1_23,0.018
,,,86.18896,B1_42,0.03
,,,86.18904,B1_44,0.026
,,,86.18976,B1_24,0.02
,,,86.18976,B1_33,0.03
,,,86.19048,B1_14,0.026
,,,86.19168,B1_44,0.028
,,,86.19184,B1_34,0.055
,,,86.19224,B1_24,0.027
,,,86.19264,B1_33,0.024
,,,86.19368,B1_14,0.024
,,,86.19368,B1_43,0.017
,,,86.19384,D4_13,0.015
,,,86.19392,B1_23,0.038
,,,86.19464,B1_34,0.023
,,,86.19496,B1_12,0.019
,,,86.19496,B1_44,0.026
,,,86.19544,B1_24,0.028
,,,86.19552,B1_13,0.018
,,,86.20088,B1_43,0.015
,,,86.20152,B1_32,0.02
,,,86.202,B5_11,0.023
,,,86.20232,B1_14,0.027
,,,86.20408,B1_24,0.03
,,,86.20416,B1_34,0.021
,,,86.20496,B1_44,0.022
,,,86.20576,B1_42,0.012
,,,86.20856,B1_32,0.016
,,,86.20888,B1_41,0.01
,,,86.20896,B1_23,0.017
,,,86.2096,B1_33,0.022
,,,86.20984,B1_14,0.227
,,,86.20984,B1_24,0.019
,,,86.21024,B1_13,0.059
,,,86.21144,B1_44,0.021
,,,86.2116,B1_31,0.023
,,,86.2116,D4_13,0.019
,,,86.21168,B1_34,0.034
,,,86.21208,B1_23,0.019
,,,86.2124,B1_33,0.016
,,,86.21248,B1_22,0.021
,,,86.2128,B1_12,0.018
,,,86.21392,B1_31,0.019
,,,86.21456,B1_13,0.021
,,,86.2148,B1_24,0.028
,,,86.21496,B1_14,0.029
,,,86.21496,B1_34,0.029
,,,86.21536,B1_32,0.02
,,,86.21616,B1_43,0.022
,,,86.2164,B1_33,0.02
,,,86.21704,B1_22,0.02
,,,86.21744,B1_44,0.03
,,,86.2176,B1_14,0.03
,,,86.21808,B1_24,0.024
,,,86.2188,B1_34,0.016
,,,86.21896,B5_44,0.019
,,,86.22016,B1_14,0.022
,,,86.2212,B1_13,0.022
,,,86.22208,B1_12,0.019
,,,86.22216,B1_44,0.02
,,,86.2256,B1_24,0.044
,,,86.22576,B1_44,0.027
,,,86.22664,B1_14,0.022
,,,86.22768,B1_23,0.027
,,,86.22824,B1_44,0.029
,,,86.2284,B1_24,0.024
,,,86.22848,B1_32,0.014
,,,86.22984,B1_22,0.022
,,,86.23088,B1_42,0.015
,,,86.23104,B1_32,0.012
,,,86.23176,B1_12,0.021
,,,86.23224,B1_43,0.017
,,,86.23272,B1_14,0.018
,,,86.2328,B1_34,0.027
,,,86.23312,B1_44,0.038
,,,86.23352,D3_42,0.083
,,,86.23384,D3_31,0.014
,,,86.234,B1_24,0.023
,,,86.23432,D3_22,0.018
,,,86.23496,B1_33,0.024
,,,86.2356,B1_42,0.019
,,,86.23664,B1_44,0.035
,,,86.2372,B1_32,0.02
,,,86.23736,B1_24,0.05
,,,86.23776,B1_34,0.014
,,,86.23824,B1_33,0.023
,,,86.2388,B1_31,0.017
,,,86.24288,B1_24,0.026
,,,86.24328,B1_44,0.02
,,,86.24352,B1_14,0.019
,,,86.24448,B1_34,0.035
,,,86.24552,B1_24,0.018
,,,86.24576,B1_23,0.042
,,,86.24608,B1_22,0.02
,,,86.24648,B1_12,0.02
,,,86.24728,B1_43,0.011
,,,86.24824,B1_24,0.022
,,,86.2488,B1_23,0.021
,,,86.24904,B1_13,0.019
,,,86.2512,B1_14,0.027
,,,86.2512,B1_24,0.019
,,,86.25216,B1_42,0.013
,,,86.2524,B1_32,0.011
,,,86.25256,B1_33,0.023
,,,86.2544,B1_22,0.015
,,,86.25448,B1_34,0.026
,,,86.25456,B1_44,0.015
,,,86.25544,B1_14,0.017
,,,86.25544,B1_33,0.019
,,,86.25568,B1_24,0.02
,,,86.25616,B1_43,0.013
,,,86.25648,B1_31,0.018
,,,86.25784,B1_33,0.023
,,,86.25784,D3_42,0.02
,,,86.25808,B1_44,0.021
,,,86.25864,B1_22,0.021
,,,86.25936,B1_42,0.017
,,,86.25984,B1_14,0.018
,,,86.25992,B1_34,0.025
,,,86.26064,B1_24,0.015
,,,86.26096,B1_44,0.025
,,,86.26248,B1_42,0.013
,,,86.26568,B1_33,0.024
,,,86.266,B1_34,0.036
,,,86.26664,B1_23,0.017
,,,86.2668,B1_24,0.013
,,,86.2688,B1_43,0.021
,,,86.2692,B1_33,0.032
,,,86.2692,B1_44,0.027
,,,86.26968,B1_42,0.011
,,,86.27432,B1_24,0.018
,,,86.27504,D4_13,0.024
,,,86.27576,B1_44,0.021
,,,86.27584,D4_31,0.035
,,,86.27616,B1_23,0.019
,,,86.27648,D4_41,0.009
,,,86.2784,D4_11,0.011
,,,86.28152,B1_21,0.015
,,,86.28152,B1_44,0.023
,,,86.28152,D5_11,0.029
,,,86.28184,D5_21,0.026
,,,86.28328,B1_32,0.016
,,,86.28368,B1_24,0.018
,,,86.28512,B1_14,0.018
,,,86.28664,B1_13,0.016
,,,86.2868,B1_23,0.012
,,,86.28696,B1_24,0.015
,,,86.28704,B1_12,0.012
,,,86.29,B1_43,0.031
,,,86.29048,B1_33,0.026
,,,86.29192,D5_13,0.019
,,,86.29248,D4_14,0.015
,,,86.29288,B1_44,0.019
,,,86.29344,D5_21,0.024
,,,86.29432,B1_24,0.016
,,,86.2948,D4_12,0.021
,,,86.29496,B1_23,0.019
,,,86.29504,D4_11,0.026
,,,86.29568,B1_22,0.019
,,,86.298,B1_14,0.017
,,,86.29832,B1_42,0.011
,,,86.29904,B1_13,0.015
,,,86.2992,D5_12,0.02
,,,86.3,B1_24,0.015
,,,86.30048,B1_34,0.026
,,,86.30136,B1_23,0.03
,,,86.30152,B1_42,0.015
,,,86.30192,B1_44,0.018
,,,86.30224,B1_12,0.016
,,,86.30432,B1_34,0.02
,,,86.30472,B1_14,0.036
,,,86.3068,D3_11,0.014
,,,86.3096,B1_24,0.02
,,,86.30968,B1_22,0.017
,,,86.31032,B1_44,0.027
,,,86.31064,B1_34,0.027
,,,86.31192,B1_43,0.015
,,,86.31624,B1_44,0.013
,,,86.31736,B1_24,0.019
,,,86.31896,B1_13,0.019
,,,86.3196,B1_14,0.019
,,,86.31968,D3_34,0.016
,,,86.3216,B1_34,0.025
,,,86.3224,B1_44,0.02
,,,86.32328,B1_43,0.014
,,,86.32352,B1_33,0.018
,,,86.32456,B1_12,0.02
,,,86.33032,B1_33,0.016
,,,86.3304,B1_44,0.015
,,,86.33328,B1_42,0.013
,,,86.3388,B1_43,0.018
,,,86.33968,B1_32,0.015
,,,86.34,B1_34,0.018
,,,86.34008,D5_31,0.014
,,,86.34032,B1_24,0.021
,,,86.34056,B1_44,0.028
,,,86.34104,B1_14,0.022
,,,86.3432,B1_24,0.028
,,,86.35288,B1_44,0.018
,,,86.35568,B1_24,0.025
,,,86.35592,B1_12,0.015
,,,86.35592,B1_14,0.022
,,,86.35632,B1_44,0.017
,,,86.35872,B1_24,0.018
,,,86.36,B1_13,0.015
,,,86.36392,B1_44,0.012
,,,86.36488,D3_14,0.02
,,,86.36656,B1_44,0.018
,,,86.36656,D1_13,0.014
,,,86.36728,B1_24,0.049
,,,86.37,B1_12,0.027
,,,86.37008,B1_24,0.02
,,,86.37168,B1_34,0.024
,,,86.3724,B1_31,0.013
,,,86.37264,B1_23,0.029
,,,86.37424,B1_34,0.014
,,,86.37656,B1_14,0.025
,,,86.37752,D3_41,0.011
,,,86.37808,B1_44,0.02
,,,86.3788,D4_12,0.017
,,,86.38632,B1_24,0.032
,,,86.3864,B1_33,0.016
,,,86.38704,B1_44,0.017
,,,86.39112,B1_24,0.017
,,,86.39368,B1_34,0.026
,,,86.39432,B1_23,0.033
,,,86.39472,B1_13,0.014
,,,86.3952,D3_42,0.014
,,,86.39664,B1_44,0.016
,,,86.39696,B1_34,0.016
,,,86.39728,D3_12,0.019
,,,86.39792,D3_21,0.015
,,,86.39808,D4_11,0.018
,,,86.39816,B1_21,0.015
,,,86.40104,D4_14,0.016
,,,86.40208,B1_43,0.014
,,,86.40232,B1_33,0.019
,,,86.40512,B1_22,0.013
,,,86.40648,B1_24,0.018
,,,86.40744,B1_14,0.026
,,,86.40968,B1_42,0.016
,,,86.41016,B1_14,0.026
,,,86.41024,B1_23,0.029
,,,86.41112,B1_22,0.017
,,,86.41768,B1_22,0.014
,,,86.42032,B1_24,0.026
,,,86.42048,B1_44,0.018
,,,86.4208,B1_43,0.022
,,,86.42104,D3_32,0.016
,,,86.42472,D4_11,0.013
,,,86.426,B1_34,0.028
,,,86.42696,B1_23,0.043
,,,86.43072,B1_14,0.017
,,,86.4356,B1_34,0.02
,,,86.44168,B1_21,0.011
,,,86.44256,D4_23,0.043
,,,86.44296,D4_32,0.045
,,,86.44312,D5_22,0.012
,,,86.44384,D4_42,0.023
,,,86.4488,B1_14,0.018
,,,86.44976,B1_13,0.018
,,,86.45064,B1_12,0.017
,,,86.45744,B1_32,0.014
,,,86.46232,B1_32,0.012
,,,86.46336,D3_13,0.015
,,,86.46344,B1_34,0.024
,,,86.4644,B1_23,0.035
,,,86.47152,B1_23,0.014
,,,86.47776,D5_12,0.024
,,,86.48208,B5_44,0.017
,,,86.48664,D3_12,0.011
,,,86.49552,B1_14,0.021
,,,86.50216,B2_42,0.017
,,,86.50224,B1_44,0.014
,,,86.50888,D3_41,0.022
,,,86.51488,B1_44,0.021
,,,86.51512,B1_43,0.015
,,,86.51536,B1_33,0.02
,,,86.5164,B1_12,0.017
,,,86.51896,B1_24,0.017
,,,86.51936,B1_22,0.012
,,,86.5212,B1_13,0.021
,,,86.52736,B1_44,0.023
,,,86.55096,D3_34,0.019
,,,86.57432,B3_13,0.017
,,,86.57576,D4_31,0.032
,,,86.5768,D4_13,0.033
,,,86.5888,B1_42,0.02
,,,86.5904,B4_44,0.022
,,,86.61456,B5_24,0.015
,,,86.62632,D3_21,0.032
,,,86.63072,D3_34,0.017
,,,86.64272,B5_44,0.013
,,,86.65288,D5_12,0.033
,,,86.66128,D3_34,0.009
,,,86.66768,D3_41,0.012
,,,86.67832,B1_44,0.022
,,,86.6816,B1_12,0.016
,,,86.68544,B1_33,0.018
,,,86.70688,D5_12,0.04
,,,86.70816,D5_41,0.011
,,,86.71304,D5_14,0.032
,,,86.7152,B1_44,0.024
,,,86.71768,D5_32,0.026
,,,86.752,D3_32,0.014
,,,86.75736,D5_21,0.023
,,,86.7576,D5_11,0.025
,,,86.76112,D5_24,0.031
,,,86.76536,B1_43,0.015
,,,86.7656,B1_33,0.02
,,,86.78368,D5_42,0.018
,,,86.78504,B1_32,0.015
,,,86.86032,B1_43,0.012
,,,86.86064,B1_33,0.018
,,,86.86176,B1_12,0.015
,,,86.86344,B5_23,0.022
,,,86.8752,B1_44,0.013
,,,86.87728,B1_24,0.052
,,,86.88,B1_24,0.021
,,,86.89728,B5_13,0.014
,,,86.89736,B5_23,0.018
,,,86.89792,B5_21,0.017
,,,86.91312,B4_34,0.029
,,,86.91408,D5_22,0.035
,,,86.91528,D3_43,0.01
,,,86.91848,B1_23,0.019
,,,86.91856,D3_31,0.042
,,,86.91912,D3_21,0.017
,,,86.92008,D5_44,0.024
,,,86.92144,D4_14,0.016
,,,86.94136,D3_14,0.019
,,,86.94168,B1_24,0.052
,,,86.9528,B1_42,0.018
,,,86.95736,B5_11,0.015
,,,86.96152,D5_12,0.023
,,,86.97256,B5_11,0.013
,,,87.00128,D3_42,0.016
,,,87.00248,D3_31,0.016
,,,87.00696,B1_33,0.018
,,,87.00928,B5_11,0.014
,,,87.0176,B1_23,0.02
,,,87.0184,B1_22,0.016
,,,87.02776,B6_43,0.025
,,,87.02848,D3_41,0.013
,,,87.04216,D4_34,0.028
,,,87.05208,D4_13,0.033
,,,87.0532,D3_42,0.082
,,,87.05344,D3_31,0.016
,,,87.05392,D3_22,0.019
,,,87.06072,D3_42,0.019
,,,87.0616,D5_14,0.02
,,,87.0648,D4_34,0.018
,,,87.07952,D5_11,0.031
,,,87.07984,D5_21,0.024
,,,87.08608,D4_24,0.014
,,,87.08824,D4_33,0.013
,,,87.08864,D4_23,0.016
,,,87.10192,D3_32,0.012
,,,87.102,D3_43,0.027
,,,87.10248,D3_44,0.026
,,,87.10368,D3_14,0.032
,,,87.11432,D3_14,0.019
,,,87.11464,D3_13,0.034
,,,87.11504,D3_12,0.018
,,,87.11544,D3_11,0.016
,,,87.1164,D4_14,0.013
,,,87.1332,D2_42,0.033
,,,87.13728,D3_34,0.014
,,,87.15168,D3_21,0.032
,,,87.15728,D5_12,0.037
,,,87.19,D3_14,0.023
,,,87.2224,D3_42,0.024
,,,87.22264,D3_31,0.047
,,,87.264,B1_24,0.013
,,,87.2684,D3_32,0.055
,,,87.26872,D3_42,0.024
,,,87.27136,B1_42,0.011
,,,87.27656,D6_14,0.027
,,,87.28344,B1_42,0.018
,,,87.2876,B1_23,0.016
,,,87.29592,D4_12,0.015
,,,87.29728,D4_22,0.012
,,,87.30048,D4_13,0.018
,,,87.30696,D3_42,0.083
,,,87.30728,D3_31,0.014
,,,87.30768,D3_22,0.017
,,,87.3156,D4_13,0.018
,,,87.32208,D3_42,0.013
,,,87.32864,D3_42,0.02
,,,87.34304,D3_14,0.017
,,,87.3564,D6_14,0.026
,,,87.37336,D3_34,0.014
,,,87.412,D6_14,0.029
,,,87.4332,B5_44,0.016
,,,87.43696,D3_14,0.017
,,,87.43936,B5_14,0.012
,,,87.44032,D6_24,0.018
,,,87.45488,B6_43,0.025
,,,87.46416,D6_14,0.022
,,,87.4772,B5_42,0.012
,,,87.5036,D5_41,0.011
,,,87.522,B5_24,0.014
,,,87.52824,B1_23,0.019
,,,87.52896,B1_22,0.013
,,,87.53528,D3_24,0.013
,,,87.53544,D3_23,0.025
,,,87.55208,D3_41,0.023
,,,87.5536,D3_14,0.023
,,,87.55808,D5_31,0.02
,,,87.55824,D5_21,0.083
,,,87.56472,B1_32,0.015
