Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
15,15,32.8572,35.01616,2.1589600000000004,0.8165813333333332,1011
15,15,80.38504,82.50576,2.1207199999999915,0.9118933333333331,1049
15,15,119.18312,121.45448,2.2713600000000014,0.7684960000000008,990
15,15,161.12056,163.31368,2.1931199999999933,0.8054133333333369,1043
15,15,202.58584,204.30976,1.723920000000021,0.8474560000000034,1037
15,15,245.35312,247.41808,2.0649600000000135,0.8274293333333314,1059
15,15,278.83224,280.99968,2.167439999999999,0.8169333333333346,943
15,15,329.516,331.54768,2.0316799999999944,0.753802666666661,989
3,3,329.93872,330.78424,0.8455200000000218,0.3656799999999975,55
14,14,368.77248,370.98208,2.209600000000023,0.8525942857142874,902
15,15,423.74824,426.06296,2.3147199999999657,0.7919999999999997,968
15,15,469.25096,471.48696,2.23599999999999,0.8400959999999978,1033
15,15,511.74608,514.10752,2.361440000000016,0.9120426666666617,1052
15,15,560.85824,563.00408,2.145840000000021,0.8291359999999864,1000
