Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,269.78264,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,269.7912,C1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,269.84976,C5_42,0.013,,,,,,,,,,,,,,,,,,,,
,,269.88536,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,269.9936,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,270.00704,D1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,270.02664,C3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,270.0984,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,270.11904,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,270.23904,C1_32,0.016,,,,,,,,,,,,,,,,,,,,
,,270.25456,C4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,270.41192,D2_31,0.026,,,,,,,,,,,,,,,,,,,,
,,270.42624,C5_42,0.022,,,,,,,,,,,,,,,,,,,,
,,270.48232,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,270.50544,D1_22,0.017,,,,,,,,,,,,,,,,,,,,
,,270.53344,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,270.55816,A6_12,0.016,,,,,,,,,,,,,,,,,,,,
,,270.56984,D2_31,0.019,,,,,,,,,,,,,,,,,,,,
,,270.69112,D5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,270.76416,C3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,270.78792,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,270.85016,D1_14,0.018,,,,,,,,,,,,,,,,,,,,
,,270.89312,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,271.20632,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
,,271.27248,A5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,271.3636,C4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,271.39624,A1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,271.42296,A3_34,0.022,,,,,,,,,,,,,,,,,,,,
,,271.8904,C5_42,0.012,,,,,,,,,,,,,,,,,,,,
,,272.24112,A1_43,0.022,,,,,,,,,,,,,,,,,,,,
,,272.33456,A6_11,0.019,,,,,,,,,,,,,,,,,,,,
,,272.48864,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,272.86096,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,272.9484,D1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,272.9952,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,273.07336,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,273.1688,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,273.2432,C1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,273.27096,D3_23,0.014,,,,,,,,,,,,,,,,,,,,
,,273.31944,C1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,273.38296,A6_11,0.014,,,,,,,,,,,,,,,,,,,,
,,273.38544,C1_13,0.018,,,,,,,,,,,,,,,,,,,,
,,273.41128,B4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,273.43344,C1_13,0.014,,,,,,,,,,,,,,,,,,,,
,,273.52688,C1_13,0.012,,,,,,,,,,,,,,,,,,,,
,,273.56272,B4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,273.56352,C1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,273.566,C1_44,0.02,,,,,,,,,,,,,,,,,,,,
,,273.60768,B4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,273.7904,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
,,273.82864,D3_32,0.015,,,,,,,,,,,,,,,,,,,,
,,273.83328,D3_44,0.017,,,,,,,,,,,,,,,,,,,,
,,273.86688,A1_44,0.019,,,,,,,,,,,,,,,,,,,,
,,273.87488,C5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,273.94368,C6_24,0.019,,,,,,,,,,,,,,,,,,,,
,,273.96624,C3_34,0.019,,,,,,,,,,,,,,,,,,,,
,,274.00136,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,274.02856,C1_24,0.012,,,,,,,,,,,,,,,,,,,,
,,274.13488,C1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,274.17016,C4_31,0.014,,,,,,,,,,,,,,,,,,,,
,,274.20032,A1_24,0.013,,,,,,,,,,,,,,,,,,,,
,,274.23992,A1_44,0.018,,,,,,,,,,,,,,,,,,,,
,,274.60976,A1_24,0.013,,,,,,,,,,,,,,,,,,,,
,,274.73064,D1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,274.89352,C1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,275.30976,C1_32,0.015,,,,,,,,,,,,,,,,,,,,
,,275.39808,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,275.73536,A6_11,0.015,,,,,,,,,,,,,,,,,,,,
,,275.85024,A1_24,0.014,,,,,,,,,,,,,,,,,,,,
,,275.95424,D2_44,0.022,,,,,,,,,,,,,,,,,,,,
,,276.01904,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,276.05032,C2_22,0.021,,,,,,,,,,,,,,,,,,,,
,,276.14848,C4_31,0.017,,,,,,,,,,,,,,,,,,,,
,,276.3972,A3_33,0.014,,,,,,,,,,,,,,,,,,,,
,,276.41616,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,276.45856,B2_31,0.02,,,,,,,,,,,,,,,,,,,,
,,276.77576,C3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,276.82728,A1_43,0.021,,,,,,,,,,,,,,,,,,,,
,,276.86728,C3_12,0.011,,,,,,,,,,,,,,,,,,,,
,,277.33408,A2_12,0.015,,,,,,,,,,,,,,,,,,,,
,,277.39728,B4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,277.46568,B4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,277.702,A3_34,0.011,,,,,,,,,,,,,,,,,,,,
,,277.78464,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,277.8276,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,277.8544,D3_32,0.026,,,,,,,,,,,,,,,,,,,,
,,277.92392,B4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,277.95608,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,277.96096,C4_31,0.017,,,,,,,,,,,,,,,,,,,,
,,277.99896,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,278.01168,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,278.10088,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,278.11072,A3_34,0.011,,,,,,,,,,,,,,,,,,,,
,,278.15384,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,278.28544,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,278.38464,A1_34,0.015,,,,,,,,,,,,,,,,,,,,
,,278.58696,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,278.60712,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,278.6732,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,278.6836,A3_42,0.015,,,,,,,,,,,,,,,,,,,,
,,278.82176,B6_44,0.017,,,,,,,,,,,,,,,,,,,,
,,278.82784,D3_44,0.02,,,,,,,,,,,,,,,,,,,,
,,279.00256,D2_31,0.027,,,,,,,,,,,,,,,,,,,,
,,279.0944,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,279.20128,D2_31,0.024,,,,,,,,,,,,,,,,,,,,
,,279.26168,C6_31,0.015,,,,,,,,,,,,,,,,,,,,
,,279.26448,D4_42,0.02,,,,,,,,,,,,,,,,,,,,
,,279.48264,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,279.5892,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,279.732,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,280.0712,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,280.12728,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,280.16408,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,280.20976,A1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,280.43872,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,280.4432,D5_23,0.072,,,,,,,,,,,,,,,,,,,,
,,280.45296,D5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,280.45488,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,280.4632,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,280.46592,D5_34,0.027,,,,,,,,,,,,,,,,,,,,
,,280.46664,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,280.46888,D5_34,0.013,,,,,,,,,,,,,,,,,,,,
,,280.49248,D5_23,0.026,,,,,,,,,,,,,,,,,,,,
,,280.50456,D4_42,0.022,,,,,,,,,,,,,,,,,,,,
,,280.526,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,280.53008,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,280.59272,D5_23,0.027,,,,,,,,,,,,,,,,,,,,
,,280.60424,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,280.6068,D5_34,0.029,,,,,,,,,,,,,,,,,,,,
,,280.61528,D5_34,0.016,,,,,,,,,,,,,,,,,,,,
,,280.64088,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,280.65008,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,280.70096,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,280.82512,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,280.85264,D4_42,0.019,,,,,,,,,,,,,,,,,,,,
,,281.11032,A1_34,0.019,,,,,,,,,,,,,,,,,,,,
,,281.62512,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,281.68384,B4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,281.97104,C5_42,0.013,,,,,,,,,,,,,,,,,,,,
,,282.26352,A3_34,0.024,,,,,,,,,,,,,,,,,,,,
,,282.38944,A3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,282.4284,B4_13,0.019,,,,,,,,,,,,,,,,,,,,
,,282.4732,C1_31,0.015,,,,,,,,,,,,,,,,,,,,
,,282.5056,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,282.71184,C1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,282.71992,A4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,282.77224,D4_31,0.015,,,,,,,,,,,,,,,,,,,,
,,282.84,A1_22,0.015,,,,,,,,,,,,,,,,,,,,
,,282.8452,D4_42,0.012,,,,,,,,,,,,,,,,,,,,
,,282.90808,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,283.05848,D4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,283.29088,D3_32,0.019,,,,,,,,,,,,,,,,,,,,
,,283.3088,D3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,283.38984,D3_32,0.018,,,,,,,,,,,,,,,,,,,,
,,283.4784,C6_23,0.014,,,,,,,,,,,,,,,,,,,,
,,283.76376,D1_14,0.016,,,,,,,,,,,,,,,,,,,,
,,284.03832,C6_22,0.014,,,,,,,,,,,,,,,,,,,,
,,284.08624,A1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,284.23816,C6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,284.26024,C6_22,0.021,,,,,,,,,,,,,,,,,,,,
,,284.41728,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,284.4572,D1_13,0.013,,,,,,,,,,,,,,,,,,,,
,,284.72208,D4_42,0.011,,,,,,,,,,,,,,,,,,,,
,,284.77672,A2_24,0.016,,,,,,,,,,,,,,,,,,,,
,,284.78888,A1_43,0.024,,,,,,,,,,,,,,,,,,,,
,,284.98352,A6_12,0.018,,,,,,,,,,,,,,,,,,,,
,,285.05448,D2_44,0.022,,,,,,,,,,,,,,,,,,,,
,,285.25288,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,285.28608,C6_31,0.012,,,,,,,,,,,,,,,,,,,,
,,285.53008,D4_31,0.018,,,,,,,,,,,,,,,,,,,,
,,285.64968,C6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,285.77488,C6_22,0.014,,,,,,,,,,,,,,,,,,,,
,,286.28312,A4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,286.5776,C2_22,0.019,,,,,,,,,,,,,,,,,,,,
,,287.11216,A3_34,0.012,,,,,,,,,,,,,,,,,,,,
,,287.23856,A1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,287.27832,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,287.3336,A1_24,0.015,,,,,,,,,,,,,,,,,,,,
,,287.37432,D4_31,0.017,,,,,,,,,,,,,,,,,,,,
,,287.37768,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,287.51672,B4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,287.53152,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,287.6616,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,287.7156,B4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,287.81024,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,287.89416,B4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,288.03336,D4_21,0.023,,,,,,,,,,,,,,,,,,,,
,,288.03344,D4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,288.03352,C5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,288.03576,C5_41,0.006,,,,,,,,,,,,,,,,,,,,
,,288.26872,A2_43,0.019,,,,,,,,,,,,,,,,,,,,
,,288.35936,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,288.36856,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,288.41016,C4_31,0.012,,,,,,,,,,,,,,,,,,,,
,,288.55848,D3_32,0.02,,,,,,,,,,,,,,,,,,,,
,,288.6644,A5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,288.6776,C6_24,0.014,,,,,,,,,,,,,,,,,,,,
,,288.93392,D3_32,0.012,,,,,,,,,,,,,,,,,,,,
,,288.95568,D2_44,0.025,,,,,,,,,,,,,,,,,,,,
,,288.95712,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,289.014,C4_31,0.015,,,,,,,,,,,,,,,,,,,,
,,289.0232,D2_44,0.023,,,,,,,,,,,,,,,,,,,,
,,289.07752,A1_22,0.014,,,,,,,,,,,,,,,,,,,,
,,289.14056,D2_44,0.023,,,,,,,,,,,,,,,,,,,,
,,289.19392,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,289.22248,A6_11,0.02,,,,,,,,,,,,,,,,,,,,
,,289.25632,D2_44,0.017,,,,,,,,,,,,,,,,,,,,
,,289.32216,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,289.41864,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,289.48328,D2_44,0.017,,,,,,,,,,,,,,,,,,,,
,,289.69248,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,289.70896,D4_42,0.012,,,,,,,,,,,,,,,,,,,,
,,289.90136,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,289.90216,A1_22,0.013,,,,,,,,,,,,,,,,,,,,
,,290.226,A6_12,0.024,,,,,,,,,,,,,,,,,,,,
,,290.23656,B4_23,0.027,,,,,,,,,,,,,,,,,,,,
,,290.31456,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,290.4148,C6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,290.59192,D3_43,0.016,,,,,,,,,,,,,,,,,,,,
,,290.8384,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,290.88456,D5_23,0.029,,,,,,,,,,,,,,,,,,,,
,,290.88808,D5_23,0.06,,,,,,,,,,,,,,,,,,,,
,,290.93384,C1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,290.97024,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,291.04008,C2_22,0.019,,,,,,,,,,,,,,,,,,,,
,,291.16,C3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,291.16304,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,291.31376,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,291.31832,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,291.38128,B4_43,0.012,,,,,,,,,,,,,,,,,,,,
,,291.46208,D5_23,0.031,,,,,,,,,,,,,,,,,,,,
,,291.4624,D5_33,0.023,,,,,,,,,,,,,,,,,,,,
,,291.46456,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,291.46688,D5_23,0.04,,,,,,,,,,,,,,,,,,,,
,,291.47072,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,291.4844,D5_23,0.03,,,,,,,,,,,,,,,,,,,,
,,291.48984,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,291.49936,D5_23,0.033,,,,,,,,,,,,,,,,,,,,
,,291.50424,D5_23,0.074,,,,,,,,,,,,,,,,,,,,
,,291.67864,D5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,291.70752,D5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,291.9988,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,292.01336,C2_22,0.015,,,,,,,,,,,,,,,,,,,,
,,292.07176,C5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,292.08512,C1_31,0.012,,,,,,,,,,,,,,,,,,,,
,,292.11256,B4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,292.14288,D4_31,0.018,,,,,,,,,,,,,,,,,,,,
,,292.23584,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,292.53496,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,292.99688,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,293.0216,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,293.04552,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,293.07048,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,293.07696,D5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,293.10344,D4_42,0.02,,,,,,,,,,,,,,,,,,,,
,,293.12752,D5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,293.19136,A1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,293.3536,C1_31,0.012,,,,,,,,,,,,,,,,,,,,
,,293.37808,D3_43,0.015,,,,,,,,,,,,,,,,,,,,
,,293.52128,C1_31,0.014,,,,,,,,,,,,,,,,,,,,
,,293.55616,A1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,293.67752,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
,,293.72304,C6_22,0.017,,,,,,,,,,,,,,,,,,,,
,,293.83184,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,293.96672,B4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,294.10544,B4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,294.1348,C3_34,0.017,,,,,,,,,,,,,,,,,,,,
,,294.2008,D2_32,0.017,,,,,,,,,,,,,,,,,,,,
,,294.2356,C3_34,0.016,,,,,,,,,,,,,,,,,,,,
,,294.38256,B4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,294.4672,B4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,294.60584,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,294.90904,C6_24,0.04,,,,,,,,,,,,,,,,,,,,
,,294.9184,C6_24,0.029,,,,,,,,,,,,,,,,,,,,
,,294.92952,C6_24,0.029,,,,,,,,,,,,,,,,,,,,
,,294.93792,C6_24,0.031,,,,,,,,,,,,,,,,,,,,
,,294.94448,C6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,294.94776,C6_24,0.033,,,,,,,,,,,,,,,,,,,,
,,294.94784,C6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,294.95128,C6_33,0.013,,,,,,,,,,,,,,,,,,,,
,,294.9544,C6_34,0.022,,,,,,,,,,,,,,,,,,,,
,,294.95456,C6_23,0.021,,,,,,,,,,,,,,,,,,,,
,,294.95536,C6_24,0.029,,,,,,,,,,,,,,,,,,,,
,,294.95904,C6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,294.96104,C6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,294.96152,C6_24,0.039,,,,,,,,,,,,,,,,,,,,
,,294.96376,C6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,294.9656,C6_23,0.018,,,,,,,,,,,,,,,,,,,,
,,294.9708,C6_33,0.02,,,,,,,,,,,,,,,,,,,,
,,294.97136,C6_24,0.033,,,,,,,,,,,,,,,,,,,,
,,294.97176,C6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,294.97416,C6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,294.97656,C6_34,0.019,,,,,,,,,,,,,,,,,,,,
,,294.98104,C6_24,0.019,,,,,,,,,,,,,,,,,,,,
,,294.98464,C6_24,0.032,,,,,,,,,,,,,,,,,,,,
,,294.99176,C6_33,0.013,,,,,,,,,,,,,,,,,,,,
,,294.9944,C6_24,0.047,,,,,,,,,,,,,,,,,,,,
,,294.99512,C1_44,0.015,,,,,,,,,,,,,,,,,,,,
,,295.00568,C6_43,0.012,,,,,,,,,,,,,,,,,,,,
,,295.0068,C6_23,0.014,,,,,,,,,,,,,,,,,,,,
,,295.00744,C6_24,0.033,,,,,,,,,,,,,,,,,,,,
,,295.0212,C6_24,0.039,,,,,,,,,,,,,,,,,,,,
,,295.03256,C6_24,0.031,,,,,,,,,,,,,,,,,,,,
,,295.03992,C6_33,0.011,,,,,,,,,,,,,,,,,,,,
,,295.04336,C1_42,0.012,,,,,,,,,,,,,,,,,,,,
,,295.04792,C6_24,0.019,,,,,,,,,,,,,,,,,,,,
,,295.04848,C6_33,0.018,,,,,,,,,,,,,,,,,,,,
,,295.0508,C6_24,0.031,,,,,,,,,,,,,,,,,,,,
,,295.0588,C6_34,0.016,,,,,,,,,,,,,,,,,,,,
,,295.06152,C6_24,0.037,,,,,,,,,,,,,,,,,,,,
,,295.06472,C6_24,0.02,,,,,,,,,,,,,,,,,,,,
,,295.06936,C6_23,0.017,,,,,,,,,,,,,,,,,,,,
,,295.07584,C6_24,0.038,,,,,,,,,,,,,,,,,,,,
,,295.08744,C6_22,0.018,,,,,,,,,,,,,,,,,,,,
,,295.09024,C6_24,0.034,,,,,,,,,,,,,,,,,,,,
,,295.09584,C1_42,0.02,,,,,,,,,,,,,,,,,,,,
,,295.10728,C1_44,0.017,,,,,,,,,,,,,,,,,,,,
,,295.14616,D5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,295.17808,C6_24,0.018,,,,,,,,,,,,,,,,,,,,
,,295.20088,C6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,295.20936,D4_42,0.015,,,,,,,,,,,,,,,,,,,,
,,295.27296,D3_14,0.015,,,,,,,,,,,,,,,,,,,,
,,295.30032,C1_13,0.014,,,,,,,,,,,,,,,,,,,,
,,295.35864,C6_22,0.016,,,,,,,,,,,,,,,,,,,,
,,295.42584,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,295.54712,C6_22,0.012,,,,,,,,,,,,,,,,,,,,
,,295.75472,D4_42,0.018,,,,,,,,,,,,,,,,,,,,
,,295.80736,C4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,296.11584,C6_23,0.015,,,,,,,,,,,,,,,,,,,,
,,296.23888,D2_32,0.016,,,,,,,,,,,,,,,,,,,,
,,296.29672,A6_11,0.022,,,,,,,,,,,,,,,,,,,,
,,296.564,C3_22,0.013,,,,,,,,,,,,,,,,,,,,
,,296.73848,A3_34,0.022,,,,,,,,,,,,,,,,,,,,
,,296.85176,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,297.00104,A4_31,0.017,,,,,,,,,,,,,,,,,,,,
,,297.0128,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,297.11664,A6_21,0.016,,,,,,,,,,,,,,,,,,,,
,,297.22176,C5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,297.30096,D2_32,0.018,,,,,,,,,,,,,,,,,,,,
,,297.31,C6_31,0.016,,,,,,,,,,,,,,,,,,,,
,,297.58824,C4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,297.67816,A1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,297.80752,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,298.18496,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,298.22016,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,298.27352,D5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,298.29448,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,298.39872,D5_23,0.024,,,,,,,,,,,,,,,,,,,,
,,298.43176,D2_31,0.026,,,,,,,,,,,,,,,,,,,,
,,298.48336,D5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,298.6928,D4_42,0.018,,,,,,,,,,,,,,,,,,,,
,,298.90272,D4_42,0.014,,,,,,,,,,,,,,,,,,,,
,,299.05128,D5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,299.28528,D4_42,0.021,,,,,,,,,,,,,,,,,,,,
,,299.62,D4_42,0.022,,,,,,,,,,,,,,,,,,,,
,,299.62608,A1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,299.73496,D5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,300.09616,D4_31,0.016,,,,,,,,,,,,,,,,,,,,
,,300.27808,A6_12,0.021,,,,,,,,,,,,,,,,,,,,
,,300.35952,D4_42,0.011,,,,,,,,,,,,,,,,,,,,
,,300.4424,A2_44,0.017,,,,,,,,,,,,,,,,,,,,
,,300.61904,B3_22,0.016,,,,,,,,,,,,,,,,,,,,
,,300.7192,D4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,300.78272,B3_22,0.015,,,,,,,,,,,,,,,,,,,,
,,300.81344,D3_44,0.014,,,,,,,,,,,,,,,,,,,,
,,300.91712,D3_24,0.014,,,,,,,,,,,,,,,,,,,,
,,301.05528,B4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,301.10664,D5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,301.1884,D2_44,0.028,,,,,,,,,,,,,,,,,,,,
,,301.26144,B4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,301.2648,C4_31,0.013,,,,,,,,,,,,,,,,,,,,
,,301.28136,D2_44,0.022,,,,,,,,,,,,,,,,,,,,
,,301.38752,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,301.42464,B4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,301.47848,D2_44,0.019,,,,,,,,,,,,,,,,,,,,
,,301.5288,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,301.53544,C5_42,0.023,,,,,,,,,,,,,,,,,,,,
,,301.59528,C5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,301.62528,C5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,301.63176,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
,,301.70712,C5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,301.7104,D2_44,0.021,,,,,,,,,,,,,,,,,,,,
,,301.72712,B4_23,0.026,,,,,,,,,,,,,,,,,,,,
,,301.74936,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,301.80384,B4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,301.82832,C5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,301.84264,D2_44,0.02,,,,,,,,,,,,,,,,,,,,
