Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,0.02248,C2_13,0.023,,,,,,,,,,,,,,,,,,,,
Description,SNCA Triplication,5.03016,A6_11,0.019,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,6.07,C2_33,0.011,,,,,,,,,,,,,,,,,,,,
   Original File Time,05/31/2021 14:24:13,8.14656,B2_11,0.009,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,9.04344,C2_13,0.022,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,9.10872,C2_13,0.023,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,05/31/2021 14:23:39,9.35624,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,9.44128,B5_33,0.008,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,11.52096,C2_22,0.011,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,13.66632,C2_13,0.025,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,13.76352,C2_13,0.019,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,14.43368,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,15.21296,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,15.26592,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,15.326,C2_13,0.02,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,15.35768,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4912,15.4088,C2_13,0.018,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,16.52992,D3_12,0.014,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,16.72824,C2_32,0.023,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,18.46048,C2_13,0.025,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,18.52096,C2_13,0.019,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,18.62936,C2_13,0.022,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,18.79096,C2_13,0.024,,,,,,,,,,,,,,,,,,,,
,,19.3092,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,22.06216,C2_12,0.011,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,22.15088,C6_22,0.013,,,,,,,,,,,,,,,,,,,,
   Threshold,6,22.1824,C2_13,0.023,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,22.20944,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,24.39904,C2_13,0.019,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,24.49728,C2_13,0.021,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,25.92688,D4_42,0.016,,,,,,,,,,,,,,,,,,,,
