Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,0.17992,A3_34,0.015,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL,1.404,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,2.05552,A3_34,0.016,,,,,,,,,,,,,,,,,,,,
   Original File Time,05/31/2021 13:43:17,2.79568,D1_24,0.016,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,2.94904,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,3.07432,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,05/31/2021 13:42:24,3.7528,B3_21,0.009,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,3.78248,A3_34,0.012,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,3.98944,D1_21,0.01,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,5.54408,D1_23,0.008,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,5.67248,A6_12,0.012,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,5.76352,B3_21,0.011,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,5.87656,D1_43,0.02,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,5.98776,D1_43,0.015,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,6.1168,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,6.30136,D1_43,0.012,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4944,6.658,A6_12,0.014,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,7.59624,D1_42,0.012,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,7.784,D1_43,0.016,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,7.99896,D1_43,0.013,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,8.78216,D1_42,0.014,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,9.80472,D1_43,0.018,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,10.41136,B3_21,0.008,,,,,,,,,,,,,,,,,,,,
,,11.39072,D1_42,0.012,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,11.54472,D1_43,0.018,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,12.9212,D1_42,0.013,,,,,,,,,,,,,,,,,,,,
   Threshold,6,13.01968,D1_43,0.02,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,14.62552,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,15.40672,A6_12,0.016,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,15.67568,B3_21,0.01,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,16.23496,D1_43,0.016,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),16.50952,B3_21,0.008,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,16.86824,A4_31,0.012,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,17.11112,D1_42,0.012,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,17.12512,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,17.16464,D1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,17.57536,B3_21,0.009,,,,,,,,,,,,,,,,,,,,
,,17.99192,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,18.39792,A6_12,0.011,,,,,,,,,,,,,,,,,,,,
,,18.47648,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,18.53416,D1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,19.16712,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,19.51464,C6_33,0.01,,,,,,,,,,,,,,,,,,,,
,,19.7584,D1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,20.29832,D1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,21.2544,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,21.486,A6_12,0.015,,,,,,,,,,,,,,,,,,,,
,,23.0032,D1_43,0.015,,,,,,,,,,,,,,,,,,,,
,,23.05928,B3_21,0.01,,,,,,,,,,,,,,,,,,,,
,,23.14008,B3_21,0.01,,,,,,,,,,,,,,,,,,,,
,,23.59128,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,24.26168,C6_33,0.011,,,,,,,,,,,,,,,,,,,,
,,24.38992,B3_21,0.009,,,,,,,,,,,,,,,,,,,,
,,25.43528,D1_24,0.017,,,,,,,,,,,,,,,,,,,,
,,25.56736,D1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,26.99152,A3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,27.36592,D1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,28.05392,A3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,28.17896,D1_42,0.015,,,,,,,,,,,,,,,,,,,,
,,29.09664,D1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,29.74744,D1_42,0.011,,,,,,,,,,,,,,,,,,,,
,,30.66616,A6_12,0.015,,,,,,,,,,,,,,,,,,,,
,,30.96296,D1_43,0.017,,,,,,,,,,,,,,,,,,,,
,,31.54368,A3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,31.99096,A6_12,0.013,,,,,,,,,,,,,,,,,,,,
,,32.47208,D1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,32.68464,D1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,33.19256,C6_44,0.017,,,,,,,,,,,,,,,,,,,,
,,33.98296,C6_44,0.019,,,,,,,,,,,,,,,,,,,,
,,34.13304,D1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,34.73952,A6_42,0.014,,,,,,,,,,,,,,,,,,,,
,,34.8324,A3_34,0.015,,,,,,,,,,,,,,,,,,,,
,,34.92832,D1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,34.96808,D1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,35.042,D5_24,0.01,,,,,,,,,,,,,,,,,,,,
,,36.2816,A3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,37.1192,B3_21,0.011,,,,,,,,,,,,,,,,,,,,
,,37.8608,B3_21,0.011,,,,,,,,,,,,,,,,,,,,
,,38.27784,A6_12,0.013,,,,,,,,,,,,,,,,,,,,
