Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,107.18176,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,107.19248,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,107.20152,B3_31,0.017,,,,,,,,,,,,,,,,,,,,
,,107.24872,A4_14,0.011,,,,,,,,,,,,,,,,,,,,
,,107.272,A4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,107.80496,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,107.8192,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
,,107.92992,B6_24,0.02,,,,,,,,,,,,,,,,,,,,
,,107.99528,C6_44,0.021,,,,,,,,,,,,,,,,,,,,
,,108.02496,A1_42,0.015,,,,,,,,,,,,,,,,,,,,
,,108.0588,D2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,108.06776,C5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,108.2156,B6_23,0.025,,,,,,,,,,,,,,,,,,,,
,,108.39128,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,108.54232,D2_33,0.029,,,,,,,,,,,,,,,,,,,,
,,108.626,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,108.77816,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,108.87432,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,108.90072,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,108.9248,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,108.9436,D2_13,0.021,,,,,,,,,,,,,,,,,,,,
,,109.07984,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,109.1496,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,109.26592,D2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,109.30616,B3_12,0.028,,,,,,,,,,,,,,,,,,,,
,,109.45888,A6_34,0.02,,,,,,,,,,,,,,,,,,,,
,,109.61416,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,109.69368,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,109.71184,B6_43,0.02,,,,,,,,,,,,,,,,,,,,
,,109.87168,C6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,110.308,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,110.3796,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,110.5164,A3_22,0.012,,,,,,,,,,,,,,,,,,,,
,,110.53472,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,110.55432,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,110.6648,D2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,110.78016,B3_11,0.016,,,,,,,,,,,,,,,,,,,,
,,110.79888,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,110.83024,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,110.85,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,111.01496,C5_43,0.014,,,,,,,,,,,,,,,,,,,,
,,111.15624,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,111.16696,A4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,111.218,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,111.2936,B4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,111.38352,D5_44,0.013,,,,,,,,,,,,,,,,,,,,
,,111.39696,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,111.47272,B4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,111.49984,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,111.50672,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,111.56384,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,111.66656,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,111.68952,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,111.8192,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,111.85856,C4_33,0.026,,,,,,,,,,,,,,,,,,,,
,,111.92952,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,112.05232,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,112.13544,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,112.1612,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,112.21344,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,112.26256,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,112.36768,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,112.3708,B4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,112.39184,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,112.40632,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,112.52696,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,112.58536,B3_31,0.014,,,,,,,,,,,,,,,,,,,,
,,112.64992,A1_42,0.028,,,,,,,,,,,,,,,,,,,,
,,112.67632,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,112.80832,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,112.81112,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,112.87056,B4_32,0.018,,,,,,,,,,,,,,,,,,,,
,,112.93392,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,113.03808,C5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,113.10384,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,113.11632,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,113.14328,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,113.17392,B4_32,0.016,,,,,,,,,,,,,,,,,,,,
,,113.22792,B5_23,0.015,,,,,,,,,,,,,,,,,,,,
,,113.3424,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,113.50664,C4_33,0.025,,,,,,,,,,,,,,,,,,,,
,,113.5624,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,113.57696,B5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,113.61712,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,113.67248,B1_21,0.012,,,,,,,,,,,,,,,,,,,,
,,113.7836,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,113.83264,C1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,113.87432,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,113.9568,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,114.03184,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,114.0484,B5_12,0.019,,,,,,,,,,,,,,,,,,,,
,,114.12128,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,114.37656,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,114.44208,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,114.7412,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,114.74216,B5_22,0.021,,,,,,,,,,,,,,,,,,,,
,,114.76736,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,115.02648,C1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,115.24944,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,115.40648,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,115.50552,A1_44,0.012,,,,,,,,,,,,,,,,,,,,
,,115.55192,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,115.65312,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,115.74704,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,115.80616,C3_42,0.017,,,,,,,,,,,,,,,,,,,,
,,115.82104,C5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,115.8352,A1_11,0.077,,,,,,,,,,,,,,,,,,,,
,,115.95064,B5_11,0.016,,,,,,,,,,,,,,,,,,,,
,,116.04544,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,116.08688,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,116.092,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,116.14496,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,116.1972,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,116.26792,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,116.3512,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,116.37792,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,116.38752,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,116.46896,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,116.54824,B6_43,0.02,,,,,,,,,,,,,,,,,,,,
,,116.60488,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,116.74144,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,116.84704,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,116.87232,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,116.92296,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,117.10528,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,117.2236,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,117.25568,A4_44,0.015,,,,,,,,,,,,,,,,,,,,
,,117.40056,C1_33,0.017,,,,,,,,,,,,,,,,,,,,
,,117.41032,C5_23,0.018,,,,,,,,,,,,,,,,,,,,
,,117.50088,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,117.50464,A2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,117.68976,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,117.826,A1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,117.91984,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,117.94352,C4_24,0.012,,,,,,,,,,,,,,,,,,,,
,,118.21328,A4_34,0.012,,,,,,,,,,,,,,,,,,,,
,,118.3084,C1_34,0.016,,,,,,,,,,,,,,,,,,,,
,,118.33536,D2_33,0.015,,,,,,,,,,,,,,,,,,,,
,,118.40504,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,118.54888,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,118.73088,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,119.11632,D3_24,0.014,,,,,,,,,,,,,,,,,,,,
,,119.19424,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,119.1996,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,119.26944,B3_12,0.014,,,,,,,,,,,,,,,,,,,,
,,119.32264,B5_11,0.018,,,,,,,,,,,,,,,,,,,,
,,119.49832,C5_13,0.016,,,,,,,,,,,,,,,,,,,,
,,119.54384,A4_23,0.024,,,,,,,,,,,,,,,,,,,,
,,119.58848,A1_42,0.016,,,,,,,,,,,,,,,,,,,,
,,119.60432,D6_43,0.025,,,,,,,,,,,,,,,,,,,,
,,119.61296,A1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,119.62912,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,119.63936,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,119.6452,D2_13,0.021,,,,,,,,,,,,,,,,,,,,
,,119.82672,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,120.11,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,120.3548,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,120.35976,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,120.4656,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,120.57176,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,120.57408,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,120.61224,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,120.6944,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,120.80976,C6_44,0.015,,,,,,,,,,,,,,,,,,,,
,,120.83624,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,120.8496,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,120.93096,C5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,121.05168,A4_24,0.021,,,,,,,,,,,,,,,,,,,,
,,121.15664,D6_32,0.016,,,,,,,,,,,,,,,,,,,,
,,121.20064,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,121.26648,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,121.27576,A4_23,0.033,,,,,,,,,,,,,,,,,,,,
,,121.32112,A1_44,0.016,,,,,,,,,,,,,,,,,,,,
,,121.33552,D2_34,0.017,,,,,,,,,,,,,,,,,,,,
,,121.41936,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,121.54944,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,121.59776,B6_42,0.018,,,,,,,,,,,,,,,,,,,,
,,121.70696,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,121.76368,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,121.81064,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,121.81928,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,121.87392,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,121.90032,A6_34,0.032,,,,,,,,,,,,,,,,,,,,
,,121.95496,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,122.00728,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,122.03856,A6_34,0.029,,,,,,,,,,,,,,,,,,,,
,,122.06568,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,122.17264,A6_34,0.034,,,,,,,,,,,,,,,,,,,,
,,122.2068,A4_24,0.015,,,,,,,,,,,,,,,,,,,,
,,122.2696,B4_34,0.014,,,,,,,,,,,,,,,,,,,,
,,122.29808,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,122.39232,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,122.42312,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,122.46312,A6_34,0.03,,,,,,,,,,,,,,,,,,,,
,,122.66088,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,122.8884,A6_34,0.025,,,,,,,,,,,,,,,,,,,,
,,122.93168,B3_12,0.025,,,,,,,,,,,,,,,,,,,,
,,123.05872,A4_44,0.012,,,,,,,,,,,,,,,,,,,,
,,123.25552,C1_33,0.019,,,,,,,,,,,,,,,,,,,,
,,123.268,B5_31,0.016,,,,,,,,,,,,,,,,,,,,
,,123.30136,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,123.30704,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,123.42232,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,123.46456,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,123.59392,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
,,123.61296,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,123.64528,C5_33,0.024,,,,,,,,,,,,,,,,,,,,
,,123.65424,B5_11,0.013,,,,,,,,,,,,,,,,,,,,
,,123.68264,A4_23,0.033,,,,,,,,,,,,,,,,,,,,
,,123.7832,C5_14,0.018,,,,,,,,,,,,,,,,,,,,
,,123.7856,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,123.87728,B3_11,0.014,,,,,,,,,,,,,,,,,,,,
,,124.06248,A4_23,0.029,,,,,,,,,,,,,,,,,,,,
,,124.12504,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,124.12592,C1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,124.1392,B5_11,0.014,,,,,,,,,,,,,,,,,,,,
,,124.24856,B5_11,0.015,,,,,,,,,,,,,,,,,,,,
,,124.27064,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,124.28912,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,124.53976,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,124.65672,C4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,124.67768,A4_23,0.021,,,,,,,,,,,,,,,,,,,,
,,125.02464,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,125.08352,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,125.206,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,125.2528,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,125.29944,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,125.32112,C5_44,0.016,,,,,,,,,,,,,,,,,,,,
,,125.49688,B3_12,0.028,,,,,,,,,,,,,,,,,,,,
,,125.62408,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,125.628,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,125.63488,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,125.66424,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,125.71688,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,126.07176,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,126.20696,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,126.27656,A4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,126.32856,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,126.34504,C3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,126.3708,B3_12,0.021,,,,,,,,,,,,,,,,,,,,
,,126.39904,C5_24,0.019,,,,,,,,,,,,,,,,,,,,
,,126.54176,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,126.63208,A1_42,0.031,,,,,,,,,,,,,,,,,,,,
,,126.6656,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,126.68824,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,126.85728,C5_34,0.02,,,,,,,,,,,,,,,,,,,,
,,126.85952,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,126.94216,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,127.01936,D2_13,0.018,,,,,,,,,,,,,,,,,,,,
,,127.12712,A6_14,0.027,,,,,,,,,,,,,,,,,,,,
,,127.28016,B5_12,0.015,,,,,,,,,,,,,,,,,,,,
,,127.32752,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,127.6096,B6_24,0.017,,,,,,,,,,,,,,,,,,,,
,,127.66736,B3_12,0.012,,,,,,,,,,,,,,,,,,,,
,,127.67088,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,127.714,C5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,127.72016,D3_24,0.014,,,,,,,,,,,,,,,,,,,,
,,127.90752,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,128.04832,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,128.1152,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,128.14744,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,128.17792,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,128.2184,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,128.2392,B5_33,0.019,,,,,,,,,,,,,,,,,,,,
,,128.37864,B5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,128.38552,B5_11,0.017,,,,,,,,,,,,,,,,,,,,
,,128.46288,B6_43,0.018,,,,,,,,,,,,,,,,,,,,
,,128.50632,B5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,128.55864,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,128.56688,C1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,128.67488,B3_11,0.017,,,,,,,,,,,,,,,,,,,,
,,128.68328,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,128.74256,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,128.99168,A2_14,0.016,,,,,,,,,,,,,,,,,,,,
,,129.21184,A2_14,0.015,,,,,,,,,,,,,,,,,,,,
,,129.29776,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,129.39888,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,129.41688,B5_31,0.014,,,,,,,,,,,,,,,,,,,,
,,129.44944,A4_43,0.013,,,,,,,,,,,,,,,,,,,,
,,129.47008,B6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,129.4772,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,129.71416,C4_33,0.018,,,,,,,,,,,,,,,,,,,,
,,129.73032,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,129.79504,C4_33,0.026,,,,,,,,,,,,,,,,,,,,
,,129.94888,C5_33,0.021,,,,,,,,,,,,,,,,,,,,
,,129.95984,C5_13,0.019,,,,,,,,,,,,,,,,,,,,
,,130.1,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,130.13768,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,130.16336,D2_33,0.027,,,,,,,,,,,,,,,,,,,,
,,130.19472,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,130.21832,B3_11,0.019,,,,,,,,,,,,,,,,,,,,
,,130.22112,A4_34,0.013,,,,,,,,,,,,,,,,,,,,
,,130.23792,C1_33,0.016,,,,,,,,,,,,,,,,,,,,
,,130.24368,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,130.29176,C6_43,0.017,,,,,,,,,,,,,,,,,,,,
,,130.38512,A4_43,0.016,,,,,,,,,,,,,,,,,,,,
,,130.39888,C3_34,0.014,,,,,,,,,,,,,,,,,,,,
,,130.49464,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,130.50528,C1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,130.52816,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,130.642,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,130.66864,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,130.8464,A4_23,0.023,,,,,,,,,,,,,,,,,,,,
,,130.93216,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,130.9468,C5_33,0.018,,,,,,,,,,,,,,,,,,,,
,,131.11208,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,131.12536,A3_22,0.012,,,,,,,,,,,,,,,,,,,,
,,131.26376,C5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,131.2928,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,131.47192,B6_42,0.015,,,,,,,,,,,,,,,,,,,,
,,131.592,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,131.65968,C6_44,0.019,,,,,,,,,,,,,,,,,,,,
,,131.67672,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,131.84288,D2_13,0.019,,,,,,,,,,,,,,,,,,,,
,,131.9752,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,131.9824,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,132.0052,B6_43,0.02,,,,,,,,,,,,,,,,,,,,
,,132.17432,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,132.27016,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,132.30744,C5_24,0.02,,,,,,,,,,,,,,,,,,,,
,,132.38664,A4_23,0.02,,,,,,,,,,,,,,,,,,,,
,,132.47904,B6_43,0.015,,,,,,,,,,,,,,,,,,,,
,,132.67296,B5_22,0.02,,,,,,,,,,,,,,,,,,,,
,,132.70072,C6_34,0.026,,,,,,,,,,,,,,,,,,,,
,,132.71488,C3_44,0.015,,,,,,,,,,,,,,,,,,,,
,,132.79056,D2_13,0.016,,,,,,,,,,,,,,,,,,,,
,,132.7992,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,132.91792,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,132.918,D2_13,0.02,,,,,,,,,,,,,,,,,,,,
,,132.95552,C5_33,0.016,,,,,,,,,,,,,,,,,,,,
,,133.09648,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,133.3156,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,133.49272,B5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,133.70888,C1_43,0.016,,,,,,,,,,,,,,,,,,,,
,,133.76336,C4_33,0.023,,,,,,,,,,,,,,,,,,,,
,,134.04152,A4_23,0.028,,,,,,,,,,,,,,,,,,,,
,,134.12824,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,134.1368,C4_33,0.022,,,,,,,,,,,,,,,,,,,,
,,134.34584,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,134.46136,C1_43,0.013,,,,,,,,,,,,,,,,,,,,
,,134.78416,C1_43,0.018,,,,,,,,,,,,,,,,,,,,
,,134.8236,B5_22,0.018,,,,,,,,,,,,,,,,,,,,
,,134.84072,B5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,134.8636,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,134.99328,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
,,135.06008,A1_44,0.013,,,,,,,,,,,,,,,,,,,,
,,135.12856,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,135.17152,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,135.19688,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,135.29968,C1_43,0.01,,,,,,,,,,,,,,,,,,,,
,,135.33592,B5_22,0.016,,,,,,,,,,,,,,,,,,,,
,,135.48408,C5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,135.5812,D5_34,0.011,,,,,,,,,,,,,,,,,,,,
,,135.58904,B3_31,0.011,,,,,,,,,,,,,,,,,,,,
,,135.59176,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,135.63112,B5_31,0.017,,,,,,,,,,,,,,,,,,,,
,,135.74128,B5_13,0.018,,,,,,,,,,,,,,,,,,,,
,,135.75616,A4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,135.75656,B5_23,0.019,,,,,,,,,,,,,,,,,,,,
,,135.76824,A4_23,0.018,,,,,,,,,,,,,,,,,,,,
,,135.8164,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,135.87624,C4_33,0.021,,,,,,,,,,,,,,,,,,,,
,,135.90888,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,136.05192,B6_42,0.014,,,,,,,,,,,,,,,,,,,,
,,136.06768,C4_34,0.017,,,,,,,,,,,,,,,,,,,,
,,136.09784,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,136.12104,C5_22,0.013,,,,,,,,,,,,,,,,,,,,
,,136.14888,B5_21,0.016,,,,,,,,,,,,,,,,,,,,
,,136.24096,C5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,136.3228,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,136.46168,A3_22,0.014,,,,,,,,,,,,,,,,,,,,
,,136.46368,A4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,136.46696,C5_22,0.019,,,,,,,,,,,,,,,,,,,,
,,136.62376,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,136.77264,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,136.8672,C5_33,0.017,,,,,,,,,,,,,,,,,,,,
,,136.96448,C5_33,0.02,,,,,,,,,,,,,,,,,,,,
,,137.15752,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,137.18856,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
,,137.2172,C4_33,0.024,,,,,,,,,,,,,,,,,,,,
,,137.4428,C5_33,0.022,,,,,,,,,,,,,,,,,,,,
,,137.4684,B5_22,0.015,,,,,,,,,,,,,,,,,,,,
,,137.4852,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,137.56744,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,137.60184,B3_31,0.013,,,,,,,,,,,,,,,,,,,,
,,137.85824,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,137.93648,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,137.96336,B5_31,0.015,,,,,,,,,,,,,,,,,,,,
