Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,1.51288,B4_13,0.013,,,,,,,,,,,,,,,,,,,,
Description,SNCA Triplication,2.20648,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,5.33616,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
   Original File Time,05/03/2021 15:33:13,5.90936,B4_13,0.013,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,6.1612,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,6.91448,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,05/03/2021 15:33:06,7.13624,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,8.36224,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,9.16728,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,9.63272,A1_23,0.013,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,11.43808,A4_21,0.015,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,11.43952,A1_23,0.012,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,11.62432,D1_24,0.008,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,12.47944,C5_34,0.008,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,16.36936,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,16.74912,B5_42,0.013,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4904,17.27568,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,18.28888,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,19.52128,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,20.47936,B1_21,0.007,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,21.16448,C6_31,0.011,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,23.6064,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,23.83496,C2_21,0.014,,,,,,,,,,,,,,,,,,,,
,,25.0488,A4_21,0.016,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,26.95184,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,27.5908,B1_21,0.009,,,,,,,,,,,,,,,,,,,,
   Threshold,6,29.09248,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,31.9976,B5_42,0.034,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,34.13904,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,35.26816,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,37.6376,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),37.71224,B5_42,0.021,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,37.87456,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,39.8692,B1_14,0.01,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,42.3752,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,43.01608,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,43.28472,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,43.5424,A4_13,0.011,,,,,,,,,,,,,,,,,,,,
,,45.78112,B3_42,0.011,,,,,,,,,,,,,,,,,,,,
,,46.42408,B5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,48.522,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,49.96536,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,50.12872,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,50.17272,A1_32,0.012,,,,,,,,,,,,,,,,,,,,
,,51.05568,B1_12,0.016,,,,,,,,,,,,,,,,,,,,
,,52.57728,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,53.39272,B1_12,0.015,,,,,,,,,,,,,,,,,,,,
,,53.88176,B1_12,0.016,,,,,,,,,,,,,,,,,,,,
,,54.36048,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,54.74384,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,55.516,B6_11,0.013,,,,,,,,,,,,,,,,,,,,
,,55.6524,A1_32,0.011,,,,,,,,,,,,,,,,,,,,
,,55.95456,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,56.09328,A3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,56.132,C2_24,0.01,,,,,,,,,,,,,,,,,,,,
,,56.2512,A1_23,0.011,,,,,,,,,,,,,,,,,,,,
,,56.44536,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,56.83088,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,57.2608,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,58.28568,A4_21,0.016,,,,,,,,,,,,,,,,,,,,
,,59.09992,C6_22,0.013,,,,,,,,,,,,,,,,,,,,
,,65.76136,A1_23,0.012,,,,,,,,,,,,,,,,,,,,
,,65.8088,A4_13,0.011,,,,,,,,,,,,,,,,,,,,
,,66.44344,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,67.12104,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,69.47528,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,69.65928,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,70.50968,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,70.65992,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,70.92736,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,73.45072,B5_21,0.009,,,,,,,,,,,,,,,,,,,,
,,74.54912,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,77.61112,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,77.85136,A1_23,0.012,,,,,,,,,,,,,,,,,,,,
,,78.03728,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,78.2232,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,78.45784,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,80.15816,D2_22,0.013,,,,,,,,,,,,,,,,,,,,
,,81.50256,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,82.3792,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,82.95064,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,83.78976,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,84.34896,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,86.60808,B5_33,0.012,,,,,,,,,,,,,,,,,,,,
,,87.06704,B1_12,0.017,,,,,,,,,,,,,,,,,,,,
,,87.67872,B6_11,0.017,,,,,,,,,,,,,,,,,,,,
,,88.1196,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,88.396,B3_42,0.011,,,,,,,,,,,,,,,,,,,,
,,88.4496,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,91.01992,B6_11,0.011,,,,,,,,,,,,,,,,,,,,
,,91.12496,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,91.89864,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,95.59656,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,96.63848,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,97.846,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,98.19432,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,98.60448,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,99.07336,B5_24,0.012,,,,,,,,,,,,,,,,,,,,
,,99.152,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,99.53224,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,99.88656,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,100.06304,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,100.27112,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,101.14208,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,101.33304,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,102.18552,B2_11,0.012,,,,,,,,,,,,,,,,,,,,
,,102.22912,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,102.37832,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,102.91832,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,103.79408,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,103.90616,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,104.3352,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,104.70536,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,105.09344,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,105.16184,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,105.65544,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,106.08416,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,106.62904,A6_12,0.01,,,,,,,,,,,,,,,,,,,,
,,106.64232,B6_11,0.014,,,,,,,,,,,,,,,,,,,,
,,108.15888,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,108.20632,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,109.4436,A1_32,0.011,,,,,,,,,,,,,,,,,,,,
,,110.10984,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,111.72672,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,112.77952,B1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,113.43744,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,113.72544,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,114.08224,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,115.04392,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,116.21112,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,117.26616,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,119.07376,B4_12,0.011,,,,,,,,,,,,,,,,,,,,
,,119.40168,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,119.53552,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
