Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,119.54296,A1_23,0.009,,,,,,,,,,,,,,,,,,,,
,,119.84384,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
,,119.99472,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,121.74808,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
,,125.05168,B1_14,0.01,,,,,,,,,,,,,,,,,,,,
,,125.92032,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,126.34536,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,126.77368,A1_31,0.016,,,,,,,,,,,,,,,,,,,,
,,128.18904,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,128.22608,B1_21,0.01,,,,,,,,,,,,,,,,,,,,
,,128.46248,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,128.7924,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,130.33368,B6_12,0.013,,,,,,,,,,,,,,,,,,,,
,,131.65008,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,132.21768,B1_12,0.013,,,,,,,,,,,,,,,,,,,,
,,135.25128,A1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,135.36432,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,136.08104,C2_24,0.014,,,,,,,,,,,,,,,,,,,,
,,137.54928,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,137.74392,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,141.35592,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,141.55248,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,142.38288,B1_14,0.012,,,,,,,,,,,,,,,,,,,,
,,142.53312,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,143.82976,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,144.16728,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,144.76016,B6_23,0.016,,,,,,,,,,,,,,,,,,,,
,,147.57464,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,147.65848,A1_23,0.015,,,,,,,,,,,,,,,,,,,,
,,147.96152,C5_12,0.01,,,,,,,,,,,,,,,,,,,,
,,147.9764,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,150.97368,B6_11,0.012,,,,,,,,,,,,,,,,,,,,
,,151.8512,B3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,152.2064,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,152.25776,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,153.08512,B5_21,0.011,,,,,,,,,,,,,,,,,,,,
,,153.16176,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,154.15136,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
,,154.54328,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,155.08424,B2_14,0.01,,,,,,,,,,,,,,,,,,,,
,,158.36248,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,160.1684,B6_41,0.009,,,,,,,,,,,,,,,,,,,,
,,163.31248,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,163.5872,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,164.1832,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,165.33352,A1_23,0.011,,,,,,,,,,,,,,,,,,,,
,,167.394,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,168.54424,B6_12,0.011,,,,,,,,,,,,,,,,,,,,
,,170.8224,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,170.85592,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,171.2696,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,171.95408,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,172.12216,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,173.31504,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
,,173.75144,A1_23,0.013,,,,,,,,,,,,,,,,,,,,
,,173.81232,A4_21,0.018,,,,,,,,,,,,,,,,,,,,
,,174.84432,C2_21,0.012,,,,,,,,,,,,,,,,,,,,
,,175.57064,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,176.0928,B3_42,0.011,,,,,,,,,,,,,,,,,,,,
,,177.82944,C5_12,0.011,,,,,,,,,,,,,,,,,,,,
,,179.07984,B6_41,0.012,,,,,,,,,,,,,,,,,,,,
,,179.0868,B1_12,0.014,,,,,,,,,,,,,,,,,,,,
,,180.25368,A4_13,0.025,,,,,,,,,,,,,,,,,,,,
,,182.04992,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,182.59464,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,183.82888,A4_22,0.012,,,,,,,,,,,,,,,,,,,,
,,183.93056,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,185.4668,A4_21,0.014,,,,,,,,,,,,,,,,,,,,
,,186.408,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,186.64,A4_21,0.015,,,,,,,,,,,,,,,,,,,,
,,189.06064,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,190.59472,A4_21,0.018,,,,,,,,,,,,,,,,,,,,
,,192.56904,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,193.08152,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,195.0736,B6_41,0.01,,,,,,,,,,,,,,,,,,,,
,,195.1668,A4_34,0.009,,,,,,,,,,,,,,,,,,,,
,,195.5528,C6_31,0.011,,,,,,,,,,,,,,,,,,,,
,,196.33752,B4_11,0.012,,,,,,,,,,,,,,,,,,,,
,,196.45976,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,197.83832,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,199.34808,C2_24,0.016,,,,,,,,,,,,,,,,,,,,
,,201.18136,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,201.87896,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,201.91336,B1_14,0.01,,,,,,,,,,,,,,,,,,,,
,,203.42872,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,203.53216,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,203.68464,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,205.42264,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,205.88768,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,206.34064,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,206.7212,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,209.29536,B4_11,0.011,,,,,,,,,,,,,,,,,,,,
,,209.37312,B1_12,0.015,,,,,,,,,,,,,,,,,,,,
,,210.5084,B1_14,0.012,,,,,,,,,,,,,,,,,,,,
,,210.5924,A4_14,0.011,,,,,,,,,,,,,,,,,,,,
,,211.72784,B5_23,0.012,,,,,,,,,,,,,,,,,,,,
,,212.29368,B5_21,0.009,,,,,,,,,,,,,,,,,,,,
,,213.75824,B5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,214.27272,A3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,217.35912,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,217.61416,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,218.64328,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,220.48976,B5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,224.18264,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,224.34008,D5_42,0.009,,,,,,,,,,,,,,,,,,,,
,,224.3688,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,225.84432,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,226.38592,A4_21,0.015,,,,,,,,,,,,,,,,,,,,
,,226.61936,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,229.19856,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,229.34192,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,230.3576,B5_21,0.011,,,,,,,,,,,,,,,,,,,,
,,231.92768,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,232.28512,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,232.3744,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,232.49168,B5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,232.93504,C2_24,0.016,,,,,,,,,,,,,,,,,,,,
,,233.1908,C2_24,0.01,,,,,,,,,,,,,,,,,,,,
,,233.614,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,234.32864,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,234.82656,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,234.97816,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,236.43728,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,237.03328,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,237.9968,B1_12,0.013,,,,,,,,,,,,,,,,,,,,
,,238.34408,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,239.21168,D5_42,0.011,,,,,,,,,,,,,,,,,,,,
,,239.66352,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,240.08616,C3_13,0.009,,,,,,,,,,,,,,,,,,,,
,,240.10352,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,241.40784,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,242.18672,B5_21,0.011,,,,,,,,,,,,,,,,,,,,
,,243.83544,B1_21,0.011,,,,,,,,,,,,,,,,,,,,
,,244.14752,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,244.86408,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,247.50912,A4_24,0.011,,,,,,,,,,,,,,,,,,,,
,,248.34552,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,248.83984,B5_42,0.014,,,,,,,,,,,,,,,,,,,,
,,248.97592,B1_14,0.011,,,,,,,,,,,,,,,,,,,,
,,249.25952,A4_13,0.012,,,,,,,,,,,,,,,,,,,,
,,252.36216,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,257.16048,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,257.63616,B5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,258.90496,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,258.93488,B6_11,0.018,,,,,,,,,,,,,,,,,,,,
,,262.24728,A1_22,0.009,,,,,,,,,,,,,,,,,,,,
,,263.49224,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,264.30408,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,264.91344,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,266.17208,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,266.43192,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,268.03328,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,269.2312,B1_12,0.011,,,,,,,,,,,,,,,,,,,,
,,269.46872,B1_14,0.011,,,,,,,,,,,,,,,,,,,,
,,271.68448,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,275.56208,B5_33,0.014,,,,,,,,,,,,,,,,,,,,
,,283.18888,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,283.77624,C2_24,0.009,,,,,,,,,,,,,,,,,,,,
,,285.83584,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,286.53128,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,286.82424,C2_24,0.01,,,,,,,,,,,,,,,,,,,,
,,287.14,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,287.80392,A3_31,0.009,,,,,,,,,,,,,,,,,,,,
,,289.29352,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,290.94768,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,291.686,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,291.78816,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,292.4736,A4_22,0.011,,,,,,,,,,,,,,,,,,,,
,,293.23688,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,294.89552,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,296.68232,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,299.16704,A4_34,0.01,,,,,,,,,,,,,,,,,,,,
,,307.19936,A4_21,0.017,,,,,,,,,,,,,,,,,,,,
,,307.52352,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,307.84792,B3_42,0.01,,,,,,,,,,,,,,,,,,,,
,,309.41664,A4_21,0.019,,,,,,,,,,,,,,,,,,,,
,,310.4124,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,310.75752,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,313.69464,B5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,313.78776,C2_24,0.015,,,,,,,,,,,,,,,,,,,,
,,313.84728,B6_11,0.018,,,,,,,,,,,,,,,,,,,,
,,314.76336,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,315.78808,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,316.12432,B5_42,0.016,,,,,,,,,,,,,,,,,,,,
,,317.02256,B4_13,0.013,,,,,,,,,,,,,,,,,,,,
,,317.03856,A1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,318.12584,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,318.97536,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,319.21456,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,319.55216,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,319.89896,D5_42,0.01,,,,,,,,,,,,,,,,,,,,
,,320.07248,C2_24,0.011,,,,,,,,,,,,,,,,,,,,
,,322.51528,A3_42,0.012,,,,,,,,,,,,,,,,,,,,
,,323.66248,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,325.21968,B1_12,0.008,,,,,,,,,,,,,,,,,,,,
,,326.69744,B6_12,0.012,,,,,,,,,,,,,,,,,,,,
,,328.4308,D5_42,0.008,,,,,,,,,,,,,,,,,,,,
,,332.80952,A1_23,0.013,,,,,,,,,,,,,,,,,,,,
,,332.9504,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,334.73488,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,335.57944,B5_42,0.019,,,,,,,,,,,,,,,,,,,,
,,335.74232,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,336.02208,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,336.94312,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,337.36952,B3_42,0.013,,,,,,,,,,,,,,,,,,,,
,,338.25464,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,339.20952,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,339.708,D5_42,0.009,,,,,,,,,,,,,,,,,,,,
,,340.3828,B5_42,0.027,,,,,,,,,,,,,,,,,,,,
,,341.22976,B5_24,0.011,,,,,,,,,,,,,,,,,,,,
,,341.57896,B1_12,0.009,,,,,,,,,,,,,,,,,,,,
,,342.92128,B5_42,0.021,,,,,,,,,,,,,,,,,,,,
,,343.2228,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,349.87112,B5_42,0.018,,,,,,,,,,,,,,,,,,,,
,,351.3244,C3_13,0.01,,,,,,,,,,,,,,,,,,,,
,,352.26112,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,352.63232,B5_42,0.02,,,,,,,,,,,,,,,,,,,,
,,352.94328,B1_12,0.01,,,,,,,,,,,,,,,,,,,,
,,354.14368,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,354.4404,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,355.72448,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,355.86976,A4_24,0.011,,,,,,,,,,,,,,,,,,,,
,,357.11272,B5_33,0.013,,,,,,,,,,,,,,,,,,,,
,,358.08192,A4_34,0.009,,,,,,,,,,,,,,,,,,,,
,,358.09992,B5_42,0.017,,,,,,,,,,,,,,,,,,,,
,,359.05504,B1_12,0.012,,,,,,,,,,,,,,,,,,,,
,,359.05576,B1_13,0.021,,,,,,,,,,,,,,,,,,,,
,,359.09264,B1_12,0.013,,,,,,,,,,,,,,,,,,,,
,,359.16512,B5_42,0.015,,,,,,,,,,,,,,,,,,,,
,,359.17856,B1_14,0.01,,,,,,,,,,,,,,,,,,,,
,,359.87424,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,362.62656,A4_24,0.013,,,,,,,,,,,,,,,,,,,,
,,364.15416,A1_23,0.014,,,,,,,,,,,,,,,,,,,,
,,364.7148,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,365.394,C2_24,0.013,,,,,,,,,,,,,,,,,,,,
,,365.88824,C2_24,0.012,,,,,,,,,,,,,,,,,,,,
,,365.92992,B6_41,0.01,,,,,,,,,,,,,,,,,,,,
