Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,00001.853680,C4_12,0.027
,,00001.856640,B3_22,0.02
,,00001.857440,A3_11,0.026
,,00001.914640,C6_44,0.026
,,00001.925440,C6_44,0.044
,,00001.940320,D2_31,0.02
,,00001.941840,C4_22,0.062
,,00001.946640,D1_33,0.057
,,00001.959200,D1_33,0.039
,,00001.966080,D1_33,0.058
,,00001.968640,B5_32,0.023
,,00001.990720,C6_44,0.031
,,00001.999040,C6_42,0.02
,,00002.011760,C1_44,0.084
,,00002.014240,A5_34,0.019
,,00002.037040,D1_33,0.052
,,00002.063600,D1_33,0.056
,,00002.065520,C6_22,0.019
,,00002.067840,C6_43,0.031
,,00002.070160,A1_33,0.033
,,00002.074160,C2_32,0.024
,,00002.082800,D3_43,0.038
,,00002.090080,D1_33,0.058
,,00002.093040,D1_33,0.098
,,00002.098400,C6_42,0.024
,,00002.104960,A4_44,0.019
,,00002.116480,B5_32,0.021
,,00002.120880,D1_33,0.057
,,00002.154160,D4_33,0.017
,,00002.161280,A5_21,0.017
,,00002.163360,C1_44,0.042
,,00002.171760,D1_33,0.056
,,00002.172400,A1_33,0.032
,,00002.179520,A1_33,0.026
,,00002.185440,A3_32,0.024
,,00002.209360,D1_33,0.061
,,00002.210320,D3_44,0.022
,,00002.211760,C6_31,0.027
,,00002.226160,D1_44,0.013
,,00002.258240,A3_21,0.022
,,00002.280960,D1_33,0.054
,,00002.311280,D4_42,0.02
,,00002.315520,D1_33,0.056
,,00002.325600,D1_33,0.043
,,00002.329360,D2_31,0.021
,,00002.365360,B3_44,0.024
,,00002.370080,C6_22,0.032
,,00002.375120,D1_33,0.05
,,00002.375600,C6_43,0.025
,,00002.378320,C1_44,0.085
,,00002.391120,C6_42,0.027
,,00002.403520,C4_12,0.04
,,00002.404400,C6_22,0.025
,,00002.405440,C2_32,0.018
,,00002.429200,D1_33,0.04
,,00002.436320,A3_11,0.021
,,00002.439600,A1_33,0.028
,,00002.456640,D1_33,0.056
,,00002.476640,A2_11,0.021
,,00002.496080,A1_21,0.04
,,00002.514560,D6_32,0.015
,,00002.518000,A5_14,0.029
,,00002.534560,A3_12,0.028
,,00002.555040,D3_44,0.024
,,00002.555520,C6_44,0.028
,,00002.564000,D3_44,0.02
,,00002.573680,B1_31,0.019
,,00002.599200,C6_43,0.071
,,00002.627600,C1_34,0.023
,,00002.638240,D1_22,0.039
,,00002.647280,A2_11,0.017
,,00002.648400,A3_11,0.027
,,00002.650800,A1_33,0.026
,,00002.676560,A3_33,0.025
,,00002.684400,C6_31,0.024
,,00002.685040,D1_33,0.062
,,00002.701120,A5_44,0.023
,,00002.706480,D1_33,0.035
,,00002.717280,B3_44,0.027
,,00002.721600,B4_44,0.027
,,00002.734400,B5_23,0.018
,,00002.744960,A3_33,0.018
,,00002.750720,C4_12,0.065
,,00002.768800,D3_13,0.024
,,00002.790560,C6_42,0.022
,,00002.804480,A2_11,0.018
,,00002.825200,D1_24,0.017
,,00002.862080,A1_22,0.03
,,00002.869680,D1_33,0.046
,,00002.890800,D2_31,0.023
,,00002.899280,D2_31,0.02
,,00002.926080,C4_14,0.079
,,00002.933520,C5_42,0.033
,,00002.934800,C6_42,0.017
,,00002.944800,B3_22,0.02
,,00002.950640,C6_44,0.037
,,00002.952960,A3_33,0.021
,,00002.960800,B3_22,0.018
,,00002.976720,A4_11,0.037
,,00002.979920,A3_33,0.033
,,00002.982800,A4_34,0.025
,,00002.983040,C4_14,0.076
,,00002.993600,B3_42,0.034
,,00002.994960,C6_22,0.016
,,00003.004720,C6_22,0.019
,,00003.013280,B5_23,0.017
,,00003.014400,C1_34,0.023
,,00003.026720,C4_14,0.074
,,00003.066800,B5_23,0.018
,,00003.066800,C4_14,0.085
,,00003.083040,D6_33,0.019
,,00003.090320,A3_33,0.027
,,00003.095920,B3_42,0.038
,,00003.097440,C6_22,0.019
,,00003.098400,C4_14,0.056
,,00003.120480,C4_14,0.051
,,00003.128800,B3_42,0.024
,,00003.140560,C4_14,0.069
,,00003.143680,D1_34,0.012
,,00003.184240,C1_44,0.089
,,00003.187920,A3_33,0.021
,,00003.193360,B3_44,0.025
,,00003.212000,D3_12,0.02
,,00003.213280,B6_11,0.024
,,00003.224160,D3_32,0.116
,,00003.237520,A2_14,0.022
,,00003.249760,C6_22,0.014
