Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,3 months,1.03472,B4_43,0.018,,,,,,,,,,,,,,,,,,,,
Description,Iso CTL ,1.21256,B1_34,0.013,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,1.29952,B4_43,0.012,,,,,,,,,,,,,,,,,,,,
   Original File Time,05/03/2021 16:05:13,1.31384,B4_43,0.014,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,1.53672,B6_14,0.011,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,1.81656,B1_34,0.011,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,05/03/2021 16:05:06,2.0588,A5_13,0.014,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,2.12032,B4_43,0.017,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,2.20816,B6_11,0.016,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,2.55728,D3_11,0.01,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,2.6296,B4_12,0.013,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,2.67576,B4_22,0.013,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,2.72208,B4_43,0.016,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,2.84208,A4_24,0.014,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,3.07208,B1_34,0.013,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,3.17888,B3_22,0.014,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4915,3.24824,B2_43,0.014,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,3.48768,B1_34,0.01,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,3.75408,A4_44,0.013,,,,,,,,,,,,,,,,,,,,
   Gas Mixer Status,Regulating,3.82744,B4_13,0.012,,,,,,,,,,,,,,,,,,,,
   AxIS Version,1.5.1.12,3.92048,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
   Maestro Edge Firmware,1.5.1.12,3.95656,B4_43,0.014,,,,,,,,,,,,,,,,,,,,
   Maestro Edge BioCore Version,4B,4.47344,B1_34,0.012,,,,,,,,,,,,,,,,,,,,
,,4.57448,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
Spike Detector Settings,,4.6,B4_12,0.026,,,,,,,,,,,,,,,,,,,,
   Method,Adaptive Threshold Crossing,4.61496,B4_13,0.01,,,,,,,,,,,,,,,,,,,,
   Threshold,6,4.81304,B1_34,0.012,,,,,,,,,,,,,,,,,,,,
   Threshold Status,Variable,4.98304,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
   Threshold Crossing Only,TRUE,5.01296,B4_12,0.021,,,,,,,,,,,,,,,,,,,,
   Pre-Spike Duration,0.84 ms,5.68064,B3_22,0.017,,,,,,,,,,,,,,,,,,,,
   Post-Spike Duration,2.16 ms,5.71864,A5_13,0.014,,,,,,,,,,,,,,,,,,,,
   Coincident Event Filter,Default (Well),5.9288,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
   Coincidence Occurrence Threshold,4 Electrodes,5.95616,B4_13,0.013,,,,,,,,,,,,,,,,,,,,
   Coincidence Event Window,160 µs,6.11704,A4_23,0.026,,,,,,,,,,,,,,,,,,,,
   Allow Sample Overlap,FALSE,6.37776,A2_31,0.012,,,,,,,,,,,,,,,,,,,,
   Spike Count Interval,1 s,6.61632,B4_43,0.014,,,,,,,,,,,,,,,,,,,,
,,6.75512,B4_43,0.015,,,,,,,,,,,,,,,,,,,,
,,6.84536,D3_11,0.011,,,,,,,,,,,,,,,,,,,,
,,7.19976,B3_22,0.008,,,,,,,,,,,,,,,,,,,,
,,7.2156,B4_43,0.011,,,,,,,,,,,,,,,,,,,,
