Electrode,Time (s)
C2_13,0.34104
C2_23,1.91424
C2_32,2.41784
C2_13,3.69992
C2_21,3.70304
C2_13,6.86848
C2_32,6.918
C2_11,6.93752
C2_32,9.55184
C2_23,9.94152
C2_11,10.20304
C2_11,10.23984
C2_12,10.55096
C2_32,10.75896
C2_21,11.3664
C2_11,11.36728
C2_21,11.36928
C2_31,11.36968
C2_32,11.37104
C2_23,11.37168
C2_11,11.37328
C2_13,11.37368
C2_12,11.3824
C2_13,11.3884
C2_21,11.38984
C2_21,11.39432
C2_11,11.50344
C2_32,11.70736
C2_32,13.15808
C2_23,13.21328
C2_32,14.54648
C2_32,15.59552
C2_11,16.91168
C2_32,17.11792
C2_32,18.07848
C2_22,19.42928
C2_32,19.53104
C2_22,19.6968
C2_32,21.37744
C2_23,21.89048
C2_32,22.55232
C2_11,23.11712
C2_13,23.31552
C2_23,23.39176
C2_21,23.73656
C2_21,23.92032
C2_22,23.92384
C2_21,24.04096
C2_12,24.0432
C2_32,24.17432
C2_32,25.73832
C2_32,25.79272
C2_22,27.26656
C2_32,27.3608
C2_32,28.70376
C2_32,28.77112
C2_22,29.25944
C2_13,29.55384
C2_22,30.79112
C2_32,31.72312
C2_32,31.77424
C2_22,32.23064
C2_22,32.43152
C2_22,32.91256
C2_13,32.9228
C2_21,32.92576
C2_22,33.58024
C2_12,33.59176
C2_11,34.84552
C2_32,34.96008
C2_32,35.0124
C2_22,36.22328
C2_32,36.912
C2_32,36.96312
C2_21,37.0744
C2_11,37.16128
C2_22,38.18256
C2_22,39.5208
C2_32,39.67504
C2_32,39.70456
C2_32,39.74776
C2_12,40.94696
C2_32,43.45152
C2_32,43.48792
C2_32,43.5268
C2_22,45.65264
C2_21,46.194
C2_13,46.1944
C2_12,46.19952
C2_22,46.2008
C2_31,46.2016
C2_13,46.20352
C2_21,46.2044
C2_31,46.20456
C2_21,46.20832
C2_21,46.21152
C2_13,46.21168
C2_22,46.21544
C2_13,46.21584
C2_31,46.21696
C2_32,46.21752
C2_21,46.22112
C2_13,46.2212
C2_12,46.2216
C2_23,46.22224
C2_31,46.2224
C2_22,46.22296
C2_21,46.2236
C2_13,46.22624
C2_21,46.22632
C2_21,46.2344
C2_23,46.23736
C2_22,46.2504
C2_23,46.27712
C2_21,46.28896
C2_32,46.29976
C2_13,46.30024
C2_32,46.3244
C2_13,46.34304
