Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
8,8,108.3116,108.95488,0.6432800000000043,0.4682800000000018,423
8,8,166.10856,166.7156,0.6070399999999836,0.4136799999999994,384
8,8,270.09984,270.85488,0.7550400000000081,0.5382300000000129,402
9,8,287.4016,288.19128,0.7896800000000326,0.4763377777777956,329
8,8,317.23024,317.9588,0.7285600000000159,0.5134300000000067,371
8,8,377.76096,378.49712,0.7361599999999839,0.4498399999999876,367
7,7,392.40352,393.15656,0.7530399999999986,0.538400000000008,348
8,8,436.16408,436.7552,0.5911199999999894,0.4386599999999916,337
4,4,450.11128,450.75928,0.6479999999999677,0.3812199999999848,60
8,8,486.25568,486.73088,0.4752000000000294,0.30042999999998443,308
8,8,534.09056,534.54928,0.45871999999997115,0.309519999999992,316
8,8,573.24952,573.94432,0.6947999999999865,0.40417999999998244,194
8,8,586.62432,587.2884,0.6640800000000127,0.4487699999999961,173
