Electrode,Number of spikes,First spike time (sec),Last spike time (sec),Burst duration
B2_23,7,563.32096,563.46552,0.14455999999995583
B2_31,15,157.7168,157.97528,0.2584799999999916
B2_31,54,563.22248,563.76336,0.5408800000000156
B2_32,56,157.44224,158.37424,0.931999999999988
B2_33,29,157.4936,158.00112,0.5075199999999995
B2_34,13,157.7024,157.96072,0.25831999999999766
B2_42,37,157.68976,158.21672,0.5269600000000025
B2_42,51,563.22048,563.79816,0.5776800000001003
B2_43,13,157.68816,158.03024,0.3420799999999815
B2_43,17,563.21048,563.41912,0.20864000000005944
B2_44,76,157.48432,158.4596,0.9752799999999979
B2_44,86,563.20264,563.97888,0.7762400000000298
