Electrode,Time (s)
B2_44,9.99248
B2_44,14.01272
B2_44,18.71576
B2_44,27.7384
B2_44,65.2116
B2_44,65.236
B2_44,65.24448
B2_44,65.25016
B2_44,65.25272
B2_34,65.25448
B2_44,65.25624
B2_34,65.2572
B2_44,65.25912
B2_44,65.26536
B2_43,65.26792
B2_44,65.26872
B2_34,65.27016
B2_44,65.27136
B2_34,65.27264
B2_42,65.27328
B2_44,65.27712
B2_44,65.29072
B2_43,65.30376
B2_44,65.3764
B2_44,67.41064
B2_44,89.40464
B2_44,91.89144
B2_44,92.57768
B2_44,94.32552
B2_44,95.32024
B2_44,103.81648
B2_44,103.93216
B2_44,109.33408
B2_34,116.268
B2_44,122.3292
B2_44,125.33216
B2_44,125.35888
B2_44,125.982
B2_44,142.96672
B2_44,142.97144
B2_42,142.97184
B2_34,142.97352
B2_44,142.97392
B2_42,142.97568
B2_34,142.97608
B2_34,142.97848
B2_44,142.97856
B2_34,142.98144
B2_33,142.98248
B2_44,142.98264
B2_44,142.98528
B2_34,142.98568
B2_44,142.98808
B2_34,142.99144
B2_44,142.99352
B2_43,142.994
B2_34,142.9948
B2_44,142.99688
B2_44,142.99912
B2_34,142.99936
B2_34,143.0132
B2_44,143.01368
B2_44,143.01648
B2_44,143.02352
B2_42,143.02432
B2_44,143.03144
B2_34,143.03656
B2_43,143.04712
B2_42,143.06672
B2_34,143.2572
B2_44,147.8508
B2_34,155.63728
B2_34,164.60048
B2_43,170.25464
B2_34,173.17664
B2_34,184.38376
B2_44,191.92592
B2_34,191.92656
B2_44,191.93064
B2_44,191.93552
B2_43,191.9368
B2_34,191.93736
B2_44,191.93856
B2_34,191.93984
B2_43,191.94
B2_42,191.94184
B2_44,191.9436
B2_34,191.94384
B2_44,191.94688
B2_43,191.9472
B2_34,191.94776
B2_33,191.94896
B2_34,191.95056
B2_44,191.95064
B2_44,191.95304
B2_34,191.95336
B2_42,191.95432
B2_43,191.95592
B2_34,191.95616
B2_44,191.95776
B2_42,191.9604
B2_44,191.96088
B2_44,191.96408
B2_42,191.96472
B2_34,191.9652
B2_44,191.96792
B2_44,191.97152
B2_43,191.97208
B2_44,191.98712
B2_43,191.98728
B2_34,191.99608
B2_44,200.24328
B2_44,200.45896
B2_44,200.48216
B2_34,200.4848
B2_34,200.48848
B2_33,200.48864
B2_44,200.4928
B2_34,200.49624
B2_44,200.4984
B2_34,200.50024
B2_44,200.50088
B2_44,200.50624
B2_34,200.50656
B2_34,200.51016
B2_44,200.51072
B2_42,200.51352
B2_44,200.51352
B2_43,200.51664
B2_34,200.51752
B2_43,200.51952
B2_34,200.5204
B2_34,200.52424
B2_43,200.526
B2_34,200.5284
B2_44,200.52976
B2_44,200.53216
B2_43,200.54152
B2_44,200.54488
B2_44,200.54912
B2_44,206.32832
B2_42,206.85312
B2_34,206.8632
B2_34,207.032
B2_34,207.11328
B2_34,207.26816
B2_34,213.68344
B2_34,219.03016
B2_44,222.80232
B2_44,222.82424
B2_44,228.30024
B2_34,228.6364
B2_34,228.70824
B2_44,233.41056
B2_42,237.35152
B2_44,240.70456
B2_44,250.41984
B2_44,250.5544
B2_34,250.70688
B2_34,250.96912
B2_44,256.13736
B2_44,256.23096
B2_44,256.23656
B2_44,256.2444
B2_44,256.2472
B2_34,256.25184
B2_44,256.25232
B2_34,256.2544
B2_44,256.25472
B2_44,256.25904
B2_34,256.25928
B2_42,256.26344
B2_44,256.26376
B2_34,256.26432
B2_44,256.26632
B2_34,256.26832
B2_44,256.26984
B2_34,256.27184
B2_33,256.27208
B2_44,256.27208
B2_43,256.27496
B2_33,256.27656
B2_34,256.27688
B2_42,256.27704
B2_44,256.278
B2_34,256.28016
B2_44,256.2804
B2_44,256.28448
B2_34,256.2852
B2_44,256.288
B2_42,256.2928
B2_44,256.2944
B2_43,256.29456
B2_42,256.29512
B2_43,256.29944
B2_34,256.30248
B2_44,256.30792
B2_43,256.3144
B2_42,256.3248
B2_43,256.32616
B2_34,256.334
B2_42,256.33648
B2_34,256.34912
B2_42,256.3536
B2_44,256.37968
B2_44,256.43288
B2_44,262.08664
B2_34,262.72888
B2_44,267.82664
B2_34,268.01824
B2_44,279.43472
B2_44,279.7404
B2_34,279.88616
B2_44,286.66304
B2_34,288.48544
B2_34,288.57304
B2_34,288.6152
B2_44,295.47792
B2_44,295.49024
B2_44,295.49496
B2_44,295.49912
B2_44,295.50192
B2_34,295.50336
B2_44,295.50528
B2_34,295.506
B2_43,295.5064
B2_42,295.5076
B2_34,295.50968
B2_33,295.51024
B2_44,295.51096
B2_44,295.5132
B2_43,295.516
B2_44,295.516
B2_42,295.51744
B2_44,295.5184
B2_44,295.52256
B2_42,295.52472
B2_44,295.5252
B2_34,295.52544
B2_43,295.52664
B2_44,295.52848
B2_34,295.52888
B2_44,295.53336
B2_43,295.53896
B2_44,295.54032
B2_34,295.54088
B2_44,295.54712
B2_34,295.55752
B2_34,295.5816
B2_43,295.582
B2_43,295.586
B2_42,295.59672
B2_34,295.59688
B2_43,295.61024
B2_42,295.62544
B2_34,295.73488
B2_34,310.12472
B2_42,310.1508
B2_44,310.32032
B2_42,310.33808
B2_34,316.50184
B2_34,316.6648
B2_34,316.90352
B2_43,321.35664
B2_44,325.29144
B2_34,325.72976
B2_34,325.81312
B2_34,325.83344
B2_34,325.94136
B2_34,326.0888
B2_44,333.93992
B2_44,334.16952
B2_44,334.2388
B2_34,334.46
B2_34,334.82584
B2_44,342.05632
B2_34,342.344
B2_44,342.35296
B2_44,342.36712
B2_34,342.38064
B2_34,342.38376
B2_34,342.38856
B2_43,342.38856
B2_44,342.3916
B2_34,342.394
B2_44,342.39408
B2_34,342.39672
B2_44,342.39792
B2_43,342.3988
B2_34,342.3992
B2_44,342.40048
B2_43,342.40104
B2_34,342.40256
B2_43,342.40344
B2_44,342.40384
B2_34,342.40624
B2_43,342.40728
B2_44,342.40872
B2_34,342.41
B2_44,342.41264
B2_42,342.41552
B2_44,342.4156
B2_42,342.41848
B2_43,342.41912
B2_44,342.42
B2_34,342.42016
B2_43,342.42744
B2_43,342.4312
B2_34,342.43456
B2_44,342.43576
B2_44,342.44792
B2_42,342.45408
B2_34,342.45704
B2_44,342.45952
B2_44,342.47176
B2_42,342.48456
B2_44,342.4852
B2_43,342.51168
B2_34,342.51264
B2_43,342.60008
B2_34,342.7304
B2_34,342.7616
B2_34,352.9492
B2_34,353.14848
B2_34,359.81832
B2_43,360.75072
B2_44,366.54416
B2_43,368.65224
B2_44,370.32088
B2_34,370.3628
B2_34,370.84
B2_34,379.05656
B2_34,379.102
B2_44,383.49624
B2_44,383.57168
B2_43,383.57384
B2_34,383.57424
B2_44,383.57608
B2_34,383.57712
B2_44,383.5788
B2_34,383.58056
B2_44,383.58224
B2_34,383.58312
B2_44,383.58504
B2_34,383.5872
B2_42,383.58832
B2_44,383.5892
B2_33,383.59
B2_34,383.59096
B2_44,383.5916
B2_43,383.59192
B2_42,383.59352
B2_34,383.594
B2_44,383.59416
B2_43,383.5944
B2_34,383.59712
B2_44,383.598
B2_44,383.60296
B2_44,383.60736
B2_34,383.60968
B2_44,383.61056
B2_42,383.61272
B2_43,383.6136
B2_43,383.61952
B2_44,383.62128
B2_43,383.6232
B2_42,383.6272
B2_44,383.6272
B2_44,383.63424
B2_43,383.63496
B2_44,383.63648
B2_42,383.63688
B2_43,383.63728
B2_34,383.64792
B2_42,383.64944
B2_43,383.65224
B2_43,383.65696
B2_34,383.6672
B2_34,383.99168
B2_43,384.49416
B2_34,388.80224
B2_34,396.29592
B2_34,396.35016
B2_44,396.39624
B2_34,396.44776
B2_34,402.39136
B2_34,402.46968
B2_34,402.81816
B2_44,405.91784
B2_44,406.64416
B2_34,406.64448
B2_44,406.64664
B2_43,406.64712
B2_42,406.64792
B2_34,406.64904
B2_44,406.65104
B2_34,406.65296
B2_44,406.65432
B2_42,406.65496
B2_34,406.65672
B2_43,406.65704
B2_44,406.65744
B2_34,406.65944
B2_43,406.65968
B2_44,406.66008
B2_42,406.6616
B2_34,406.66312
B2_44,406.66312
B2_44,406.66608
B2_34,406.6664
B2_44,406.66912
B2_42,406.66968
B2_34,406.67432
B2_44,406.67432
B2_44,406.67984
B2_42,406.68048
B2_34,406.68424
B2_34,406.68656
B2_44,406.688
B2_44,406.69448
B2_34,406.7044
B2_43,406.70504
B2_44,406.70624
B2_44,406.71384
B2_34,406.71456
B2_34,406.72424
B2_43,406.7312
B2_44,406.75696
B2_43,406.80648
B2_34,407.03736
B2_42,411.99544
B2_42,415.88368
B2_43,415.91448
B2_34,416.04664
B2_34,416.21264
B2_34,416.32928
B2_34,416.49864
B2_44,420.8556
B2_44,420.96816
B2_34,421.8504
B2_44,426.96416
B2_44,427.2076
B2_34,427.262
B2_34,427.32584
B2_42,427.34128
B2_34,427.57824
B2_34,437.52264
B2_34,437.57648
B2_34,437.63752
B2_34,437.68032
B2_34,437.86272
B2_34,443.08912
B2_34,443.1884
B2_44,448.5424
B2_34,448.79928
B2_34,448.87112
B2_34,449.25936
B2_43,450.36368
B2_34,453.82392
B2_34,453.89528
B2_44,462.13416
B2_34,462.906
B2_44,468.32896
B2_34,468.5864
B2_44,474.8508
B2_43,475.03096
B2_34,475.12824
B2_44,482.1056
B2_34,482.12544
B2_44,482.128
B2_34,482.13096
B2_44,482.13416
B2_34,482.13448
B2_44,482.13704
B2_44,482.1396
B2_34,482.1404
B2_44,482.14224
B2_34,482.14336
B2_44,482.14528
B2_34,482.14568
B2_44,482.1476
B2_43,482.14768
B2_34,482.14888
B2_44,482.14992
B2_33,482.15064
B2_43,482.1512
B2_34,482.15208
B2_44,482.1524
B2_33,482.1548
B2_34,482.15536
B2_43,482.15872
B2_44,482.1588
B2_34,482.16088
B2_44,482.16112
B2_42,482.16472
B2_34,482.16528
B2_34,482.16848
B2_42,482.16952
B2_44,482.17144
B2_34,482.17608
B2_42,482.17776
B2_44,482.17944
B2_43,482.18136
B2_34,482.1824
B2_44,482.1848
B2_42,482.18496
B2_42,482.18896
B2_34,482.1924
B2_34,482.19608
B2_44,482.19688
B2_43,482.19936
B2_44,482.20688
B2_42,482.212
B2_34,482.216
B2_43,482.21752
B2_43,482.21992
B2_44,482.22152
B2_42,482.2228
B2_43,482.23768
B2_44,482.24168
B2_44,482.25808
B2_44,488.02816
B2_34,488.40096
B2_34,488.51208
B2_44,492.4972
B2_34,492.50048
B2_42,492.50104
B2_33,492.50336
B2_34,492.50504
B2_44,492.50616
B2_42,492.50624
B2_34,492.50784
B2_33,492.50896
B2_34,492.5128
B2_44,492.51304
B2_42,492.51336
B2_34,492.5152
B2_44,492.51528
B2_42,492.51576
B2_44,492.51872
B2_34,492.51912
B2_34,492.52448
B2_44,492.52504
B2_42,492.52688
B2_44,492.52856
B2_43,492.5288
B2_34,492.52944
B2_42,492.53624
B2_34,492.53688
B2_44,492.55496
B2_44,492.55776
B2_42,492.56192
B2_44,492.56648
B2_43,492.58448
B2_34,492.61552
B2_42,492.61968
B2_43,492.63256
B2_34,492.6488
B2_34,492.66744
B2_44,498.87144
B2_34,499.0068
B2_34,499.16008
B2_44,503.0364
B2_44,503.806
B2_44,503.84152
B2_44,503.84376
B2_43,503.84744
B2_34,503.8476
B2_44,503.84952
B2_34,503.85272
B2_43,503.85392
B2_44,503.85632
B2_34,503.8572
B2_43,503.85736
B2_44,503.85912
B2_34,503.86
B2_33,503.86016
B2_34,503.8624
B2_44,503.86304
B2_42,503.86536
B2_44,503.86672
B2_34,503.86696
B2_43,503.86704
B2_34,503.86992
B2_44,503.86992
B2_43,503.87024
B2_44,503.8724
B2_42,503.8732
B2_34,503.87352
B2_43,503.87856
B2_33,503.8788
B2_42,503.87912
B2_44,503.87912
B2_44,503.88224
B2_34,503.8844
B2_43,503.8876
B2_42,503.89568
B2_43,503.896
B2_34,503.90312
B2_43,503.90328
B2_42,503.9068
B2_42,503.91664
B2_44,503.92504
B2_42,503.9324
B2_44,503.93856
B2_42,503.94288
B2_44,504.01464
B2_34,504.07792
B2_34,504.09944
B2_44,521.5588
B2_34,522.3468
B2_44,525.56344
B2_34,530.41224
B2_44,530.59408
B2_34,530.64984
B2_34,530.67288
B2_34,530.79896
B2_34,530.95784
B2_44,535.0116
B2_34,535.202
B2_34,535.32792
B2_34,535.37552
B2_34,540.41928
B2_34,540.44352
B2_34,545.48272
B2_44,545.70672
B2_44,552.97192
B2_44,555.03784
B2_44,555.04968
B2_34,555.05016
B2_33,555.05032
B2_44,555.05384
B2_34,555.05392
B2_43,555.05392
B2_44,555.0564
B2_34,555.05696
B2_44,555.0588
B2_34,555.06096
B2_33,555.06152
B2_44,555.06152
