Electrode,Time (s)
A5_12,0.24936
A5_12,0.33224
A5_12,0.91264
A5_12,1.75208
A5_12,2.6716
A5_12,2.75544
A5_12,3.33888
A5_12,3.48016
A5_12,4.28504
A5_12,4.7488
A5_12,5.59096
A5_12,6.45872
A5_12,7.43248
A5_12,8.09488
A5_12,8.2168
A5_12,9.01088
A5_14,10.766
A5_44,10.76808
A5_34,10.76808
A5_24,10.76848
A5_12,11.47744
A5_12,11.60064
A5_12,12.11536
A5_12,12.2232
A5_14,13.0844
A5_34,13.08672
A5_12,13.31568
A5_12,14.31648
A5_12,14.96408
A5_12,15.84736
A5_12,16.01104
A5_21,16.50136
A5_12,16.66696
A5_12,18.15848
A5_12,18.94824
A5_12,19.96312
A5_12,20.05472
A5_14,20.56824
A5_24,20.62528
A5_44,20.62976
A5_24,20.63112
A5_12,20.86272
A5_12,21.0232
A5_12,21.6432
A5_12,21.94664
A5_14,22.2428
A5_24,22.24376
A5_23,22.24432
A5_11,22.24552
A5_12,22.69848
A5_12,22.87624
A5_31,23.48368
A5_12,23.65992
A5_12,24.3212
A5_12,24.92976
A5_12,25.04832
A5_12,25.69064
A5_12,25.80744
A5_12,26.474
A5_44,26.79128
A5_12,26.79928
A5_12,27.39312
A5_12,27.52912
A5_12,28.17752
A5_12,28.60728
A5_12,29.29768
A5_12,29.41856
A5_12,31.14176
A5_12,32.77024
A5_12,33.36632
A5_12,33.98336
A5_12,34.09664
A5_12,34.74144
A5_12,35.90304
A5_12,36.0488
A5_12,37.1856
A5_12,37.24848
A5_12,37.87256
A5_12,38.01024
A5_12,38.66688
A5_13,39.5432
A5_34,39.54528
A5_11,39.67176
A5_23,39.91808
A5_31,39.93424
A5_14,39.94432
A5_13,39.94464
A5_34,39.94688
A5_44,39.948
A5_44,39.95152
A5_12,39.95176
A5_24,39.9548
A5_34,39.96576
A5_24,39.96816
A5_11,39.96872
A5_14,39.97472
A5_24,39.97496
A5_14,39.98168
A5_41,39.98264
A5_24,39.98392
A5_43,39.98616
A5_14,39.98944
A5_34,39.99064
A5_13,39.99144
A5_21,39.99176
A5_24,39.99192
A5_34,39.99352
A5_44,39.99432
A5_14,39.99472
A5_43,39.99592
A5_11,39.9988
A5_14,39.99952
A5_41,40.00104
A5_11,40.0012
A5_43,40.00288
A5_14,40.00344
A5_44,40.00584
A5_43,40.00584
A5_11,40.00616
A5_14,40.00648
A5_13,40.00688
A5_34,40.00872
A5_41,40.0092
A5_14,40.0092
A5_43,40.01024
A5_11,40.01264
A5_14,40.01272
A5_24,40.01384
A5_13,40.01456
A5_44,40.01512
A5_23,40.01512
A5_14,40.0152
A5_43,40.01656
A5_14,40.01792
A5_42,40.01824
A5_11,40.0192
A5_23,40.02088
A5_24,40.02128
A5_11,40.02144
A5_12,40.02168
A5_13,40.02272
A5_34,40.02344
A5_14,40.02448
A5_13,40.0252
A5_44,40.02544
A5_31,40.0256
A5_11,40.02576
A5_34,40.02608
A5_12,40.02608
A5_24,40.02736
A5_43,40.02776
A5_14,40.02792
A5_21,40.0284
A5_13,40.0288
A5_44,40.02904
A5_14,40.03056
A5_12,40.03112
A5_24,40.03136
