Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
12,12,39.91808,40.84272,0.9246399999999966,0.5790866666666664,506
6,6,41.99584,42.45864,0.46280000000000143,0.21926666666666603,60
12,12,89.68872,91.40496,1.716239999999999,0.6220266666666667,499
11,11,105.97888,106.92424,0.9453599999999938,0.5318763636363621,432
7,7,107.7888,108.13792,0.3491199999999992,0.18987428571428816,57
11,11,169.20784,170.17768,0.9698400000000049,0.5162909090909099,427
11,11,499.2452,500.33624,1.091039999999964,0.4703999999999889,422
6,6,502.33856,502.6312,0.2926400000000058,0.169240000000002,57
