Number of electrode bursts,Number of electrodes,Beginning of network burst (s),End of network burst (s),Network burst duration (s),Average electrode burst duration (s),Number of spikes
8,8,19.38688,19.59824,0.2113599999999991,0.11367999999999998,144
9,9,151.3572,152.43056,1.073360000000008,0.400773333333335,454
5,5,151.71872,152.01056,0.29184000000000765,0.26412799999999376,163
8,8,198.3192,198.92088,0.601680000000016,0.37627000000000166,429
9,9,213.61256,214.29936,0.6868000000000052,0.32347555555555607,358
8,8,234.18392,234.71816,0.5342400000000112,0.20737000000000091,185
8,9,243.814,244.41976,0.6057600000000036,0.2960177777777788,298
4,4,244.02904,244.29624,0.26720000000000255,0.20352000000000456,72
9,9,254.686,255.21904,0.5330399999999997,0.24086222222222076,251
9,9,261.69696,262.072,0.3750400000000127,0.22215999999999284,222
8,8,269.2988,269.84424,0.545439999999985,0.2677900000000051,245
9,9,277.57544,278.25176,0.6763199999999756,0.26331555555553776,175
9,9,321.76344,322.45,0.6865599999999858,0.26479999999999865,225
9,9,348.57432,348.83096,0.2566400000000044,0.07742222222222807,124
9,9,361.88376,362.27448,0.3907199999999875,0.08525333333333007,128
9,9,396.5408,397.1228,0.5819999999999936,0.3645866666666709,437
7,7,480.2108,481.23424,1.0234399999999937,0.45206857142859136,275
9,9,579.96344,580.47704,0.5135999999999967,0.25322666666666765,333
