Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,7.1816,D4_11,0.021,,,,,,,,,,,,,,,,,,,,
,,7.2356,A5_23,0.028,,,,,,,,,,,,,,,,,,,,
,,7.31432,B3_11,0.017,,,,,,,,,,,,,,,,,,,,
,,7.32592,A4_12,0.03,,,,,,,,,,,,,,,,,,,,
,,7.71416,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,7.7708,A5_13,0.012,,,,,,,,,,,,,,,,,,,,
,,7.91192,C1_32,0.018,,,,,,,,,,,,,,,,,,,,
,,8.04224,D6_33,0.017,,,,,,,,,,,,,,,,,,,,
,,8.07488,B1_31,0.014,,,,,,,,,,,,,,,,,,,,
,,8.31096,B1_31,0.015,,,,,,,,,,,,,,,,,,,,
,,8.3492,A5_24,0.033,,,,,,,,,,,,,,,,,,,,
,,8.37952,A5_24,0.03,,,,,,,,,,,,,,,,,,,,
,,8.40904,A5_24,0.016,,,,,,,,,,,,,,,,,,,,
,,9.07096,B3_34,0.013,,,,,,,,,,,,,,,,,,,,
,,9.27504,B1_43,0.009,,,,,,,,,,,,,,,,,,,,
,,9.70416,A4_41,0.008,,,,,,,,,,,,,,,,,,,,
,,9.7952,B3_33,0.019,,,,,,,,,,,,,,,,,,,,
,,9.86592,B1_31,0.013,,,,,,,,,,,,,,,,,,,,
,,10.49752,A4_12,0.026,,,,,,,,,,,,,,,,,,,,
,,10.54376,A5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,10.82616,B1_43,0.012,,,,,,,,,,,,,,,,,,,,
,,10.86936,B3_11,0.012,,,,,,,,,,,,,,,,,,,,
,,10.99432,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,11.036,A5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,11.058,A5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,11.11176,A4_21,0.024,,,,,,,,,,,,,,,,,,,,
,,11.12904,A5_23,0.025,,,,,,,,,,,,,,,,,,,,
,,11.15984,A5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,11.17616,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,11.1776,B1_14,0.013,,,,,,,,,,,,,,,,,,,,
,,11.2208,A6_12,0.043,,,,,,,,,,,,,,,,,,,,
,,11.24264,A6_21,0.013,,,,,,,,,,,,,,,,,,,,
,,11.25744,A5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,11.30848,A5_23,0.021,,,,,,,,,,,,,,,,,,,,
,,11.34752,A5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,11.37528,A5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,11.40288,A5_23,0.016,,,,,,,,,,,,,,,,,,,,
,,11.46624,A5_23,0.02,,,,,,,,,,,,,,,,,,,,
,,11.47032,D6_33,0.016,,,,,,,,,,,,,,,,,,,,
,,11.56648,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,11.56712,A4_13,0.013,,,,,,,,,,,,,,,,,,,,
,,11.77128,B3_32,0.014,,,,,,,,,,,,,,,,,,,,
,,11.7876,A5_23,0.023,,,,,,,,,,,,,,,,,,,,
,,11.91536,A5_23,0.011,,,,,,,,,,,,,,,,,,,,
,,12.01552,D6_23,0.014,,,,,,,,,,,,,,,,,,,,
,,12.1488,A5_23,0.022,,,,,,,,,,,,,,,,,,,,
,,12.2304,B3_21,0.015,,,,,,,,,,,,,,,,,,,,
,,12.39792,B1_43,0.014,,,,,,,,,,,,,,,,,,,,
,,12.41136,A4_23,0.019,,,,,,,,,,,,,,,,,,,,
,,12.56744,C4_23,0.015,,,,,,,,,,,,,,,,,,,,
,,12.57728,A5_11,0.015,,,,,,,,,,,,,,,,,,,,
