Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
Recording Name,Iso CTL,0.01872,D1_33,0.014,,,,,,,,,,,,,,,,,,,,
Description,,0.04008,B1_13,0.024,,,,,,,,,,,,,,,,,,,,
Maestro Edge Settings,,0.09632,D1_24,0.016,,,,,,,,,,,,,,,,,,,,
   Original File Time,09/29/2021 12:06:27,0.09936,B3_44,0.017,,,,,,,,,,,,,,,,,,,,
   Sampling Frequency,12.5 kHz,0.11904,D6_32,0.022,,,,,,,,,,,,,,,,,,,,
   Voltage Scale,-5.48486178148311E-08 V/sample,0.1244,A1_21,0.019,,,,,,,,,,,,,,,,,,,,
   Experiment Start Time,09/29/2021 12:05:47,0.12936,A6_11,0.029,,,,,,,,,,,,,,,,,,,,
   Referencing Method,Median,0.14656,A6_23,0.026,,,,,,,,,,,,,,,,,,,,
   Analog Mode Setting,Neural Spikes,0.16072,C3_32,0.046,,,,,,,,,,,,,,,,,,,,
   Plate Type,CytoView MEA 24,0.17,D6_11,0.014,,,,,,,,,,,,,,,,,,,,
   Digital Low Pass Filter,3 kHz Kaiser Window,0.17968,D3_32,0.017,,,,,,,,,,,,,,,,,,,,
   Digital High Pass Filter,200 Hz IIR,0.19128,C1_43,0.022,,,,,,,,,,,,,,,,,,,,
   Temperature Set Point,37.0 Degrees C,0.20744,C5_34,0.022,,,,,,,,,,,,,,,,,,,,
   Current Temperature,36.9 Degrees C,0.20928,B6_11,0.018,,,,,,,,,,,,,,,,,,,,
   Heater Power,On,0.21752,C4_21,0.017,,,,,,,,,,,,,,,,,,,,
   Barcode Plate Type,TwentyFourWell,0.22872,C2_44,0.03,,,,,,,,,,,,,,,,,,,,
   Plate Serial Number,85-4954,0.23056,A6_11,0.034,,,,,,,,,,,,,,,,,,,,
   CO2 Conc. Set Point,5.00%,0.2544,A2_24,0.014,,,,,,,,,,,,,,,,,,,,
   Actual CO2 Conc.,5.00%,0.26512,D6_21,0.014,,,,,,,,,,,,,,,,,,,,
