Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,Iso CTL Quinpirole,0.09872,C5_34,0.017
Description,,0.10312,C5_44,0.03
Maestro Edge Settings,,0.122,C2_21,0.026
   Original File Time,09/29/2021 12:37:09,0.14056,C3_32,0.027
   Sampling Frequency,12.5 kHz,0.20752,C4_12,0.018
   Voltage Scale,-5.48486178148311E-08 V/sample,0.27256,C2_13,0.025
   Experiment Start Time,09/29/2021 12:35:19,0.29752,C4_12,0.017
   Referencing Method,Median,0.32168,C1_13,0.029
   Analog Mode Setting,Neural Spikes,0.37472,C3_32,0.026
   Plate Type,CytoView MEA 24,0.40584,C1_13,0.03
   Digital Low Pass Filter,3 kHz Kaiser Window,0.40616,C3_32,0.023
   Digital High Pass Filter,200 Hz IIR,0.49216,C1_13,0.027
   Temperature Set Point,37.0 Degrees C,0.49776,C5_14,0.024
   Current Temperature,37.0 Degrees C,0.51952,C1_12,0.025
   Heater Power,On,0.5508,C1_34,0.021
   Barcode Plate Type,TwentyFourWell,0.61888,C2_32,0.018
   Plate Serial Number,85-4954,0.61992,C5_43,0.015
   CO2 Conc. Set Point,5.00%,0.62496,C3_31,0.028
   Actual CO2 Conc.,5.00%,0.63016,C2_13,0.024
   Gas Mixer Status,Regulating,0.6308,C1_31,0.022
   AxIS Version,1.5.1.12,0.6704,C5_21,0.018
   Maestro Edge Firmware,1.5.1.12,0.67192,C1_31,0.021
   Maestro Edge BioCore Version,4B,0.68216,C4_33,0.03
,,0.69936,C5_21,0.014
Spike Detector Settings,,0.70104,C5_34,0.016
   Method,Adaptive Threshold Crossing,0.71552,C1_31,0.022
   Threshold,6,0.75328,C1_31,0.023
   Threshold Status,Variable,0.75736,C4_12,0.02
   Threshold Crossing Only,TRUE,0.76488,C4_22,0.023
   Pre-Spike Duration,0.84 ms,0.7692,C5_42,0.018
   Post-Spike Duration,2.16 ms,0.78512,C1_31,0.02
   Coincident Event Filter,Default (Well),0.78752,C5_44,0.022
   Coincidence Occurrence Threshold,4 Electrodes,0.78784,C1_14,0.016
   Coincidence Event Window,160 µs,0.80744,C3_32,0.021
   Allow Sample Overlap,FALSE,0.81624,C1_31,0.019
   Spike Count Interval,1 s,0.82272,C4_21,0.021
,,0.83896,C4_12,0.017
,,0.84768,C1_31,0.025
,,0.87528,C1_31,0.021
,,0.90272,C1_31,0.025
,,0.93232,C1_31,0.021
,,0.96056,C1_31,0.016
,,0.97232,C2_13,0.019
,,0.98528,C1_31,0.023
,,1.00304,C5_33,0.018
,,1.01128,C1_31,0.02
,,1.03496,C1_31,0.016
,,1.0408,C2_21,0.022
,,1.05936,C1_31,0.019
,,1.08264,C5_34,0.025
,,1.0836,C5_24,0.015
,,1.0848,C1_31,0.02
,,1.10384,C4_12,0.019
,,1.10768,C1_31,0.018
,,1.13144,C1_31,0.024
,,1.15744,C1_31,0.023
,,1.18168,C1_31,0.019
,,1.20264,C1_31,0.019
,,1.2232,C1_31,0.016
