Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,SNCA Trip Quinpirole,0.2556,B2_12,0.016
Description,,0.75608,B5_22,0.018
Maestro Edge Settings,,1.0184,B1_32,0.017
   Original File Time,03/31/2023 13:52:22,1.14656,B2_12,0.014
   Sampling Frequency,12.5 kHz,1.44624,B5_33,0.019
   Voltage Scale,-5.48486178148311E-08 V/sample,1.88232,B1_32,0.017
   Experiment Start Time,03/31/2023 13:52:13,2.832,B1_32,0.015
   Referencing Method,Median,3.02304,B5_23,0.019
   Analog Mode Setting,Neural Spikes,3.36992,B5_22,0.029
   Plate Type,CytoView MEA 24,3.402,B5_22,0.029
   Digital Low Pass Filter,3 kHz Kaiser Window,3.45304,B5_22,0.028
   Digital High Pass Filter,200 Hz IIR,3.53816,B1_32,0.019
   Temperature Set Point,37.0 Degrees C,3.59672,B5_22,0.029
   Current Temperature,36.8 Degrees C,3.63288,B5_22,0.029
   Heater Power,On,3.69656,B5_22,0.032
   Barcode Plate Type,TwentyFourWell,4.06808,B2_12,0.018
   Plate Serial Number,100-8408,4.11688,B5_22,0.019
   CO2 Conc. Set Point,5.00%,4.27144,B5_22,0.022
   Actual CO2 Conc.,5.80%,4.34264,B5_22,0.026
   Gas Mixer Status,Regulating,4.3968,B5_22,0.019
   AxIS Version,1.5.1.12,4.52656,B5_22,0.021
   Maestro Edge Firmware,1.5.1.12,4.75696,B5_22,0.019
   Maestro Edge BioCore Version,4B,4.82024,B5_22,0.025
,,4.95664,B5_22,0.019
Spike Detector Settings,,5.14528,B5_22,0.019
   Method,Adaptive Threshold Crossing,5.26032,B1_23,0.016
   Threshold,6,5.26576,B1_32,0.019
   Threshold Status,Variable,5.35968,B5_22,0.026
   Threshold Crossing Only,TRUE,5.40656,B5_22,0.02
   Pre-Spike Duration,0.84 ms,6.09008,B5_33,0.02
   Post-Spike Duration,2.16 ms,6.25888,B1_12,0.022
   Coincident Event Filter,Default (Well),6.27112,B1_12,0.019
   Coincidence Occurrence Threshold,4 Electrodes,6.28528,B1_12,0.014
   Coincidence Event Window,160 µs,6.2972,B1_33,0.027
   Allow Sample Overlap,FALSE,7.206,B5_22,0.021
   Spike Count Interval,1 s,7.27424,B1_32,0.019
,,7.74456,B5_22,0.025
,,7.7476,B1_32,0.019
,,7.78072,B5_22,0.032
,,7.81512,B5_22,0.024
,,7.84848,B5_22,0.029
,,8.00632,B2_12,0.015
,,8.50968,B5_32,0.025
,,8.60504,B4_24,0.017
,,8.8088,B5_22,0.028
,,8.83864,B5_22,0.026
,,8.8832,B5_22,0.024
,,8.9396,B5_22,0.026
,,9.01824,B5_22,0.029
,,9.17504,B5_33,0.018
,,9.53232,B5_22,0.025
,,9.5916,B5_22,0.028
,,9.62024,B5_22,0.024
,,9.68448,B5_22,0.02
,,9.73784,B5_22,0.025
,,9.8056,B1_32,0.017
,,11.01704,B4_24,0.017
,,11.92336,B1_32,0.019
,,12.11664,B5_33,0.018
,,12.35,B5_23,0.016
,,12.55528,B1_32,0.019
,,12.86104,B5_23,0.019
,,13.07512,B1_32,0.019
,,13.1136,B5_22,0.03
,,13.15096,B5_22,0.028
,,13.18632,B5_22,0.03
,,13.22448,B5_22,0.031
,,13.27336,B5_22,0.026
,,13.70496,B1_32,0.017
,,13.95832,B1_12,0.015
,,13.96536,B1_32,0.016
,,14.74744,B5_23,0.018
,,14.75752,B5_22,0.029
,,14.78592,B5_22,0.029
,,14.8304,B5_22,0.028
,,14.87128,B5_22,0.027
,,14.97296,B5_22,0.025
,,15.21296,B5_22,0.025
,,15.22752,B5_22,0.019
,,15.25616,B5_22,0.023
,,15.29944,B5_22,0.019
,,15.4136,B5_22,0.021
,,15.4408,B5_22,0.025
,,15.46704,B1_32,0.018
,,15.47744,B5_22,0.02
,,15.9196,B1_32,0.018
,,16.08288,B5_33,0.023
,,16.55024,B1_32,0.017
,,16.55272,B5_33,0.018
,,17.07776,B1_32,0.02
,,17.21048,B5_33,0.02
,,17.58896,B1_33,0.022
,,17.72712,B5_23,0.02
,,18.33184,B1_12,0.023
,,18.77584,B5_23,0.018
,,18.8632,B5_22,0.033
