Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,0.47056,C4_33,0.027
,,0.4724,C3_42,0.074
,,0.47272,C2_32,0.039
,,0.4736,C2_22,0.032
,,0.47368,C2_23,0.03
,,0.47392,C3_32,0.052
,,0.48184,C4_12,0.021
,,0.4912,C3_32,0.123
,,0.49488,C2_22,0.029
,,0.49816,C1_11,0.019
,,0.49928,C1_31,0.034
,,0.50376,C3_42,0.073
,,0.50384,C2_23,0.021
,,0.5052,C3_32,0.044
,,0.50952,C1_11,0.027
,,0.51248,C2_32,0.034
,,0.51288,C3_43,0.047
,,0.5184,C2_32,0.035
,,0.51992,C2_42,0.021
,,0.52016,C2_31,0.067
,,0.52032,C4_33,0.028
,,0.522,C2_22,0.031
,,0.52776,C1_41,0.025
,,0.52912,C5_33,0.015
,,0.53888,C2_33,0.039
,,0.54016,C3_42,0.026
,,0.54688,C3_33,0.038
,,0.54944,C3_33,0.037
,,0.55224,C1_11,0.028
,,0.554,C1_43,0.028
,,0.55416,C2_43,0.029
,,0.5612,C4_34,0.034
,,0.56872,C1_42,0.037
,,0.56968,C3_33,0.036
,,0.57368,C1_11,0.021
,,0.58296,C2_23,0.034
,,0.5852,C5_34,0.063
,,0.58688,C2_31,0.033
,,0.5896,C3_33,0.023
,,0.59728,C3_33,0.034
,,0.60192,C6_42,0.017
,,0.60472,C1_11,0.034
,,0.6068,C5_33,0.033
,,0.60744,C1_22,0.042
,,0.612,C3_33,0.045
,,0.61456,C3_33,0.03
,,0.61896,C6_42,0.024
,,0.6196,C1_11,0.032
,,0.62192,C1_22,0.061
,,0.62376,C3_33,0.04
,,0.63112,C2_31,0.029
,,0.63152,C3_42,0.026
,,0.63448,C2_31,0.047
,,0.63656,C4_33,0.084
,,0.63936,C1_42,0.026
,,0.64144,C3_31,0.023
,,0.64296,C1_31,0.04
,,0.64576,C2_22,0.03
,,0.648,C4_12,0.016
,,0.65416,C4_34,0.038
,,0.65568,C1_22,0.027
,,0.65808,C4_24,0.056
,,0.66408,C5_34,0.048
,,0.66472,C5_31,0.033
,,0.66776,C1_41,0.028
,,0.67,C3_33,0.034
,,0.67048,C3_43,0.045
,,0.68296,C5_22,0.034
,,0.68648,C2_22,0.034
,,0.69448,C1_42,0.07
,,0.69888,C2_32,0.027
,,0.70504,C1_22,0.048
,,0.70544,C1_43,0.036
,,0.708,C2_23,0.024
,,0.7096,C4_33,0.05
,,0.71392,C2_23,0.035
,,0.7216,C1_33,0.014
,,0.72392,C2_33,0.037
,,0.72752,C5_33,0.02
,,0.7324,C1_21,0.051
,,0.74184,C1_22,0.036
,,0.74632,C1_31,0.032
,,0.74704,C2_23,0.032
,,0.74872,C3_44,0.012
,,0.75424,C1_11,0.06
,,0.75632,C1_41,0.027
,,0.75776,C3_32,0.123
,,0.77032,C4_24,0.035
,,0.772,C2_33,0.035
,,0.77696,C3_32,0.039
,,0.77696,C4_33,0.026
,,0.77728,C2_32,0.037
,,0.78008,C2_31,0.047
,,0.78208,C2_33,0.045
,,0.78464,C3_33,0.083
,,0.78768,C3_42,0.024
,,0.78856,C1_11,0.029
,,0.79472,C2_33,0.039
,,0.79496,C2_31,0.028
