Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,3.73528,C5_42,0.036
,,3.74064,C5_32,0.04
,,3.80512,C2_23,0.018
,,3.85744,C1_43,0.018
,,3.85848,C2_23,0.023
,,3.99616,C1_43,0.027
,,4.01528,C5_32,0.037
,,4.106,C5_32,0.045
,,4.11752,C5_42,0.03
,,4.11832,C5_43,0.025
,,4.12984,C3_13,0.026
,,4.13368,C2_23,0.026
,,4.14288,C5_42,0.034
,,4.1488,C6_22,0.026
,,4.2208,C1_43,0.084
,,4.24088,C3_13,0.039
,,4.34368,C2_23,0.016
,,4.34792,C2_33,0.023
,,4.35832,C5_32,0.044
,,4.362,C1_22,0.018
,,4.37736,C1_43,0.017
,,4.38832,C1_43,0.019
,,4.42824,C1_34,0.018
,,4.4316,C2_23,0.027
,,4.4352,C1_43,0.018
,,4.452,C2_23,0.03
,,4.46752,C6_22,0.022
,,4.49352,C2_41,0.012
,,4.50096,C5_42,0.028
,,4.51304,C5_32,0.048
,,4.5228,C3_33,0.038
,,4.53344,C5_43,0.028
,,4.64968,C5_43,0.029
,,4.66024,C5_32,0.045
,,4.68512,C3_42,0.023
,,4.70928,C2_23,0.037
,,4.71136,C5_42,0.025
,,4.72688,C5_43,0.026
,,4.74032,C6_22,0.021
,,4.74736,C5_42,0.064
,,4.7484,C5_32,0.029
,,4.74896,C1_43,0.016
,,4.75528,C5_42,0.03
,,4.81432,C3_33,0.03
,,4.81544,C5_43,0.066
,,4.83112,C5_42,0.035
,,4.85288,C5_42,0.023
,,4.85608,C6_22,0.02
,,4.86328,C5_32,0.04
,,4.86888,C5_42,0.042
,,4.89896,C1_43,0.022
,,4.96024,C5_43,0.025
,,4.99072,C5_42,0.029
,,5.02088,C2_33,0.02
,,5.02288,C2_23,0.024
,,5.04816,C5_42,0.037
,,5.06832,C1_43,0.023
,,5.11008,C1_33,0.017
,,5.14248,C5_32,0.045
,,5.16608,C5_33,0.01
,,5.29632,C6_22,0.023
,,5.31904,C3_33,0.04
,,5.32664,C1_43,0.022
,,5.33944,C5_32,0.04
,,5.35384,C2_23,0.034
,,5.35728,C1_43,0.018
,,5.36352,C1_43,0.022
,,5.36936,C1_43,0.02
,,5.38536,C2_23,0.018
,,5.41104,C5_42,0.029
,,5.44568,C5_32,0.043
,,5.48016,C5_42,0.026
,,5.57368,C1_22,0.018
,,5.586,C5_32,0.046
,,5.60408,C6_22,0.022
,,5.68504,C2_23,0.029
,,5.68504,C5_32,0.046
,,5.71128,C5_32,0.094
,,5.71576,C5_42,0.041
,,5.72584,C2_23,0.028
,,5.7616,C5_42,0.063
,,5.76568,C5_32,0.071
,,5.7896,C2_23,0.016
,,5.82064,C3_33,0.038
,,5.82368,C6_22,0.019
,,5.858,C5_32,0.045
,,5.86536,C1_43,0.022
,,5.92992,C1_43,0.019
,,5.9788,C6_22,0.026
,,5.98856,C3_13,0.035
,,6.03568,C1_33,0.019
,,6.09496,C2_23,0.032
,,6.14688,C2_23,0.021
,,6.16208,C2_33,0.028
,,6.16488,C5_42,0.031
,,6.22608,C2_23,0.02
,,6.22704,C5_32,0.027
,,6.2272,C1_43,0.023
,,6.26864,C6_22,0.02
,,6.28416,C2_41,0.011
,,6.2924,C3_42,0.022
,,6.2956,C1_43,0.023
,,6.3028,C1_33,0.017
,,6.3236,C3_33,0.043
,,6.34648,C1_43,0.018
,,6.42008,C5_32,0.047
,,6.46904,C2_33,0.019
,,6.4732,C2_23,0.019
,,6.48016,C2_23,0.03
,,6.4876,C5_42,0.027
,,6.49232,C1_43,0.019
,,6.55768,C1_43,0.022
,,6.57312,C1_43,0.088
,,6.58024,C5_32,0.037
,,6.58752,C5_43,0.063
,,6.60976,C6_22,0.025
,,6.6256,C5_42,0.05
,,6.644,C3_13,0.028
,,6.71688,C1_43,0.015
,,6.76488,C3_33,0.041
,,6.81376,C5_42,0.025
,,6.83824,C2_23,0.019
,,6.85096,C1_43,0.017
,,6.8824,C1_22,0.022
,,6.94488,C1_43,0.021
,,6.94888,C2_32,0.019
,,6.97088,C2_32,0.016
,,6.984,C2_23,0.031
,,6.9848,C6_22,0.025
,,6.99512,C5_42,0.028
,,7.01872,C1_43,0.017
,,7.05048,C3_42,0.019
,,7.06584,C1_43,0.015
,,7.068,C2_23,0.021
,,7.12024,C5_42,0.028
,,7.1704,C1_43,0.017
,,7.19416,C1_43,0.023
,,7.23064,C2_33,0.023
,,7.23616,C5_32,0.042
,,7.25024,C5_42,0.028
,,7.2636,C6_22,0.019
,,7.27752,C5_32,0.048
,,7.30832,C6_22,0.022
,,7.31536,C2_23,0.033
,,7.31864,C1_43,0.015
,,7.358,C5_43,0.024
,,7.37384,C1_43,0.019
,,7.38864,C5_43,0.021
,,7.43584,C3_33,0.037
,,7.44288,C5_42,0.029
,,7.45912,C3_33,0.022
,,7.4652,C1_43,0.021
,,7.48504,C6_22,0.019
,,7.49856,C2_23,0.038
,,7.5308,C2_33,0.028
,,7.53848,C5_42,0.042
,,7.56736,C5_32,0.038
,,7.57048,C5_43,0.026
,,7.5832,C1_43,0.017
,,7.59832,C2_23,0.017
,,7.62784,C1_22,0.023
,,7.66448,C5_42,0.036
,,7.66848,C5_42,0.028
,,7.67096,C5_43,0.067
,,7.68952,C5_42,0.027
,,7.71736,C1_33,0.017
,,7.71872,C1_43,0.024
,,7.73416,C5_42,0.041
,,7.74152,C6_22,0.021
,,7.79048,C1_43,0.017
,,7.80544,C5_32,0.045
,,7.87456,C5_32,0.049
,,7.88072,C5_42,0.039
,,7.89712,C1_43,0.018
,,7.91024,C6_22,0.026
,,7.9796,C1_44,0.009
,,7.98536,C2_23,0.029
,,8.01224,C2_33,0.017
,,8.01512,C1_43,0.02
,,8.02392,C1_23,0.02
,,8.04976,C6_22,0.041
,,8.05792,C5_42,0.032
,,8.06288,C2_23,0.028
,,8.07512,C1_43,0.02
,,8.08856,C5_42,0.034
,,8.16112,C1_33,0.02
,,8.16784,C5_32,0.042
,,8.19656,C2_33,0.032
,,8.23496,C1_43,0.021
,,8.25048,C5_32,0.028
,,8.2768,C5_43,0.02
,,8.27816,C5_42,0.032
,,8.28064,C1_43,0.019
,,8.30456,C5_42,0.028
,,8.30824,C5_43,0.028
,,8.34496,C1_43,0.015
,,8.35808,C6_22,0.021
,,8.366,C1_22,0.024
,,8.38728,C5_32,0.04
,,8.39776,C6_22,0.02
,,8.4172,C1_43,0.019
,,8.46736,C2_23,0.02
,,8.47208,C3_33,0.045
,,8.50376,C2_23,0.029
,,8.53816,C1_43,0.018
,,8.54592,C5_42,0.026
,,8.55304,C1_43,0.02
,,8.59792,C5_42,0.041
,,8.63728,C2_33,0.023
,,8.64552,C1_43,0.023
,,8.66736,C5_43,0.021
,,8.68536,C6_22,0.025
,,8.6992,C3_13,0.041
,,8.70256,C5_43,0.028
,,8.70856,C1_23,0.025
,,8.71648,C3_33,0.038
,,8.74968,C2_23,0.022
,,8.77176,C5_42,0.036
,,8.78944,C5_42,0.045
,,8.85984,C5_42,0.028
,,8.8708,C1_43,0.018
,,8.91504,C1_43,0.025
,,8.93752,C2_23,0.03
,,8.9416,C1_43,0.023
,,8.94216,C1_44,0.014
,,8.9564,C5_42,0.043
,,8.99008,C5_42,0.041
,,8.99272,C5_43,0.024
,,9.00536,C3_13,0.035
,,9.01992,C5_32,0.054
,,9.02008,C6_22,0.018
,,9.02304,C2_23,0.028
,,9.064,C2_33,0.016
,,9.06888,C1_43,0.023
,,9.08688,C1_22,0.019
,,9.09056,C2_23,0.022
,,9.1068,C1_43,0.024
,,9.13792,C5_32,0.043
,,9.16168,C5_42,0.025
,,9.19664,C3_33,0.037
,,9.22248,C1_43,0.021
,,9.22816,C1_33,0.02
,,9.2624,C5_32,0.044
,,9.26888,C1_43,0.024
,,9.35288,C5_43,0.024
,,9.35824,C5_32,0.054
,,9.3624,C5_43,0.037
,,9.36968,C6_22,0.024
,,9.39112,C1_43,0.021
,,9.40216,C5_43,0.024
,,9.40304,C1_43,0.02
,,9.40656,C3_42,0.015
,,9.43704,C5_43,0.023
,,9.43896,C1_43,0.017
,,9.4516,C2_23,0.029
,,9.4696,C5_42,0.031
,,9.49088,C2_23,0.017
,,9.50184,C3_33,0.038
,,9.53496,C2_23,0.02
,,9.568,C5_32,0.029
,,9.5756,C5_42,0.036
,,9.58128,C5_32,0.041
,,9.5952,C1_22,0.022
,,9.64792,C5_32,0.056
,,9.65648,C1_43,0.018
,,9.68424,C6_22,0.024
,,9.6896,C5_43,0.022
,,9.78968,C5_43,0.066
,,9.80768,C5_32,0.044
,,9.82304,C5_43,0.025
,,9.82568,C5_42,0.029
,,9.88488,C2_23,0.036
,,9.95416,C2_33,0.03
,,9.97672,C6_22,0.017
,,9.99712,C5_42,0.032
,,10.00896,C1_43,0.021
,,10.03952,C3_33,0.04
,,10.05896,C5_32,0.026
,,10.06976,C5_33,0.013
,,10.09216,C5_32,0.043
,,10.15352,C1_43,0.021
,,10.15872,C1_43,0.02
,,10.16064,C2_32,0.017
