Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
,,,,,7.19264,C5_14,0.021
,,,,,7.19656,C5_32,0.033
,,,,,7.2608,C5_14,0.018
,,,,,7.28832,C4_12,0.016
,,,,,7.56384,C2_23,0.084
,,,,,7.56392,C2_12,0.034
,,,,,7.56416,C2_13,0.028
,,,,,7.56456,C2_22,0.039
,,,,,7.56776,C2_23,0.042
,,,,,7.6212,C2_23,0.046
,,,,,7.62616,C2_12,0.042
,,,,,7.6268,C2_23,0.081
,,,,,7.6272,C2_13,0.028
,,,,,7.62752,C2_22,0.04
,,,,,7.66104,C2_23,0.024
,,,,,7.75328,C2_23,0.029
,,,,,7.85976,C4_32,0.021
,,,,,8.05936,C5_13,0.026
,,,,,8.12456,C5_44,0.019
,,,,,8.40016,C2_12,0.015
,,,,,8.7856,C3_33,0.02
,,,,,8.9204,C6_12,0.034
,,,,,9.08968,C2_32,0.019
,,,,,9.12352,C2_22,0.019
,,,,,9.31736,C4_43,0.044
,,,,,9.66016,C3_33,0.013
,,,,,9.90984,C6_11,0.03
,,,,,10.02512,C2_31,0.036
,,,,,10.05904,C3_33,0.015
,,,,,10.43376,C4_43,0.056
,,,,,10.46528,C4_32,0.019
,,,,,10.52328,C5_13,0.019
,,,,,10.7408,C6_11,0.023
,,,,,10.86296,C6_11,0.027
,,,,,10.9604,C3_42,0.02
,,,,,10.97496,C3_43,0.039
,,,,,10.97608,C3_44,0.077
,,,,,10.9812,C3_32,0.03
,,,,,10.98208,C3_42,0.051
,,,,,10.9824,C3_33,0.02
,,,,,10.9832,C3_44,0.024
,,,,,10.98992,C3_33,0.017
,,,,,11.00176,C3_31,0.023
,,,,,11.01024,C3_32,0.014
,,,,,11.01448,C3_44,0.066
,,,,,11.01624,C3_43,0.087
,,,,,11.0168,C3_33,0.031
,,,,,11.01776,C3_31,0.021
,,,,,11.0188,C3_41,0.011
,,,,,11.0192,C3_33,0.037
,,,,,11.01936,C3_43,0.054
,,,,,11.0196,C3_32,0.026
,,,,,11.01984,C3_42,0.056
,,,,,11.022,C3_41,0.009
,,,,,11.02392,C3_44,0.085
,,,,,11.02408,C3_42,0.053
,,,,,11.02448,C3_32,0.047
,,,,,11.02496,C3_33,0.053
,,,,,11.02528,C3_43,0.066
,,,,,11.02656,C3_42,0.027
,,,,,11.02688,C3_32,0.032
,,,,,11.02744,C3_33,0.016
,,,,,11.02896,C3_42,0.028
,,,,,11.0292,C3_44,0.039
,,,,,11.02936,C3_43,0.068
,,,,,11.02968,C3_33,0.032
,,,,,11.03008,C3_32,0.035
,,,,,11.0312,C3_31,0.037
,,,,,11.032,C3_33,0.049
,,,,,11.03288,C3_42,0.034
,,,,,11.03312,C3_32,0.036
,,,,,11.03344,C3_43,0.069
,,,,,11.03424,C3_33,0.038
,,,,,11.03432,C3_31,0.021
,,,,,11.03456,C3_41,0.022
,,,,,11.03512,C3_42,0.029
,,,,,11.036,C3_32,0.042
,,,,,11.03616,C3_44,0.033
,,,,,11.03656,C3_43,0.037
,,,,,11.03664,C3_31,0.021
,,,,,11.03664,C3_33,0.022
,,,,,11.03848,C3_41,0.018
,,,,,11.03864,C3_42,0.035
,,,,,11.03888,C3_31,0.023
,,,,,11.0392,C3_32,0.017
,,,,,11.03936,C3_43,0.103
,,,,,11.03976,C3_33,0.07
,,,,,11.04032,C3_44,0.026
,,,,,11.0412,C3_42,0.053
,,,,,11.04144,C3_31,0.037
,,,,,11.04168,C3_32,0.029
,,,,,11.04208,C3_41,0.017
,,,,,11.04224,C3_33,0.063
,,,,,11.04264,C3_43,0.226
,,,,,11.04272,C3_44,0.023
,,,,,11.0436,C3_42,0.058
,,,,,11.04384,C3_31,0.096
,,,,,11.04424,C3_32,0.064
,,,,,11.04448,C3_41,0.02
,,,,,11.04504,C3_43,0.064
,,,,,11.04536,C3_44,0.03
,,,,,11.04584,C3_42,0.061
,,,,,11.04592,C3_33,0.03
,,,,,11.04632,C3_31,0.065
,,,,,11.04688,C3_32,0.038
,,,,,11.04696,C3_41,0.011
,,,,,11.04752,C3_43,0.05
,,,,,11.04808,C3_44,0.128
,,,,,11.04832,C3_33,0.099
,,,,,11.0484,C3_34,0.013
,,,,,11.04856,C3_42,0.086
,,,,,11.04864,C3_31,0.055
,,,,,11.0492,C3_41,0.021
,,,,,11.04968,C3_32,0.103
,,,,,11.04992,C3_43,0.23
,,,,,11.05064,C3_33,0.075
,,,,,11.0508,C3_42,0.079
,,,,,11.05096,C3_31,0.044
,,,,,11.05096,C3_44,0.085
,,,,,11.05232,C3_32,0.038
,,,,,11.0524,C3_43,0.083
,,,,,11.05328,C3_33,0.04
,,,,,11.05344,C3_42,0.042
,,,,,11.05344,C3_44,0.045
,,,,,11.05472,C3_43,0.023
,,,,,11.05512,C3_22,0.011
,,,,,11.05528,C3_41,0.014
,,,,,11.05552,C3_33,0.063
,,,,,11.05576,C3_32,0.03
,,,,,11.05608,C3_42,0.038
,,,,,11.05648,C3_31,0.102
,,,,,11.05704,C3_43,0.171
,,,,,11.05752,C3_44,0.038
,,,,,11.05776,C3_33,0.031
,,,,,11.05808,C3_32,0.059
,,,,,11.05848,C3_42,0.068
,,,,,11.0596,C3_31,0.017
,,,,,11.05968,C3_43,0.123
,,,,,11.06032,C3_41,0.012
,,,,,11.06056,C3_33,0.058
,,,,,11.06056,C3_44,0.069
,,,,,11.06112,C3_42,0.029
,,,,,11.06184,C3_32,0.043
,,,,,11.062,C3_31,0.044
,,,,,11.06216,C3_43,0.061
,,,,,11.06304,C3_33,0.038
,,,,,11.06344,C3_42,0.045
,,,,,11.06432,C3_32,0.037
,,,,,11.0644,C3_31,0.041
,,,,,11.0648,C3_43,0.081
,,,,,11.06568,C3_41,0.017
,,,,,11.06576,C3_42,0.05
,,,,,11.06592,C3_44,0.027
,,,,,11.06672,C3_33,0.071
,,,,,11.06704,C3_32,0.038
,,,,,11.06712,C3_43,0.09
,,,,,11.06784,C3_31,0.046
,,,,,11.06816,C3_41,0.012
,,,,,11.06832,C3_42,0.045
,,,,,11.06832,C3_44,0.048
,,,,,11.06904,C3_33,0.043
,,,,,11.06952,C3_32,0.03
,,,,,11.0696,C3_43,0.043
,,,,,11.0708,C3_41,0.015
,,,,,11.0708,C3_42,0.026
,,,,,11.07112,C3_31,0.037
,,,,,11.0716,C3_44,0.025
,,,,,11.07184,C3_33,0.043
,,,,,11.07184,C3_43,0.04
,,,,,11.07208,C3_32,0.032
,,,,,11.07304,C3_42,0.057
,,,,,11.07344,C3_41,0.014
,,,,,11.07416,C3_31,0.04
,,,,,11.07416,C3_44,0.027
,,,,,11.07424,C3_33,0.02
,,,,,11.07464,C3_32,0.034
,,,,,11.07472,C3_43,0.073
,,,,,11.07592,C3_42,0.039
,,,,,11.07632,C3_41,0.015
,,,,,11.07664,C3_44,0.031
,,,,,11.07672,C3_33,0.049
,,,,,11.0772,C3_43,0.054
,,,,,11.07744,C3_31,0.032
,,,,,11.07776,C3_32,0.032
,,,,,11.07824,C3_42,0.096
,,,,,11.07896,C3_44,0.073
,,,,,11.07912,C3_33,0.065
,,,,,11.07928,C3_41,0.021
,,,,,11.08008,C3_31,0.033
,,,,,11.08008,C3_32,0.026
,,,,,11.08048,C3_42,0.048
,,,,,11.08136,C3_43,0.094
,,,,,11.08152,C3_33,0.118
,,,,,11.082,C3_41,0.021
,,,,,11.08216,C3_44,0.041
