Investigator,Ghislaine,,,,Time (s),Electrode,Amplitude(mV)
,,,,,31.28104,C3_44,0.017
,,,,,31.28136,C3_33,0.015
,,,,,31.3176,C3_33,0.035
,,,,,31.31792,C3_32,0.027
,,,,,31.35936,C4_34,0.034
,,,,,31.3616,C3_33,0.02
,,,,,31.382,C3_33,0.016
,,,,,31.40744,C3_32,0.015
,,,,,31.41432,C3_32,0.028
,,,,,31.41816,C3_33,0.014
,,,,,31.43344,C3_42,0.019
,,,,,31.43392,C3_33,0.032
,,,,,31.46976,C3_33,0.017
,,,,,31.472,C3_33,0.019
,,,,,31.4804,C4_21,0.06
,,,,,31.49328,C3_31,0.013
,,,,,31.49488,C3_41,0.013
,,,,,31.50048,C3_42,0.023
,,,,,31.50056,C3_43,0.066
,,,,,31.50104,C3_33,0.084
,,,,,31.50232,C3_41,0.014
,,,,,31.50792,C3_42,0.047
,,,,,31.50816,C3_33,0.068
,,,,,31.50832,C3_43,0.061
,,,,,31.50864,C3_32,0.041
,,,,,31.50904,C3_41,0.01
,,,,,31.52264,C3_33,0.015
,,,,,31.5236,C3_44,0.021
,,,,,31.52384,C3_42,0.042
,,,,,31.52392,C3_31,0.027
,,,,,31.5632,C3_33,0.064
,,,,,31.56344,C3_43,0.061
,,,,,31.56376,C3_32,0.031
,,,,,31.6108,C4_14,0.026
,,,,,31.63072,C4_24,0.021
,,,,,31.64696,C5_13,0.032
,,,,,31.65288,C3_33,0.036
,,,,,31.65328,C3_43,0.036
,,,,,31.65512,C3_33,0.035
,,,,,31.6556,C3_43,0.034
,,,,,31.65568,C3_42,0.024
,,,,,31.658,C3_33,0.039
,,,,,31.65856,C3_31,0.052
,,,,,31.65872,C3_43,0.056
,,,,,31.65952,C3_42,0.079
,,,,,31.66104,C3_33,0.046
,,,,,31.66152,C3_43,0.086
,,,,,31.66192,C3_44,0.064
,,,,,31.66216,C3_32,0.044
,,,,,31.66216,C3_42,0.024
,,,,,31.66448,C3_32,0.012
,,,,,31.66496,C3_43,0.162
,,,,,31.66632,C3_44,0.033
,,,,,31.6664,C3_31,0.017
,,,,,31.6664,C3_42,0.044
,,,,,31.6728,C3_41,0.009
,,,,,31.67312,C3_33,0.031
,,,,,31.67328,C3_32,0.027
,,,,,31.67464,C3_43,0.015
,,,,,31.67624,C3_33,0.04
,,,,,31.6772,C3_43,0.034
,,,,,31.67888,C3_32,0.013
,,,,,31.67888,C3_33,0.028
,,,,,31.67912,C3_42,0.024
,,,,,31.70736,C3_31,0.019
,,,,,31.71728,C3_33,0.025
,,,,,31.718,C3_32,0.04
,,,,,31.78568,C3_31,0.017
,,,,,31.80144,C3_32,0.014
,,,,,31.81856,C3_32,0.024
,,,,,31.82992,C3_42,0.02
,,,,,31.97464,C3_33,0.017
,,,,,31.97968,C3_33,0.029
,,,,,31.98008,C3_31,0.031
,,,,,31.98016,C3_43,0.059
,,,,,31.98144,C3_42,0.025
,,,,,32.0204,C5_13,0.028
,,,,,32.02376,C4_11,0.201
,,,,,32.0536,C5_14,0.02
,,,,,32.11224,C3_32,0.015
,,,,,32.1192,C3_33,0.019
,,,,,32.13032,C5_32,0.02
,,,,,32.14152,C5_14,0.02
,,,,,32.14272,C3_33,0.017
,,,,,32.144,C5_42,0.029
,,,,,32.14648,C5_23,0.018
,,,,,32.1496,C5_23,0.066
,,,,,32.15136,C5_44,0.033
,,,,,32.1524,C5_14,0.021
,,,,,32.15376,C5_34,0.023
,,,,,32.15448,C5_32,0.058
,,,,,32.15496,C5_44,0.023
,,,,,32.15536,C5_14,0.02
,,,,,32.15544,C5_23,0.06
,,,,,32.15656,C5_42,0.028
,,,,,32.1568,C5_22,0.021
,,,,,32.15736,C5_43,0.024
,,,,,32.15744,C3_33,0.014
,,,,,32.15888,C5_32,0.029
,,,,,32.15944,C5_42,0.034
,,,,,32.1616,C5_32,0.031
,,,,,32.16168,C5_33,0.025
,,,,,32.16384,C5_32,0.032
,,,,,32.16424,C5_33,0.056
,,,,,32.166,C5_44,0.031
,,,,,32.1668,C5_33,0.025
,,,,,32.1684,C5_32,0.037
,,,,,32.16904,C5_14,0.024
,,,,,32.16976,C5_33,0.078
,,,,,32.17,C5_44,0.032
,,,,,32.17136,C5_23,0.062
,,,,,32.17136,C5_42,0.056
,,,,,32.17144,C5_32,0.032
,,,,,32.17208,C5_24,0.017
,,,,,32.17248,C5_44,0.04
,,,,,32.1728,C3_32,0.017
,,,,,32.17304,C5_34,0.048
,,,,,32.17376,C5_43,0.036
,,,,,32.17432,C5_32,0.033
,,,,,32.17432,C5_33,0.032
,,,,,32.1744,C5_42,0.041
,,,,,32.17464,C5_22,0.025
,,,,,32.17488,C5_44,0.03
,,,,,32.1752,C5_31,0.014
,,,,,32.17536,C5_14,0.018
,,,,,32.17632,C5_34,0.032
,,,,,32.1768,C5_33,0.048
,,,,,32.17712,C5_42,0.025
,,,,,32.17712,C5_44,0.035
,,,,,32.1776,C5_32,0.061
,,,,,32.17824,C5_43,0.039
,,,,,32.1784,C3_32,0.019
,,,,,32.1784,C5_23,0.067
,,,,,32.17888,C5_22,0.021
,,,,,32.1796,C5_42,0.026
,,,,,32.18056,C3_43,0.016
,,,,,32.18072,C5_13,0.019
,,,,,32.18136,C5_43,0.03
,,,,,32.18144,C5_22,0.019
,,,,,32.1816,C5_14,0.026
,,,,,32.18208,C5_42,0.036
,,,,,32.18272,C5_44,0.023
,,,,,32.18296,C5_23,0.068
,,,,,32.18296,C5_34,0.023
,,,,,32.18304,C5_33,0.035
,,,,,32.18424,C5_14,0.018
,,,,,32.18464,C5_43,0.033
,,,,,32.18496,C5_44,0.025
,,,,,32.1852,C5_23,0.043
,,,,,32.18552,C5_32,0.067
,,,,,32.18576,C5_22,0.024
,,,,,32.1864,C5_42,0.03
,,,,,32.18688,C5_33,0.036
,,,,,32.18712,C5_13,0.018
,,,,,32.188,C5_14,0.024
,,,,,32.18816,C5_32,0.018
,,,,,32.18856,C5_44,0.025
,,,,,32.18872,C5_43,0.031
,,,,,32.18968,C5_23,0.021
,,,,,32.19088,C5_13,0.022
,,,,,32.19088,C5_32,0.034
,,,,,32.19248,C5_34,0.016
,,,,,32.19248,C5_43,0.032
,,,,,32.19328,C5_14,0.03
,,,,,32.19328,C5_42,0.036
,,,,,32.19424,C5_32,0.023
,,,,,32.19424,C5_33,0.021
,,,,,32.19424,C5_44,0.033
,,,,,32.19464,C5_13,0.024
,,,,,32.196,C5_43,0.029
,,,,,32.19608,C5_14,0.022
,,,,,32.19728,C5_23,0.029
,,,,,32.1988,C5_42,0.038
,,,,,32.19944,C5_14,0.018
,,,,,32.19984,C5_33,0.017
,,,,,32.2,C5_22,0.022
,,,,,32.20024,C5_32,0.033
,,,,,32.20024,C5_34,0.034
,,,,,32.20104,C5_13,0.033
,,,,,32.202,C5_44,0.028
,,,,,32.20232,C5_14,0.021
,,,,,32.20248,C5_42,0.026
,,,,,32.2028,C5_43,0.021
,,,,,32.20352,C5_13,0.025
,,,,,32.20448,C5_23,0.067
,,,,,32.20464,C5_32,0.066
,,,,,32.2048,C5_34,0.027
,,,,,32.2056,C3_42,0.026
,,,,,32.2056,C5_31,0.012
,,,,,32.20624,C5_42,0.021
,,,,,32.2064,C5_43,0.033
,,,,,32.20672,C5_33,0.023
,,,,,32.20688,C5_13,0.032
,,,,,32.20704,C5_44,0.025
,,,,,32.20888,C5_43,0.03
,,,,,32.20896,C5_22,0.03
,,,,,32.20928,C5_23,0.021
,,,,,32.20976,C5_13,0.023
,,,,,32.21024,C5_44,0.022
,,,,,32.2108,C5_42,0.027
,,,,,32.21136,C5_32,0.029
,,,,,32.2136,C5_32,0.043
,,,,,32.21392,C5_33,0.025
,,,,,32.214,C5_42,0.024
,,,,,32.21408,C5_44,0.024
,,,,,32.21416,C5_43,0.025
,,,,,32.21448,C5_23,0.026
,,,,,32.21456,C5_22,0.023
,,,,,32.21608,C5_32,0.046
,,,,,32.21704,C5_42,0.039
,,,,,32.21712,C5_22,0.022
,,,,,32.21728,C5_43,0.034
,,,,,32.21752,C5_44,0.027
,,,,,32.21768,C5_33,0.076
,,,,,32.21816,C5_14,0.022
,,,,,32.21848,C5_23,0.019
,,,,,32.21968,C5_42,0.03
,,,,,32.21976,C5_32,0.021
,,,,,32.22032,C5_43,0.03
,,,,,32.22032,C5_44,0.036
,,,,,32.2204,C5_14,0.024
,,,,,32.22384,C5_44,0.021
,,,,,32.22568,C5_42,0.028
,,,,,32.22616,C5_43,0.031
,,,,,32.22792,C5_42,0.029
,,,,,32.22848,C5_13,0.023
,,,,,32.22848,C5_32,0.049
,,,,,32.22904,C5_33,0.023
,,,,,32.23096,C5_23,0.023
,,,,,32.2316,C5_42,0.024
,,,,,32.23208,C5_14,0.036
,,,,,32.23248,C5_44,0.032
,,,,,32.23344,C5_32,0.019
,,,,,32.23384,C5_34,0.025
,,,,,32.23648,C5_44,0.026
,,,,,32.23776,C5_43,0.024
,,,,,32.24112,C5_42,0.026
,,,,,32.2416,C5_32,0.016
,,,,,32.24216,C5_22,0.024
,,,,,32.24288,C5_34,0.023
,,,,,32.24344,C5_42,0.029
,,,,,32.24448,C5_32,0.036
,,,,,32.24456,C5_33,0.019
,,,,,32.24488,C5_14,0.023
,,,,,32.2452,C5_44,0.023
,,,,,32.24576,C5_23,0.013
,,,,,32.246,C5_34,0.021
,,,,,32.24688,C5_33,0.02
,,,,,32.24712,C5_32,0.021
,,,,,32.24712,C5_42,0.028
,,,,,32.24832,C5_14,0.016
,,,,,32.2512,C3_33,0.023
,,,,,32.25136,C5_14,0.018
,,,,,32.25136,C5_42,0.025
,,,,,32.25544,C5_33,0.016
,,,,,32.25752,C5_42,0.03
,,,,,32.2588,C5_44,0.04
,,,,,32.25888,C5_34,0.019
,,,,,32.25928,C5_43,0.028
,,,,,32.25936,C5_23,0.023
,,,,,32.26128,C3_33,0.021
,,,,,32.26192,C3_42,0.017
,,,,,32.26248,C5_14,0.018
,,,,,32.26392,C3_33,0.016
,,,,,32.26472,C3_42,0.037
,,,,,32.26496,C5_32,0.024
,,,,,32.2652,C3_41,0.018
,,,,,32.26544,C3_32,0.035
,,,,,32.26648,C5_42,0.021
,,,,,32.26688,C3_43,0.077
,,,,,32.26728,C3_44,0.025
,,,,,32.26768,C3_33,0.023
,,,,,32.26784,C5_22,0.023
,,,,,32.26808,C3_42,0.022
,,,,,32.26816,C5_32,0.028
,,,,,32.26848,C3_32,0.042
,,,,,32.26936,C5_13,0.03
,,,,,32.26992,C5_42,0.025
,,,,,32.27016,C3_31,0.033
,,,,,32.27016,C3_33,0.036
,,,,,32.27032,C3_42,0.06
,,,,,32.27152,C5_22,0.03
,,,,,32.27168,C3_43,0.021
,,,,,32.27184,C5_43,0.034
,,,,,32.27224,C3_32,0.023
,,,,,32.27296,C3_33,0.025
,,,,,32.2736,C3_42,0.042
,,,,,32.27376,C3_31,0.034
,,,,,32.27376,C3_44,0.061
,,,,,32.274,C3_43,0.074
,,,,,32.27464,C3_32,0.036
,,,,,32.27568,C5_32,0.036
,,,,,32.27584,C5_14,0.018
,,,,,32.276,C5_44,0.029
,,,,,32.27632,C3_41,0.016
,,,,,32.2768,C3_42,0.02
,,,,,32.27744,C3_32,0.025
,,,,,32.27752,C5_42,0.026
,,,,,32.27752,C5_43,0.042
,,,,,32.27904,C3_33,0.1
,,,,,32.27912,C5_33,0.025
,,,,,32.27936,C3_43,0.065
,,,,,32.27976,C3_42,0.05
,,,,,32.27992,C3_32,0.026
,,,,,32.2804,C5_22,0.024
,,,,,32.28152,C5_43,0.025
,,,,,32.28184,C3_43,0.022
,,,,,32.28184,C5_13,0.016
,,,,,32.28216,C3_42,0.036
,,,,,32.28216,C3_44,0.088
,,,,,32.28224,C3_41,0.014
,,,,,32.28264,C5_42,0.029
,,,,,32.28328,C3_33,0.033
,,,,,32.28336,C3_32,0.041
,,,,,32.28376,C3_31,0.021
,,,,,32.28424,C3_43,0.177
,,,,,32.28456,C3_42,0.026
,,,,,32.28464,C5_34,0.022
,,,,,32.28552,C3_33,0.061
,,,,,32.28552,C5_32,0.024
,,,,,32.28576,C5_14,0.02
,,,,,32.28712,C3_42,0.037
,,,,,32.28712,C5_44,0.024
,,,,,32.2884,C3_43,0.061
,,,,,32.2888,C3_44,0.031
,,,,,32.28904,C3_33,0.047
,,,,,32.2892,C3_32,0.047
,,,,,32.28928,C3_31,0.041
,,,,,32.28944,C5_23,0.023
,,,,,32.28944,C5_42,0.021
,,,,,32.28976,C5_43,0.026
,,,,,32.29088,C3_43,0.06
,,,,,32.2916,C3_31,0.028
,,,,,32.29176,C3_42,0.035
,,,,,32.29184,C5_42,0.029
,,,,,32.29192,C3_41,0.012
,,,,,32.29192,C5_23,0.018
,,,,,32.292,C3_33,0.03
,,,,,32.29208,C5_44,0.033
,,,,,32.29248,C5_32,0.023
,,,,,32.29432,C3_33,0.036
,,,,,32.2948,C3_42,0.085
,,,,,32.2948,C5_22,0.017
,,,,,32.29512,C5_43,0.028
,,,,,32.2952,C3_32,0.028
,,,,,32.2952,C3_43,0.016
,,,,,32.29584,C3_41,0.011
,,,,,32.29696,C5_14,0.019
,,,,,32.29704,C3_42,0.032
,,,,,32.2972,C5_22,0.021
,,,,,32.29792,C5_32,0.022
,,,,,32.298,C3_33,0.059
,,,,,32.298,C3_44,0.036
,,,,,32.29832,C3_43,0.196
,,,,,32.29832,C5_13,0.027
,,,,,32.29848,C3_32,0.03
,,,,,32.29848,C5_33,0.023
,,,,,32.29928,C3_31,0.027
,,,,,32.29992,C3_42,0.042
,,,,,32.30048,C3_33,0.038
,,,,,32.30056,C3_41,0.025
,,,,,32.30064,C5_44,0.029
,,,,,32.30072,C3_32,0.042
,,,,,32.30072,C3_34,0.01
,,,,,32.30096,C3_44,0.028
,,,,,32.3012,C3_43,0.034
,,,,,32.30136,C5_32,0.024
,,,,,32.30208,C3_31,0.086
,,,,,32.30248,C5_42,0.026
,,,,,32.3028,C3_33,0.044
,,,,,32.30288,C3_42,0.115
,,,,,32.30296,C3_41,0.016
,,,,,32.30384,C3_43,0.052
,,,,,32.30424,C5_32,0.017
,,,,,32.3048,C3_44,0.031
,,,,,32.30504,C3_31,0.025
,,,,,32.30504,C3_33,0.055
,,,,,32.30544,C5_34,0.02
,,,,,32.30552,C5_23,0.022
,,,,,32.30568,C3_32,0.026
,,,,,32.30608,C3_43,0.043
,,,,,32.3064,C3_42,0.016
,,,,,32.30656,C5_13,0.019
,,,,,32.30728,C3_31,0.044
,,,,,32.30744,C3_33,0.049
,,,,,32.308,C3_44,0.017
,,,,,32.30848,C3_32,0.031
,,,,,32.30856,C3_43,0.03
,,,,,32.30872,C5_44,0.029
,,,,,32.3092,C3_41,0.011
,,,,,32.30944,C3_42,0.025
,,,,,32.30976,C5_42,0.038
,,,,,32.30992,C5_32,0.03
,,,,,32.31048,C5_13,0.02
,,,,,32.31048,C5_43,0.039
,,,,,32.31064,C5_33,0.07
,,,,,32.3112,C5_23,0.027
,,,,,32.31176,C5_14,0.024
,,,,,32.31184,C3_33,0.024
,,,,,32.31272,C5_42,0.032
,,,,,32.31296,C5_32,0.019
,,,,,32.31336,C2_22,0.061
,,,,,32.3136,C3_44,0.023
,,,,,32.31416,C5_33,0.023
,,,,,32.31536,C3_42,0.019
,,,,,32.31544,C5_43,0.022
,,,,,32.3168,C5_32,0.036
,,,,,32.3192,C3_32,0.02
,,,,,32.31928,C5_43,0.022
,,,,,32.32096,C2_41,0.008
,,,,,32.32096,C3_43,0.07
,,,,,32.32104,C3_42,0.053
,,,,,32.3212,C3_33,0.037
,,,,,32.32136,C3_31,0.038
,,,,,32.32168,C3_32,0.034
,,,,,32.32216,C5_34,0.021
,,,,,32.3224,C5_42,0.026
,,,,,32.32264,C5_24,0.015
,,,,,32.32272,C5_32,0.036
,,,,,32.32368,C3_43,0.031
,,,,,32.32368,C5_43,0.03
,,,,,32.32408,C5_44,0.041
,,,,,32.32416,C3_42,0.04
,,,,,32.32416,C3_44,0.023
,,,,,32.32432,C3_31,0.037
,,,,,32.32432,C3_33,0.039
,,,,,32.32528,C3_32,0.036
,,,,,32.32576,C5_42,0.032
,,,,,32.32584,C5_33,0.023
,,,,,32.32608,C5_22,0.02
,,,,,32.32648,C5_32,0.036
,,,,,32.32728,C3_42,0.034
,,,,,32.32816,C3_33,0.016
,,,,,32.3292,C5_14,0.023
,,,,,32.32952,C5_43,0.041
,,,,,32.33056,C3_31,0.027
,,,,,32.33072,C5_44,0.021
,,,,,32.3324,C5_14,0.019
,,,,,32.33288,C5_13,0.024
,,,,,32.33416,C5_43,0.021
,,,,,32.33568,C3_33,0.079
,,,,,32.33568,C5_42,0.062
,,,,,32.33592,C3_43,0.052
,,,,,32.33616,C3_42,0.027
,,,,,32.3364,C5_43,0.034
,,,,,32.33712,C5_44,0.027
,,,,,32.33744,C3_32,0.037
,,,,,32.33752,C3_44,0.024
,,,,,32.33792,C3_33,0.058
,,,,,32.33816,C3_43,0.094
,,,,,32.33936,C3_31,0.086
,,,,,32.33944,C3_42,0.077
,,,,,32.33968,C3_32,0.021
,,,,,32.33976,C5_44,0.029
,,,,,32.34064,C3_43,0.038
,,,,,32.34088,C3_41,0.011
,,,,,32.34112,C3_44,0.02
,,,,,32.34136,C5_42,0.029
,,,,,32.34144,C5_14,0.018
,,,,,32.34152,C3_33,0.018
,,,,,32.34208,C3_31,0.031
,,,,,32.34248,C5_23,0.023
,,,,,32.34272,C3_42,0.028
,,,,,32.34344,C5_33,0.019
,,,,,32.34416,C5_32,0.016
,,,,,32.34432,C3_44,0.023
,,,,,32.34432,C5_42,0.026
,,,,,32.34464,C3_33,0.045
,,,,,32.34536,C3_43,0.039
,,,,,32.34616,C5_14,0.023
,,,,,32.34752,C3_32,0.026
,,,,,32.34808,C3_43,0.02
,,,,,32.34888,C3_31,0.023
,,,,,32.34896,C3_42,0.05
,,,,,32.34976,C3_44,0.044
,,,,,32.35032,C3_43,0.089
,,,,,32.35048,C3_32,0.031
,,,,,32.35048,C5_33,0.018
,,,,,32.35104,C3_33,0.024
,,,,,32.35152,C3_31,0.06
,,,,,32.35176,C3_41,0.019
,,,,,32.352,C3_42,0.026
,,,,,32.35296,C3_44,0.02
,,,,,32.35344,C3_33,0.049
,,,,,32.35384,C3_22,0.012
,,,,,32.35392,C3_32,0.029
,,,,,32.35408,C3_43,0.094
,,,,,32.35416,C3_31,0.029
,,,,,32.35432,C5_43,0.035
,,,,,32.35488,C5_32,0.024
,,,,,32.35528,C3_42,0.03
,,,,,32.3556,C5_34,0.02
,,,,,32.35576,C3_44,0.063
,,,,,32.35664,C5_42,0.031
,,,,,32.35704,C3_43,0.16
,,,,,32.35728,C3_32,0.017
,,,,,32.35728,C5_23,0.032
,,,,,32.35808,C3_44,0.025
,,,,,32.35872,C5_44,0.03
,,,,,32.3588,C3_41,0.009
,,,,,32.3592,C3_33,0.024
,,,,,32.35936,C5_14,0.018
,,,,,32.3596,C3_43,0.069
,,,,,32.35984,C3_42,0.033
,,,,,32.36016,C3_32,0.029
,,,,,32.36016,C5_42,0.025
,,,,,32.3604,C3_31,0.019
,,,,,32.3604,C5_43,0.025
,,,,,32.36064,C3_44,0.06
,,,,,32.36128,C5_32,0.026
,,,,,32.36128,C5_44,0.025
,,,,,32.362,C3_43,0.094
,,,,,32.3624,C3_33,0.026
,,,,,32.36256,C3_42,0.019
,,,,,32.36312,C3_31,0.025
,,,,,32.36312,C5_22,0.022
,,,,,32.36456,C3_32,0.017
,,,,,32.36528,C5_32,0.021
,,,,,32.3668,C3_41,0.014
,,,,,32.36704,C5_23,0.018
,,,,,32.36728,C3_44,0.076
,,,,,32.36736,C5_44,0.027
,,,,,32.3688,C3_42,0.022
,,,,,32.3688,C5_42,0.029
,,,,,32.36888,C5_32,0.035
,,,,,32.3692,C3_31,0.017
,,,,,32.36936,C3_43,0.04
,,,,,32.37032,C5_33,0.024
,,,,,32.3708,C3_33,0.065
,,,,,32.37112,C3_32,0.035
,,,,,32.37128,C5_32,0.028
,,,,,32.37216,C3_43,0.068
,,,,,32.37248,C5_14,0.144
,,,,,32.37264,C3_42,0.028
,,,,,32.37344,C5_44,0.03
,,,,,32.3736,C5_33,0.023
,,,,,32.37384,C5_43,0.027
,,,,,32.37416,C3_31,0.02
,,,,,32.37424,C5_32,0.026
,,,,,32.37496,C3_33,0.039
,,,,,32.3752,C5_14,0.018
,,,,,32.37536,C5_23,0.027
,,,,,32.37552,C3_32,0.031
,,,,,32.3756,C3_43,0.043
,,,,,32.3764,C3_42,0.055
,,,,,32.37656,C3_31,0.031
,,,,,32.37688,C5_32,0.026
,,,,,32.37688,C5_43,0.023
,,,,,32.37736,C3_41,0.01
,,,,,32.37744,C5_34,0.017
,,,,,32.378,C3_33,0.061
,,,,,32.37848,C3_43,0.052
,,,,,32.37856,C3_44,0.026
,,,,,32.38056,C3_33,0.021
,,,,,32.38096,C5_32,0.029
,,,,,32.38136,C5_14,0.02
,,,,,32.382,C3_42,0.022
,,,,,32.38232,C3_44,0.024
,,,,,32.38232,C5_42,0.039
,,,,,32.38256,C5_43,0.052
,,,,,32.38416,C3_33,0.03
,,,,,32.38456,C5_32,0.027
,,,,,32.38472,C5_44,0.027
,,,,,32.386,C3_43,0.072
,,,,,32.38632,C3_42,0.051
,,,,,32.38632,C5_12,0.014
,,,,,32.38656,C3_33,0.061
,,,,,32.38656,C3_44,0.033
,,,,,32.38656,C5_14,0.025
,,,,,32.3872,C5_32,0.024
,,,,,32.38776,C3_31,0.022
,,,,,32.38888,C3_33,0.039
,,,,,32.38904,C3_44,0.019
,,,,,32.38912,C3_41,0.016
,,,,,32.38912,C3_43,0.015
,,,,,32.3892,C5_44,0.026
,,,,,32.38928,C3_42,0.041
,,,,,32.38992,C5_42,0.033
,,,,,32.39136,C3_43,0.059
,,,,,32.39152,C3_42,0.029
,,,,,32.392,C3_33,0.068
,,,,,32.39208,C3_32,0.044
,,,,,32.39232,C5_34,0.035
,,,,,32.39256,C5_43,0.026
,,,,,32.39288,C5_42,0.025
,,,,,32.39336,C5_33,0.022
,,,,,32.39376,C3_43,0.165
,,,,,32.39376,C3_44,0.03
,,,,,32.39424,C3_33,0.054
,,,,,32.39456,C3_32,0.027
,,,,,32.39472,C3_31,0.034
,,,,,32.39504,C3_41,0.013
,,,,,32.39544,C5_32,0.028
,,,,,32.39584,C5_23,0.034
,,,,,32.39616,C3_43,0.051
,,,,,32.39664,C3_33,0.037
,,,,,32.39696,C3_32,0.052
,,,,,32.39704,C5_33,0.027
,,,,,32.39744,C3_42,0.059
,,,,,32.39824,C5_32,0.023
,,,,,32.39888,C5_14,0.016
,,,,,32.39928,C5_33,0.019
,,,,,32.40024,C5_42,0.042
,,,,,32.40056,C3_42,0.02
,,,,,32.40072,C5_44,0.033
,,,,,32.40096,C3_41,0.009
,,,,,32.4012,C5_13,0.024
,,,,,32.40232,C3_43,0.023
,,,,,32.40464,C5_42,0.036
,,,,,32.40488,C5_43,0.036
,,,,,32.40504,C3_42,0.019
,,,,,32.40504,C5_32,0.027
,,,,,32.4056,C5_22,0.024
,,,,,32.40688,C5_14,0.026
,,,,,32.40736,C5_42,0.024
,,,,,32.40784,C5_44,0.039
,,,,,32.4104,C5_32,0.02
,,,,,32.41136,C3_32,0.017
,,,,,32.41144,C5_42,0.025
,,,,,32.41256,C5_43,0.024
,,,,,32.41264,C5_33,0.017
,,,,,32.41304,C5_13,0.018
,,,,,32.41352,C3_44,0.03
,,,,,32.41392,C5_44,0.03
,,,,,32.4148,C5_23,0.023
,,,,,32.41528,C3_31,0.019
,,,,,32.41568,C5_32,0.035
,,,,,32.41688,C5_22,0.016
,,,,,32.41784,C5_14,0.123
,,,,,32.41816,C5_33,0.021
,,,,,32.42016,C5_14,0.01
,,,,,32.42088,C5_42,0.031
,,,,,32.4216,C5_32,0.023
,,,,,32.42248,C5_13,0.021
,,,,,32.42384,C5_43,0.031
,,,,,32.42392,C5_23,0.068
,,,,,32.42424,C5_32,0.021
,,,,,32.42456,C5_34,0.032
,,,,,32.42496,C5_22,0.021
,,,,,32.42696,C5_44,0.038
,,,,,32.42704,C5_33,0.059
,,,,,32.42728,C5_42,0.027
,,,,,32.42744,C5_14,0.018
,,,,,32.42792,C5_32,0.028
,,,,,32.42944,C5_44,0.033
,,,,,32.42952,C5_13,0.025
,,,,,32.4304,C5_32,0.026
,,,,,32.43064,C5_22,0.02
,,,,,32.43112,C5_14,0.029
,,,,,32.4312,C5_42,0.032
,,,,,32.43272,C5_32,0.024
,,,,,32.4336,C5_23,0.028
,,,,,32.43384,C5_43,0.039
,,,,,32.43464,C5_33,0.075
,,,,,32.436,C5_42,0.028
,,,,,32.43616,C5_44,0.029
,,,,,32.43712,C5_32,0.024
,,,,,32.43848,C3_32,0.027
,,,,,32.43864,C5_44,0.025
,,,,,32.43968,C5_43,0.032
,,,,,32.44104,C5_14,0.032
,,,,,32.44184,C5_44,0.029
,,,,,32.44192,C5_32,0.024
,,,,,32.44304,C5_23,0.026
,,,,,32.44352,C5_43,0.031
,,,,,32.4436,C5_42,0.037
,,,,,32.44496,C5_44,0.04
,,,,,32.44592,C5_22,0.022
,,,,,32.44672,C5_42,0.031
,,,,,32.44888,C5_44,0.026
,,,,,32.4496,C5_14,0.02
,,,,,32.4496,C5_33,0.02
,,,,,32.45008,C5_42,0.024
,,,,,32.45032,C5_22,0.022
,,,,,32.45088,C5_32,0.036
,,,,,32.45224,C5_44,0.026
,,,,,32.4524,C5_43,0.035
,,,,,32.45328,C5_33,0.021
,,,,,32.45368,C5_13,0.02
,,,,,32.45368,C5_14,0.037
,,,,,32.45376,C5_42,0.033
,,,,,32.45424,C5_32,0.031
,,,,,32.45488,C5_23,0.023
,,,,,32.45608,C5_13,0.019
,,,,,32.45648,C5_32,0.024
,,,,,32.4572,C5_42,0.029
,,,,,32.45792,C5_44,0.035
,,,,,32.45928,C5_33,0.035
,,,,,32.45952,C5_42,0.036
,,,,,32.46016,C5_32,0.063
,,,,,32.46112,C5_43,0.035
,,,,,32.4612,C5_22,0.026
,,,,,32.46144,C5_23,0.024
,,,,,32.4616,C5_14,0.111
,,,,,32.46208,C5_33,0.022
,,,,,32.46264,C5_32,0.034
,,,,,32.46376,C5_42,0.044
,,,,,32.46416,C5_14,0.027
,,,,,32.46424,C5_43,0.043
,,,,,32.46456,C5_44,0.035
,,,,,32.46488,C5_23,0.023
,,,,,32.46632,C5_42,0.043
,,,,,32.46704,C5_32,0.03
,,,,,32.46712,C5_33,0.037
,,,,,32.46792,C5_44,0.031
,,,,,32.46808,C5_14,0.024
,,,,,32.46928,C5_32,0.034
,,,,,32.47,C5_33,0.043
,,,,,32.47032,C5_42,0.034
,,,,,32.47168,C5_44,0.027
,,,,,32.47232,C5_32,0.032
,,,,,32.4724,C5_13,0.029
,,,,,32.4724,C5_14,0.019
,,,,,32.47344,C5_22,0.031
,,,,,32.47376,C5_42,0.037
,,,,,32.47424,C5_43,0.027
,,,,,32.47552,C5_14,0.032
,,,,,32.476,C5_32,0.028
,,,,,32.47624,C5_42,0.051
,,,,,32.47688,C5_44,0.02
,,,,,32.47712,C5_43,0.044
,,,,,32.47736,C5_34,0.02
,,,,,32.478,C5_14,0.021
,,,,,32.47872,C5_13,0.025
,,,,,32.47888,C5_22,0.022
,,,,,32.47992,C5_33,0.032
,,,,,32.48024,C5_43,0.021
,,,,,32.48064,C5_44,0.032
,,,,,32.48072,C5_14,0.028
,,,,,32.4808,C5_42,0.036
,,,,,32.4812,C5_32,0.027
,,,,,32.48208,C5_23,0.023
,,,,,32.48216,C5_33,0.019
,,,,,32.48352,C5_34,0.021
,,,,,32.48472,C5_42,0.028
,,,,,32.4848,C5_23,0.068
