Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
Recording Name,Iso CTL Quinpirole,0.7016,B3_21,0.014
Description,,1.26312,B3_11,0.015
Maestro Edge Settings,,1.46176,B1_43,0.013
   Original File Time,03/31/2023 14:48:24,1.77984,B3_21,0.013
   Sampling Frequency,12.5 kHz,1.85704,B3_14,0.021
   Voltage Scale,-5.48486178148311E-08 V/sample,1.89712,B3_14,0.018
   Experiment Start Time,03/31/2023 14:48:17,1.97472,B3_14,0.022
   Referencing Method,Median,2.02544,B3_14,0.021
   Analog Mode Setting,Neural Spikes,2.07232,B3_14,0.02
   Plate Type,CytoView MEA 24,2.11656,B3_14,0.017
   Digital Low Pass Filter,3 kHz Kaiser Window,2.13072,B3_41,0.01
   Digital High Pass Filter,200 Hz IIR,2.16216,B3_14,0.017
   Temperature Set Point,37.0 Degrees C,2.236,B3_14,0.023
   Current Temperature,36.8 Degrees C,2.31216,B3_14,0.019
   Heater Power,On,2.40232,B3_14,0.02
   Barcode Plate Type,TwentyFourWell,3.19344,B1_31,0.013
   Plate Serial Number,100-8404,3.23176,B3_34,0.015
   CO2 Conc. Set Point,5.00%,3.29416,B3_21,0.016
   Actual CO2 Conc.,5.50%,3.32968,B3_34,0.014
   Gas Mixer Status,Regulating,3.44072,B3_34,0.014
   AxIS Version,1.5.1.12,3.63088,B1_31,0.013
   Maestro Edge Firmware,1.5.1.12,3.68304,B3_34,0.015
   Maestro Edge BioCore Version,4B,4.15424,B3_21,0.014
,,4.6448,B3_41,0.008
Spike Detector Settings,,4.69784,B1_31,0.014
   Method,Adaptive Threshold Crossing,4.87976,B3_21,0.013
   Threshold,6,5.19728,B3_21,0.014
   Threshold Status,Variable,5.40712,B3_21,0.016
   Threshold Crossing Only,TRUE,5.43664,B1_13,0.015
   Pre-Spike Duration,0.84 ms,5.49904,B1_43,0.011
   Post-Spike Duration,2.16 ms,5.57384,B3_21,0.015
   Coincident Event Filter,Default (Well),5.6128,B3_21,0.016
