Investigator,ghislaine,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,3.86152,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,3.87768,B4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,3.9124,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,3.92008,A1_21,0.014,,,,,,,,,,,,,,,,,,,,
,,3.9696,C2_33,0.016,,,,,,,,,,,,,,,,,,,,
,,4.02312,B6_23,0.018,,,,,,,,,,,,,,,,,,,,
,,4.09872,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,4.27656,C1_33,0.022,,,,,,,,,,,,,,,,,,,,
,,4.28504,A5_12,0.02,,,,,,,,,,,,,,,,,,,,
,,4.29472,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,4.3748,C2_33,0.012,,,,,,,,,,,,,,,,,,,,
,,4.38336,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,4.53,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,4.64184,C2_33,0.017,,,,,,,,,,,,,,,,,,,,
,,4.70832,B6_23,0.02,,,,,,,,,,,,,,,,,,,,
,,4.7488,A5_12,0.021,,,,,,,,,,,,,,,,,,,,
,,4.77664,A1_31,0.022,,,,,,,,,,,,,,,,,,,,
,,4.92224,C1_33,0.021,,,,,,,,,,,,,,,,,,,,
,,4.93752,C2_33,0.019,,,,,,,,,,,,,,,,,,,,
,,5.01344,B6_21,0.015,,,,,,,,,,,,,,,,,,,,
,,5.07704,C1_24,0.016,,,,,,,,,,,,,,,,,,,,
,,5.1276,A1_31,0.021,,,,,,,,,,,,,,,,,,,,
,,5.20752,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,5.4708,A1_31,0.019,,,,,,,,,,,,,,,,,,,,
,,5.48768,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,5.51752,C2_33,0.022,,,,,,,,,,,,,,,,,,,,
,,5.59096,A5_12,0.022,,,,,,,,,,,,,,,,,,,,
,,5.63568,B1_11,0.014,,,,,,,,,,,,,,,,,,,,
,,5.70808,A1_31,0.023,,,,,,,,,,,,,,,,,,,,
,,5.74608,B6_23,0.019,,,,,,,,,,,,,,,,,,,,
,,5.80864,B4_43,0.021,,,,,,,,,,,,,,,,,,,,
,,5.82496,C1_24,0.019,,,,,,,,,,,,,,,,,,,,
,,5.83,C2_33,0.018,,,,,,,,,,,,,,,,,,,,
,,6.13304,A1_31,0.02,,,,,,,,,,,,,,,,,,,,
,,6.19288,A6_21,0.03,,,,,,,,,,,,,,,,,,,,
,,6.2344,C2_33,0.021,,,,,,,,,,,,,,,,,,,,
,,6.30128,C1_24,0.021,,,,,,,,,,,,,,,,,,,,
,,6.39312,A1_31,0.018,,,,,,,,,,,,,,,,,,,,
,,6.45872,A5_12,0.016,,,,,,,,,,,,,,,,,,,,
